Type :,Summary :,Updated By :,Updated On :,Document :,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.3,Updated On :.2,Financial Bid Opening Date:,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage
Technical,3Nos contractor/firm bid documents downlaoded sucessfully,Anil Kumar,23-Apr-2021 02:06 PM,technical_67674.pdf,Finance,BOQ dowanloaded sucessfully summary attached,Anil Kumar,23-Apr-2021 02:41 PM,finance_67674.pdf,BOQ Comparative Chart,15-Jul-2021,"INR 2,267,959",180.0,Anil Kumar,15-Dec-2021 12:04 PM,AOC.pdf (53.00 KB),Sh. Sanjay Saini Govt. Cont. VPO Mansimble Tehsil Palampur District Kangra (HP),1.0,202065.0,RAJE ENGINNERING WORKS,08-Mar-2021 06:36 PM,Rejected-AOC,accept,15-Dec-2021 12:04 PM,Superintending Enginner JSV Circle Dharamshala,Internal,"AE(D)JSV Circle Dharamshala,EED)JSV Circle Dharamshala, EEJSV Division Thural",Anil Kumar,23-Apr-2021 02:11 PM,23-Apr-2021 02:15 PM,techsummary_67674.pdf (1447.23 KB),1.0,202380.0,SANJAY SAINI,INR,"2,267,959","HP Irrigation and Public Health||Dharamshala Circle,Irrigation and Public Health,HP||Thural,Irrigation and Public Health,HP",2021_HPIPH_45056_1,THL-KNG05-729 (19985-20025 dated 03.03.2021,"Providing LWSS to PC habitation Under ( Jal Jeevan Mission ) in GP Bhoura, Thandol and Malahoo in Tehsil Palampur Distt Kangra.( H.P.)",Executive Engineer JSV Division Thural,Internal,"TenderAsstt,Supdtt,HDM.",Anil Kumar,23-Apr-2021 02:45 PM,finsummary_67674.pdf (84.50 KB),AOC,1.0,Fee/PreQual/Technical,.pdf,Cost of Bid Documents and Earnest money etc Shall be deposited both through online mode ( E-Payme,"31,300",Yes,fixed,,NIL,NIL,400.0,NIL,NIL,No,03-Mar-2021 05:00 PM,10-Mar-2021 11:30 AM,03-Mar-2021 05:00 PM,09-Mar-2021 05:00 PM,NA ,NA ,03-Mar-2021 05:00 PM,09-Mar-2021 05:00 PM,23-Apr-2021 02:15 PM,Executive Engineer JSV Division Thural,O/O The Executive Engineer JSV Division Thural,"Providing LWSS to PC habitation Under ( Jal Jeevan Mission ) in GP Bhoura, Thandol and Malahoo in Tehsil Palampur Distt Kangra.( H.P.)","Providing LWSS to PC habitation Under ( Jal Jeevan Mission ) in GP Bhoura, Thandol and Malahoo in Tehsil Palampur Distt Kangra.( H.P.)",Please refer Tender documents. ,NA ,"15,86,534",Civil Works - Water Works,NA ,Tender,120.0,180.0,Providing LWSS to PC habitation Under ( Jal Jeeva,176107.0,NA ,NA ,NA ,O/O The Executive Engineer JSV Division Thural,No ,No,1.0,ICICI BANK,"HP Irrigation and Public Health||Dharamshala Circle,Irrigation and Public Health,HP||Thural,Irrigation and Public Health,HP",THL-KNG05-729 (19985-20025 dated 03.03.2021,2021_HPIPH_45056_1,Yes,Open Tender,Item Wise,Works,2.0,No,No,Both(Online/Offline),No,No,No,AOC
,,,,,,,,,,,,,,,,,,2.0,202380.0,SANJAY SAINI,08-Mar-2021 10:27 PM,Accepted-AOC,accept,15-Dec-2021 12:04 PM,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Certificate of Registration with IPH Department in appropriate class and latest renewal thereof,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,3.0,202424.0,Sanjeev,09-Mar-2021 08:43 AM,Rejected-AOC,accept,15-Dec-2021 12:04 PM,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Income Tax and GST registration and latest clearance certificate thereof,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,The list of similar nature work done/ completed /work in progress with performance certificate d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Registration copy of EPF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,An affidavit that any Government/Semi Government/Board/Corporation/ Private Organization etc h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Copy of authorization DSC be uploaded,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,The bidder must attach the curve chart of pumping machinery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Other conditions as per terms and conditions folder be required,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
