Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Instrument Type,Tender Stage
Sh Manish Sehgal,Internal,,Manish Sehgal,06-Dec-2021 01:02 PM,finsummary_58261.pdf (480.14 KB),06-Dec-2021,"INR 2,999,074.8",270.0,Manish Sehgal,06-Dec-2021 01:06 PM,AOC.pdf (1078.00 KB),AOC,PWD,2020_PWD_39458_1,C/o link road from Saloh to Raipur Km 0/0 to 4/020,C/o link road from Saloh to Raipur Km 0/00 to 4/020 (Portion 2/00 to 4/020),Sh Manish Sehgal,Internal,Joginder Kumar AE to EE Harjeet Singh Supdt Suresh Kumar HDM Dayal Singh Sr Asstt Manjeet Kumar Jr Asstt,Manish Sehgal,20-Aug-2020 12:17 PM,20-Aug-2020 12:30 PM,techsummary_58261.pdf (950.31 KB),1.0,172453.0,Manoj Kumar,INR,"2,883,465",Finance,SUMMARY,Manish Sehgal,06-Dec-2021 12:59 PM,finance_58261.pdf,BOQ Comparative Chart,Technical,Bid opening summary,Manish Sehgal,20-Aug-2020 12:06 PM,technical_58261.pdf,1.0,172453.0,Manoj Kumar,10-Aug-2020 04:19 PM,Accepted-AOC,Bidder Rank-L1,06-Dec-2021 01:06 PM,AOC,31-Jul-2020 04:30 PM,11-Aug-2020 11:30 AM,31-Jul-2020 04:30 PM,11-Aug-2020 11:00 AM,NA ,NA ,31-Jul-2020 04:30 PM,11-Aug-2020 11:00 AM,20-Aug-2020 12:30 PM,"33,100",No,fixed,,EE Bhawarna,Bhawarna,1.0,Fee/PreQual/Technical,.pdf,Cost of tender form.In shape of demand draft as per SBD.,E.E. HPPWD Division Bhawarna,E.E. HPPWD Division Bhawarna,C/o link road from Saloh to Raipur Km 0/00 to 4/020 (Portion 2/00 to 4/020),C/o 3.00 mtr. Span RCC slab culvert at RD 3/790 alongwith approaches and P/L 80 mm thick interlocking concrete block pavement at RD 3/105 to 3/430) (under NABARD),Please refer Tender documents. ,NA ,"17,02,852",Civil Works - Roads,NA ,Tender,120.0,270.0,Bhawarna,176083.0,NA ,NA ,NA ,EE Bhawarna,No ,No,PWD,C/o link road from Saloh to Raipur Km 0/0 to 4/020,2020_PWD_39458_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,500.0,EE Bhawarna,Bhawarna,No,1.0,DD - Demand Draft,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,172561.0,Narender Thakur Govt. Contractor,11-Aug-2020 09:54 AM,Rejected-Technical,Non-Responsive,20-Aug-2020 12:17 PM,AOC,,,,,,,,,,,,,,,,,,.pdf,"Earnest money in shape of FDR duly pledged in favour of Executive Engineer, Bhawarna Division, HPPWD",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,172536.0,Umesh Bhardwaj,11-Aug-2020 09:53 AM,Rejected-Technical,Non-Responsive,20-Aug-2020 12:17 PM,AOC,,,,,,,,,,,,,,,,,,.pdf,Contractor registration.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,172356.0,VISHAL PATHANIA,10-Aug-2020 12:25 PM,Rejected-AOC,Bidder Rank-L2,06-Dec-2021 01:06 PM,AOC,,,,,,,,,,,,,,,,,,.pdf,GST registration.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,.pdf,Work done certificate as per SBD.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,.pdf,An affidavit that information furnished with the bid (with work name) are true.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding no near relative working in HP PWD department.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding not more than two works in hand.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,.pdf,List of machinery and equipment as per SBD.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,.pdf,Form 7/8 duly signed by the contractor.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
