S.No,Instrument Type,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :,Document :.3,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage
1.0,DD - Demand Draft,Special Repair to 200 bedded Hospital at Khaneri in Tehsil Rampur Distt Shimla HP,"SH Painting Distempering Repair of patches etc in Maternity Ward (Ground Floor, and first Floor), Male Ward , Female Ward (2nd Floor) and Office Complex.",Please refer Tender documents. ,NA ,"9,47,851",Civil Works - Buildings,NA ,Tender,90.0,NA ,EE B and R Divisioin HPPWD Rampur,172001.0,NA ,NA ,NA ,EE Rampur,No ,No,EE Rampur,EE B and R Division HPPWD Rampur,14-Oct-2020 12:00 PM,21-Oct-2020 11:00 AM,14-Oct-2020 12:00 PM,21-Oct-2020 09:00 AM,14-Oct-2020 12:00 PM ,21-Oct-2020 09:00 AM ,14-Oct-2020 12:00 PM,21-Oct-2020 09:00 AM,03-Nov-2020 01:00 PM,"19,000",Yes,fixed,,EE Rampur,Rampur,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender Form (indicated in Schedule F),PWD,PW/RAMP/TA/2020-7950-52 dated 29.09.2020,2020_PWD_41599_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,350.0,EE Rampur,Rampur,Yes,AOC,Finance,proceeding,Sandeep Sobti,13-Dec-2021 12:55 PM,None,BOQ Comparative Chart,1.0,183282.0,AJAY KUMAR,INR,"1,270,429",1.0,183282.0,AJAY KUMAR,20-Oct-2020 06:02 PM,Accepted-AOC,1st lowest,13-Dec-2021 01:04 PM,Technical,Proceeding,Sandeep Sobti,26-Oct-2020 02:21 PM,technical_61378.pdf,PWD,2020_PWD_41599_1,PW/RAMP/TA/2020-7950-52 dated 29.09.2020,Special Repair to 200 bedded Hospital at Khaneri in Tehsil Rampur Distt Shimla HP,Er. S.K. Sobiti,Internal,DAO Supdt,Sandeep Sobti,03-Nov-2020 12:49 PM,03-Nov-2020 01:00 PM,techsummary_61378.pdf (248.36 KB),Er. S.K. Sobti,Internal,"DAO, Supdt.",Sandeep Sobti,13-Dec-2021 01:02 PM,finsummary_61378.pdf (246.76 KB),13-Dec-2021,"INR 947,851",60.0,Sandeep Sobti,13-Dec-2021 01:04 PM,Ajay41599.pdf (672.00 KB),award letter,AOC
2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Earnest Money Deposit (indicated in Schedule F),,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,2.0,183298.0,HIMANSHU BANSAL,20-Oct-2020 07:07 PM,Rejected-AOC,2nd lowest,13-Dec-2021 01:04 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors Registration (Refer General Rule No 23),,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,3.0,183204.0,Sandeep Kumar,20-Oct-2020 01:05 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,26-Oct-2020 02:23 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST registration (Refer General Rule No 21),,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Permanent Account Number (PAN),,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work Done Certificate of similar nature and detail of ongoing works (Refer General Rule No 19),,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Registration under Employees Provident Funds and Miscellaneous Provision act 1952,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Clearance of GST return attested by CA.,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,SBD,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
