Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,S.No,Instrument Type,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No.1,Corrigendum Title,Corrigendum Type,View,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Tender Stage
30-Jul-2021,"INR 616,084",365.0,Arvind Lakhanpal,02-Dec-2021 03:08 PM,ManoharLalPBMC.pdf (756.00 KB),AOC,ee,Internal,Supdt/Hdm/AE,Arvind Lakhanpal,03-Jan-2021 07:19 PM,finsummary_60818.pdf (141.25 KB),EE,Internal,SUPDT/HDM/AE,Arvind Lakhanpal,29-Oct-2020 01:22 PM,30-Oct-2020 10:30 AM,techsummary_60818.pdf (653.20 KB),PWD,2020_PWD_41227_1,PW/TDD/NIT/21-11735dt.16.09,Routine Maintenance of Nadaun Sujanpur road km. 14/600 to 20/800.( Under PBMC),1.0,182176.0,MANOHAR LAL GOVT CONTRACTOR,INR,"595,544",Finance,summay,Arvind Lakhanpal,03-Jan-2021 07:16 PM,finance_60818.pdf,BOQ Comparative Chart,Technical,Summary,Arvind Lakhanpal,29-Oct-2020 01:19 PM,technical_60818.pdf,1.0,182176.0,MANOHAR LAL GOVT CONTRACTOR,12-Oct-2020 10:06 PM,Accepted-AOC,1,02-Dec-2021 03:08 PM,AOC,1.0,DD - Demand Draft,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender form DD must be payable at Hamirpur,"1,000","Executive Engineer, HPPWD Division Tauni Devi",Hamirpur,Yes,"13,000",Yes,fixed,,EE Tauni Devi,Hamirpur,PWD,PW/TDD/NIT/21-11735dt.16.09,2020_PWD_41227_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,1.0,Date,Date,,Routine Maintenance of Nadaun Sujanpur road km. 14/600 to 20/800.( Under PBMC),Routine Maintenance of Nadaun Sujanpur road km. 14/600 to 20/800.( Under PBMC),Please refer Tender documents. ,NA ,"6,16,084",Civil Works,NA ,Tender,90.0,365.0,Executive Engineer Tauni Devi Division,177023.0,NA ,NA ,NA ,"Executive Engineer, HPPWD Division Tauni Devi",No ,No,06-Oct-2020 09:00 AM,13-Oct-2020 11:00 AM,06-Oct-2020 09:00 AM,13-Oct-2020 10:30 AM,NA ,NA ,06-Oct-2020 09:00 AM,13-Oct-2020 10:30 AM,30-Oct-2020 10:30 AM,"Executive Engineer, HPPWD Division Tauni Devi","Executive Engineer, HPPWD Division Tauni Devi",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,182152.0,MOHINDER PAL GOVT. CONTRACTOR,12-Oct-2020 10:26 PM,Rejected-Technical,Not Admitted,29-Oct-2020 01:24 PM,AOC,2.0,FDR - Fixed Deposit,,,.pdf,EMD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,182144.0,Sourabh Pathania Govt Contractor,12-Oct-2020 07:18 PM,Rejected-AOC,2,02-Dec-2021 03:08 PM,AOC,,,,,.pdf,Contractor Registration(General Rule No. 23),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,.pdf,GST No. along with latest return of GST ( also see General Rule 21),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,.pdf,Work Done Certificate (General Rule No. 19),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,.pdf,Work in hand Certificate (General Rule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,.pdf,"List of Machinery, Tool , Plant as per SBD",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,.pdf,List of Both Gaztted and Non Gaztted officer HPPWD employees related to him (General Rule No.16),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,.pdf,An affidavit that information furnished with the bid (Name of work) is correct in all respect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,.pdf,An Affidavit containing the reality that the contractor has not more than two work in hand (General,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
