Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Tender Stage
23-Dec-2021,"INR 1,745,346",90.0,Suresh Kaushal,23-Dec-2021 03:15 PM,a.pdf (298.00 KB),AOC,Er.Suresh Kumar,Internal,Superintedent Accounts and HDM,Suresh Kaushal,23-Dec-2021 03:13 PM,finsummary_79621.pdf (290.55 KB),Er. Suresh Kaushal,Internal,"XEN, Supdt. Gr-1, HDM",Suresh Kaushal,23-Nov-2021 10:30 AM,23-Nov-2021 10:35 AM,techsummary_79621.pdf (290.56 KB),PWD,2021_PWD_53237_1,PW-KMS-AB-NIT/2021-22-8590-91 dated 05.11.2021,A/R and M/O on Bharara Kumarsain road Km 0/000 to 1/165 SH Renewal coat 30 mm thick Bituminous Concrete on extension of road both side in Km 0/000 to 1/165,Finance,Technical Bid Evaluvation,Suresh Kaushal,26-Nov-2021 04:55 PM,finance_79621.pdf,BOQ Comparative Chart,1.0,243131.0,parveen,INR,"1,745,346",Technical,Bid Opening Summary,Suresh Kaushal,20-Nov-2021 03:24 PM,technical_79621.pdf,1.0,243138.0,Naveen Verma,18-Nov-2021 01:19 PM,Rejected-AOC,2nd lowest,23-Dec-2021 03:15 PM,AOC,PWD,PW-KMS-AB-NIT/2021-22-8590-91 dated 05.11.2021,2021_PWD_53237_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,1.0,ICICI BANK,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender Form (Copy of UTR No.),A/R and M/O on Bharara Kumarsain road Km 0/000 to 1/165 SH Renewal coat 30 mm thick Bituminous Concrete on extension of road both side in Km 0/000 to 1/165,A/R and M/O on Bharara Kumarsain road Km 0/000 to 1/165 SH Renewal coat 30 mm thick Bituminous Concrete on extension of road both side in Km 0/000 to 1/165,Please refer Tender documents. ,NA ,"16,84,708",Civil Works,NA ,Tender,90.0,90.0,Kumarsain,172029.0,NA ,NA ,NA ,Kumarsain,No ,No,11-Nov-2021 05:00 PM,20-Nov-2021 11:00 AM,11-Nov-2021 05:30 PM,18-Nov-2021 06:00 PM,NA ,NA ,11-Nov-2021 05:30 PM,18-Nov-2021 06:00 PM,23-Nov-2021 10:35 AM,"33,700",No,fixed,,Nil,Nil,500.0,Nil,Nil,No,Executive Engineer,"Kumarsain Division, HPPWD., Kumarsain",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,243131.0,parveen,18-Nov-2021 01:25 PM,Accepted-AOC,Awarded,23-Dec-2021 03:15 PM,AOC,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,.pdf,. Earnest Money Deposit (Copy of UTR No.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,.pdf,Contractors Registration (Refer General Rule No 23),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,.pdf,G.S.T Registration Number (Refer General Rule No 21),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,.pdf,Permanent Account Number (PAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,.pdf,EPF Registration Number Refer General Rule 25-A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,.pdf,Work Done Certificate of similar nature (Refer General Rule No 19),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,.pdf,"List of Machinery, Tool, Plant along with documentary proof of ownership (Refer Schedule F with ref",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,.pdf,Form No. 8 (Refer General Rule No 26.7),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
