Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Instrument Type,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No.1,Corrigendum Title,Corrigendum Type,View,Tender Stage
08-Nov-2021,"INR 112,851,625",730.0,Sanjiv Kumar,20-Dec-2021 04:25 PM,LOABarora.pdf (149.00 KB),Letter of Acceptance,Er.Rajeev Sharma SE,Internal,Executive Engineer Design Executive Engineer Joginder Nagar Assistant Engineer Design Superintendent Budget Superintendent Work,Sanjiv Kumar,13-Oct-2021 01:03 PM,finsummary_76852.pdf (530.48 KB),Er Rajeev Sharma S E,Internal,"Executive Engineer Design, Executive Engineer Joginder Nagar, Assistant Engineer Design Superintendent Gr-I",Sanjiv Kumar,20-Sep-2021 04:36 PM,25-Sep-2021 11:00 AM,techsummary_76852.pdf (1255.48 KB),PWD,2021_PWD_51410_2,PW-JND-B and R-EA-I-NIT- 9824-48 dated 11-08-2021,"Construction and metalling and tarring of Bagora, Bagla, Sanehar, Hard, Ropri, Mordugh, Chandni to Tikru road Km. 0/0 to 14/400 under RIDF-XXVI",Technical,Technical Bid Opening Summary,Sanjiv Kumar,15-Sep-2021 09:47 AM,technical_76852.pdf,1.0,233592.0,Ashadeep Construction Pvt Ltd,02-Sep-2021 12:05 PM,Rejected-Technical,Rejected,20-Sep-2021 04:36 PM,1.0,232839.0,P. L. SHARMA,INR,"112,851,625.35",Finance,financialsummary,Sanjiv Kumar,25-Sep-2021 04:43 PM,finance_76852.pdf,BOQ Comparative Chart,AOC,"5,000","E.E. B and R Division, HPPWD, Joginder Nagar",Joginder Nagar,No,Executive Engineer,"E.E. B and R Division, HPPWD, Joginder Nagar",1.0,Fee/PreQual/Technical,.pdf,Cost of tender Form as per Section-1 Point No. 3,19-Aug-2021 10:00 AM,09-Sep-2021 11:30 AM,19-Aug-2021 10:00 AM,08-Sep-2021 05:00 PM,NA ,NA ,19-Aug-2021 10:00 AM,08-Sep-2021 05:00 PM,25-Sep-2021 11:00 AM,1.0,DD - Demand Draft,PWD,PW-JND-B and R-EA-I-NIT- 9824-48 dated 11-08-2021,2021_PWD_51410_2,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,"Construction and metalling and tarring of Bagora, Bagla, Sanehar, Hard, Ropri, Mordugh, Chandni to Tikru road Km. 0/0 to 14/400 under RIDF-XXVI","ROFD, C/O wire crates/gabion walls, R/walls, M/T, cement concrete pavement, C/O road side parapets, providing crash barriers, C/O V-shape and U- shape drains, X-drainage work including 5 year routine maintenance after completion of work",As per SBD ,NA ,"10,88,08,575",Civil Works - Roads,NA ,Tender,75.0,730.0,Joginder Nagar,175015.0,NA ,NA ,NA ,O/O S.E. Joginder Nagar Circle,No ,No,"21,76,000",No,fixed,,"E.E. B and R Division, HPPWD, Joginder Nagar",Joginder Nagar,1.0,CORRIGENDUM,Date,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,233532.0,G.P.ACHARYA,08-Sep-2021 11:30 AM,Rejected-AOC,Rejected,20-Dec-2021 04:25 PM,,,,,,,,,,,,AOC,,,,,,,,,.pdf,Bid Security as per Section-2 (ITB) 16.1,,,,,,,,,,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,232839.0,P. L. SHARMA,08-Sep-2021 11:29 AM,Accepted-AOC,Accepted,20-Dec-2021 04:25 PM,,,,,,,,,,,,AOC,,,,,,,,,.pdf,Contractors Registration as per Q.I. Section 3 (1.1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,.pdf,Q.I. as per Section-3 (1.3.1) (1.3.2) (1.3.3),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,.pdf,Q.I. as per Section-3 (1.4) (1.5),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,.pdf,Q.I. as per Section-3 (1.2) (1.7),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,.pdf,Q.I. as per Section-3 (1.6) (1.8) (1.9) (1.10),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,.pdf,"Q.I. as per Section-2 (ITB) (4.2, (4.4 A and B)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,.pdf,"Other documents i.e. GST, PAN, EPF etc.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,.pdf,Any other information bidders would like to provide,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
