Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,S.No,Bank Name,Tender Stage
SE,Internal,"DM, Manager(F), AE(HQ), EE(HQ)",Sushant Singh Negi,17-Jul-2021 12:38 PM,finsummary_73373.pdf (29.35 KB),HP SIDC Limited,2021_SIDC_48968_1,Job No. 15,"Development of Industrial Area at Chanour, Distt. Kangra (HP). (SH- C/o un-mettled road and RCC culvert ( RD. 750.00 to 1230.00 Mtrs.)",07-Sep-2021,"INR 4,566,326",90.0,Sushant Singh Negi,03-Dec-2021 10:48 AM,tilakraj.pdf (1358.00 KB),Award letter,1.0,219795.0,Tilak Raj Govt Contractor,INR,"4,566,326",EE,Internal,"DM, Manager(F), AE(HQ)",Sushant Singh Negi,14-Jul-2021 10:49 AM,15-Jul-2021 11:00 AM,techsummary_73373.pdf (483.06 KB),Technical,Technical evaluation summary,Sushant Singh Negi,14-Jul-2021 10:48 AM,technical_73373.pdf,1.0,220209.0,HARBANS SINGH,29-Jun-2021 02:40 PM,Rejected-Finance,Second lowest bidder,17-Jul-2021 12:38 PM,Finance,Financial summary,Sushant Singh Negi,17-Jul-2021 12:33 PM,finance_73373.pdf,BOQ Comparative Chart,AOC,"5,500",Nil,Nil,No,HP SIDC Limited,Job No. 15,2021_SIDC_48968_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,"77,800",No,fixed,,Nil,Nil,23-Jun-2021 11:00 AM,30-Jun-2021 11:00 AM,23-Jun-2021 11:00 AM,29-Jun-2021 05:00 PM,NA ,NA ,23-Jun-2021 11:00 AM,29-Jun-2021 05:00 PM,15-Jul-2021 11:00 AM,Executive Engineer,HPSIDC Ltd. Shimla,"Development of Industrial Area at Chanour, Distt. Kangra (HP). (SH- C/o un-mettled road and RCC culvert ( RD. 750.00 to 1230.00 Mtrs.)",(SH- C/o un-mettled road and RCC culvert ( RD. 750.00 to 1230.00 Mtrs.),Please refer Tender documents. ,NA ,"46,86,554",Civil Works - Roads,NA ,Tender,120.0,90.0,Chanour (kangra),176402.0,NA ,NA ,NA ,HPSIDC Ltd. Shimla,No ,No,1.0,Fee/PreQual/Technical,.pdf,Appropriate Contractor registration (as per tender condition),1.0,ICICI BANK,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,219795.0,Tilak Raj Govt Contractor,29-Jun-2021 02:48 PM,Accepted-AOC,Award letter,03-Dec-2021 10:48 AM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Signed copy of agreement form and approved make for materials,2.0,ICICI NEFT/RTGS,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that the information furnished with the bid documents is true and correct.,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that you have not more than 2 works in hand each of Rs.100 lakh or above in any department,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Proof copy of EPF registration No.,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Proof copy of GST registration No.,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of latest ITR and pan card,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of receipt of EMD and cost of form,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of successfully completed work done certificate (as per tender conditions),,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,AOC
