Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,S.No,Instrument Type,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :,Document :.3,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage
Construction of link road from Bhatlamber to Kheri via Lower Dudhla from km. 0/0 to 1/0,"ROFD, C/O 900mm dia hume pipe culvert alongwith Wing wall Under OTMNP Head",Please refer Tender documents. ,NA ,,Civil Works,NA ,Tender,90.0,60.0,"Executive Engineer, HPPWD Division Tauni Devi",177023.0,NA ,NA ,NA ,"Executive Engineer, HPPWD Division Tauni Devi",No ,No,"Executive Engineer, HPPWD Division Tauni Devi","Executive Engineer, HPPWD Division Tauni Devi",350.0,EE Dodrakawar,Rohru/Dodrakawar,No,"17,000",No,fixed,,EE Tauni Devi,Hamirpur,10-Dec-2020 10:00 AM,17-Dec-2020 11:00 AM,10-Dec-2020 10:00 AM,17-Dec-2020 10:30 AM,NA ,NA ,10-Dec-2020 10:00 AM,17-Dec-2020 10:30 AM,29-Jan-2021 10:30 AM,1.0,Fee/PreQual/Technical,.pdf,DD at hamirpur,1.0,DD - Demand Draft,PWD,No.PW/TDD/NIT-TD,2020_PWD_43102_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,AOC,Finance,Summary,Arvind Lakhanpal,19-Feb-2021 01:42 PM,finance_63858.pdf,BOQ Comparative Chart,1.0,191928.0,JITENDER SINGH GOVT. CONTRACTOR,INR,"1,369,395",1.0,191920.0,ASHWANI KUMAR GOVT. CONTRACTOR,15-Dec-2020 03:58 PM,Rejected-AOC,Higher,02-Dec-2021 04:10 PM,Technical,summary,Arvind Lakhanpal,27-Jan-2021 01:52 PM,technical_63858.pdf,PWD,2020_PWD_43102_1,No.PW/TDD/NIT-TD,Construction of link road from Bhatlamber to Kheri via Lower Dudhla from km. 0/0 to 1/0,EE,Internal,SUPDT/HDM/AE,Arvind Lakhanpal,27-Jan-2021 01:54 PM,29-Jan-2021 10:30 AM,techsummary_63858.pdf (688.54 KB),EE,Internal,SUPDT/HDM/DAO,Arvind Lakhanpal,02-Dec-2021 04:06 PM,finsummary_63858.pdf (76.91 KB),02-Dec-2021,"INR 850,623",60.0,Arvind Lakhanpal,02-Dec-2021 04:10 PM,JatinderkakkarBhatlamber.pdf (376.00 KB),AOC,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,EMD,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,2.0,191936.0,DESH RAJ GOVT CONTRACTOR,15-Dec-2020 05:13 PM,Rejected-AOC,Higher,02-Dec-2021 04:10 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor Registration(General Rule No. 23),,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,3.0,191928.0,JITENDER SINGH GOVT. CONTRACTOR,15-Dec-2020 04:54 PM,Accepted-AOC,1,02-Dec-2021 04:10 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GTS Registration (General Rule 21),,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,4.0,191938.0,SAJEEV KUMAR GOVT.CONTRACTOR,15-Dec-2020 05:32 PM,Rejected-AOC,Higher,02-Dec-2021 04:10 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work Done Certificate (General Rule No. 19),,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work in hand Certificate (General Rule No.19),,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"List of Machinery, Tool , Plant",,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of Both Gaztted and Non Gaztted officer HPPWD employees related to him (General Rule No.16),,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An affidavit that information furnished with the bid (Name of work) is correct in all respect,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An Affidavit that the contractor has not more than two work in hand (General Rule No. 28.1),,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
