Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Corrigendum Title,Corrigendum Type,View,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No.1,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage
EE,Internal,SUPDT/HDM/AE,Arvind Lakhanpal,17-May-2021 04:56 PM,finsummary_69683.pdf (871.71 KB),31-Oct-2021,"INR 9,059,537",60.0,Arvind Lakhanpal,02-Dec-2021 03:44 PM,PankajUhalThanTikkar.pdf (432.00 KB),AOC,PWD,2021_PWD_46338_1,No.PWD/TDD/GA-TD,Annual Maintenance Plan for the year 2021-22 under Tauni Devi Sub Division-on 1. Uhal Than Tikkar Jandroo road km. 0/0 to 27/0. SH P/L 30mm thick B.C. 2.5mm thick road marking thermoplastic strip in km. 9/0 to 14/0 20/0 to 22/0 HP0302MDR106,EE,Internal,SUPDT/HDM/AE,Arvind Lakhanpal,20-Apr-2021 05:10 PM,22-Apr-2021 10:30 AM,techsummary_69683.pdf (1593.14 KB),Finance,finbid,Arvind Lakhanpal,17-May-2021 04:40 PM,finance_69683.pdf,BOQ Comparative Chart,1.0,208465.0,PANKAJ KUMAR,INR,"8,451,941",Technical,summary,Arvind Lakhanpal,17-Apr-2021 11:06 AM,technical_69683.pdf,1.0,208342.0,MSC Roads and Bridges Private Limited,14-Apr-2021 07:12 PM,Rejected-Finance,L2,17-May-2021 04:56 PM,AOC,Annual Maintenance Plan for the year 2021-22 under Tauni Devi Sub Division-on 1. Uhal Than Tikkar Jandroo road km. 0/0 to 27/0. SH P/L 30mm thick B.C. 2.5mm thick road marking thermoplastic strip in km. 9/0 to 14/0 20/0 to 22/0 HP0302MDR106,P/L 30mm thick B.C. 2.5mm thick road marking thermoplastic strip in km. 0/0 to 1/450,Please refer Tender documents. ,NA ,,Civil Works,NA ,Tender,60.0,60.0,Tauni Devi Executive Engineer,177023.0,NA ,NA ,NA ,"Executive Engineer, HPPWD Division Tauni Devi",No ,No,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender form DD must be payable at Hamirpur,"1,31,000",No,fixed,,Nil,Nil,"2,000",Nil,Nil,No,1.0,Date,Date,,"Executive Engineer, HPPWD Division Tauni Devi","Executive Engineer, HPPWD Division Tauni Devi",PWD,No.PWD/TDD/GA-TD,2021_PWD_46338_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,1.0,ICICI BANK,08-Apr-2021 12:15 PM,16-Apr-2021 11:00 AM,08-Apr-2021 12:15 PM,15-Apr-2021 10:30 AM,NA ,NA ,08-Apr-2021 12:15 PM,15-Apr-2021 10:30 AM,22-Apr-2021 10:30 AM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,208465.0,PANKAJ KUMAR,14-Apr-2021 12:01 PM,Accepted-AOC,1,02-Dec-2021 03:44 PM,AOC,,,,,,,,,,,,,,,,,,,,,.pdf,EMD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,208220.0,Piar Chand Chauhan,14-Apr-2021 05:55 PM,Rejected-Finance,L3,17-May-2021 04:56 PM,AOC,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor Registration(General Rule No. 23),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,.pdf,GST No. along with latest return of GST ( also see General Rule 21),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,.pdf,Work Done Certificate (General Rule No. 19),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,.pdf,Bid Capapcity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,.pdf,Work in hand Certificate (General Rule No.19),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,.pdf,"List of Machinery, Tool , Plant as Hot mix plant with 30 Km etc as per SBD",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,.pdf,List of Both Gaztted and Non Gaztted officer HPPWD employees related to him (General Rule No.16),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,.pdf,An affidavit that information furnished with the bid (Name of work) is correct in all respect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
