Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Category,Sub Category,Sub Category Description,Format/File,Cover No,Cover,Document Type,Description,S.No.1,Instrument Type,Tender Stage,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage
EE Rampur,EE Rampur B and R Division HPPWD Rampur,500.0,EE Rampur,Rampur,Yes,13-Feb-2021 11:05 AM,20-Feb-2021 11:00 AM,13-Feb-2021 11:05 AM,20-Feb-2021 09:00 AM,13-Feb-2021 11:05 AM ,20-Feb-2021 09:00 AM ,13-Feb-2021 11:05 AM,20-Feb-2021 09:00 AM,24-Feb-2021 04:30 PM,"34,600",Yes,fixed,,EE Rampur,Rampur,PWD,PW/RAMP/TA/2020-17628-30 dated 10.02.2020,2021_PWD_44328_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,C.O of link road Labana Sadana to Village Molgi in G.P. Labana Sadana 15.20 Km. 0.000 to 1.475,"SH R.O.F.D. C.O wire crate R.walls, C.O R.C.C. Hume pipe culverts at various RDs, Kutcha side drain and essential soling between Km. 0.000 to 1.475",Please refer Tender documents. ,NA ,,Civil Works - Roads,NA ,Tender,90.0,NA ,B and R Division HPPWD Rampur,172001.0,NA ,NA ,NA ,EE Rampur,No ,No,1.0,Certificate Details ,Permanent Account Number ,Permanent Account Number Details ,,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender Form (indicated in Schedule F),1.0,DD - Demand Draft,AOC,PWD,2021_PWD_44328_1,PW/RAMP/TA/2020-17628-30 dated 10.02.2020,C.O of link road Labana Sadana to Village Molgi in G.P. Labana Sadana 15.20 Km. 0.000 to 1.475,Er. S.K. Sobiti,Internal,DAO Supdt.,Sandeep Sobti,24-Feb-2021 04:24 PM,24-Feb-2021 04:30 PM,techsummary_66440.pdf (302.81 KB),Er. S.K. Sobti,Internal,DAO Supdt,Sandeep Sobti,13-Dec-2021 01:47 PM,finsummary_66440.pdf (302.81 KB),13-Dec-2021,"INR 1,726,145",120.0,Sandeep Sobti,13-Dec-2021 01:49 PM,Jagdish44328.pdf (666.00 KB),Award letter,1.0,198949.0,JAGDISH KUMAR GOVT. CONTRACTOR,INR,"2,859,114",Finance,proceeding,Sandeep Sobti,13-Dec-2021 01:42 PM,None,BOQ Comparative Chart,1.0,198949.0,JAGDISH KUMAR GOVT. CONTRACTOR,17-Feb-2021 05:34 PM,Accepted-AOC,1st lowest,13-Dec-2021 01:49 PM,Technical,proceeding,Sandeep Sobti,24-Feb-2021 04:13 PM,technical_66440.pdf,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Machinery Details ,Machinery Details ,Machinery Details ,HP_Machinery.xls,,,.pdf,Earnest Money Deposit (indicated in Schedule F),2.0,FDR - Fixed Deposit,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,198953.0,NARAYAN SINGH,17-Feb-2021 04:46 PM,Rejected-AOC,2nd lowest,13-Dec-2021 01:49 PM,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,Work Details ,Work Completed Certificate Copies ,Work Completed Certificate Copies ,,,,.pdf,Contractors Registration (Refer General Rule No 23),,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST registration (Refer General Rule No 21),,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Permanent Account Number (PAN),,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work Done Certificate of similar nature and detail of ongoing works (Refer General Rule No 19),,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"List of Machinery, Tool, Plant (Refer Schedule F with reference to Clause 18)",,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Financial reports for the last five years balance sheet profit and loss statement (Refer General rul,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Registration under Employees Provident Funds and Miscellaneous Provision act 1952,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An Affidavit that the Contractor has not more than two works in hand (Refer General Rule 28),,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
