EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Instrument Type,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage
"7,09,336",Yes,fixed,,EE Rampur,Rampur,20-Aug-2020 11:00 AM,01-Sep-2020 11:00 AM,20-Aug-2020 11:00 AM,01-Sep-2020 09:00 AM,20-Aug-2020 11:00 AM ,01-Sep-2020 09:00 AM ,20-Aug-2020 11:00 AM,01-Sep-2020 09:00 AM,05-Sep-2020 01:00 PM,PWD,PW/RMP/2020-5224-26 dated 06.08.2020,2020_PWD_39899_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,EE Rampur,EE Rampur B and R Division HPPWD Rampur,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender Form (indicated in Schedule F),"12,000",EE Rampur,Rampur,Yes,1.0,DD - Demand Draft,C.O 40.00 mtr. span double lane PSC box girder bridge at Karada Khad on Rampur Gaura Mashnoo Sarahan Jeori road at RD 35.825. MDR.19 Under CRF Job No. CRF.HP.2017.18.123,"C.O sub structure, super structure and both side approaches",Please refer Tender documents. ,NA ,"3,54,66,797",Civil Works - Bridges,NA ,Tender,90.0,NA ,Rampur,172001.0,NA ,NA ,NA ,EE Rampur,No ,No,AOC,Finance,Proceeding,Sandeep Sobti,13-Dec-2021 11:46 AM,None,BOQ Comparative Chart,1.0,175868.0,OM PARKASH SHARMA AND SONS,INR,"31,121,423",1.0,175644.0,M/s National Construction co.,29-Aug-2020 02:55 PM,Rejected-AOC,2nd lowest,13-Dec-2021 11:56 AM,Technical,Proceeding,Sandeep Sobti,04-Sep-2020 02:12 PM,technical_58895.pdf,Er. S.K. Sobiti,Internal,DAO Supdt.,Sandeep Sobti,05-Sep-2020 12:22 PM,05-Sep-2020 01:00 PM,techsummary_58895.pdf (464.19 KB),PWD,2020_PWD_39899_1,PW/RMP/2020-5224-26 dated 06.08.2020,C.O 40.00 mtr. span double lane PSC box girder bridge at Karada Khad on Rampur Gaura Mashnoo Sarahan Jeori road at RD 35.825. MDR.19 Under CRF Job No. CRF.HP.2017.18.123,13-Dec-2021,"INR 35,466,797",540.0,Sandeep Sobti,13-Dec-2021 11:56 AM,OMparakash39899.pdf (727.00 KB),proceeding,Er. S.K. Sobti,Internal,DAO Supdt.,Sandeep Sobti,13-Dec-2021 11:49 AM,finsummary_58895.pdf (462.60 KB),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Earnest Money Deposit (indicated in Schedule F),,,,,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,2.0,175868.0,OM PARKASH SHARMA AND SONS,31-Aug-2020 05:48 PM,Accepted-AOC,1st lowest,13-Dec-2021 11:56 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors Registration (Refer General Rule No 23),,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST registration (Refer General Rule No 21),,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Permanent Account Number (PAN),,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work Done Certificate of similar nature and detail of ongoing works (Refer General Rule No 19),,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"List of Machinery, Tool, Plant (Refer Schedule F with reference to Clause 18)",,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Registration under Employees Provident Funds and Miscellaneous Provision act 1952,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An Affidavit that the Contractor has not more than two works in hand (Refer General Rule 28),,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Minimum Turnover for Last Five Years alongwith balance sheet (Refer Schedule D),,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
