Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Instrument Type,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
Er. S.K. Sobti,Internal,DAO Supdt,Sandeep Sobti,24-Dec-2021 12:01 PM,finsummary_75433.pdf (196.43 KB),24-Dec-2021,"INR 1,416,713",120.0,Sandeep Sobti,24-Dec-2021 12:08 PM,Nikhil50413.pdf (565.00 KB),Award letter,PWD,2021_PWD_50413_1,PW/RMP/2021-2743-45 dated 28.06.2021,C.O Mahatma Gandhi Govt. Engineering college at Kotla (Jeori) Tehsil Rampur Distt. Shimla H.P. (C.O Main Gate,Er. S.K. Sobti,Internal,"AE, DHD",Sandeep Sobti,03-Aug-2021 11:16 AM,03-Aug-2021 11:30 AM,techsummary_75433.pdf (196.44 KB),Finance,Proceeding,Sandeep Sobti,24-Dec-2021 11:54 AM,None,BOQ Comparative Chart,1.0,226957.0,Nikhil Sharma,INR,"1,479,163",Technical,proceeding,Sandeep Sobti,03-Aug-2021 11:02 AM,technical_75433.pdf,1.0,226964.0,Akshat Sharma,01-Aug-2021 02:31 PM,Rejected-AOC,2nd lowest,24-Dec-2021 12:08 PM,AOC,EE Rampur,EE B and R Division HPPWD Rampur,27-Jul-2021 02:00 PM,02-Aug-2021 11:00 AM,27-Jul-2021 02:00 PM,02-Aug-2021 09:00 AM,27-Jul-2021 02:00 PM ,02-Aug-2021 09:00 AM ,27-Jul-2021 02:00 PM,02-Aug-2021 09:00 AM,03-Aug-2021 11:30 AM,PWD,PW/RMP/2021-2743-45 dated 28.06.2021,2021_PWD_50413_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,"28,500",Yes,fixed,,EE Rampur,Rampur,500.0,EE Rampur,Rampur,Yes,1.0,DD - Demand Draft,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender Form (indicated in Schedule F),C.O Mahatma Gandhi Govt. Engineering college at Kotla (Jeori) Tehsil Rampur Distt. Shimla H.P. (C.O Main Gate,C.O Mahatma Gandhi Govt. Engineering college at Kotla (Jeori) Tehsil Rampur Distt. Shimla H.P. (C.O Main Gate,Please refer Tender documents. ,NA ,"14,16,713",Civil Works - Buildings,NA ,Tender,90.0,NA ,EE B and R Divison HPPWD Rampur,172001.0,NA ,NA ,NA ,EE Rampur,No ,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,226957.0,Nikhil Sharma,01-Aug-2021 01:57 PM,Accepted-AOC,1st lowest,24-Dec-2021 12:08 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,.pdf,Earnest Money Deposit (indicated in Schedule F),,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors Registration (Refer General Rule No 23),,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST registration (Refer General Rule No 21),,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Permanent Account Number (PAN),,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work Done Certificate of similar nature and detail of ongoing works (Refer General Rule No 19),,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Registration under Employees Provident Funds and Miscellaneous Provision act 1952,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Clearance of GST return attested by CA.,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,SBD,,,,,,,,,,,,,,,,,,,AOC
