Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.3,Updated On :.2,Financial Bid Opening Date:,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,S.No,Bank Name,Tender Stage
Finance,Financial Bid Opening Summary,Ashish Rana,27-Sep-2021 03:12 PM,finance_76717.pdf,BOQ Comparative Chart,Technical,Technical Bid Opening Summary,Ashish Rana,27-Sep-2021 01:18 PM,technical_76717.pdf,23-Dec-2021,"INR 4,618,856",90.0,Ashish Rana,23-Dec-2021 06:14 PM,AOC.pdf (708.00 KB),Award to the Contractor,Er JS Chauhan SE,Internal,WS CHD SE,Ashish Rana,27-Sep-2021 01:21 PM,27-Sep-2021 02:00 PM,techsummary_76717.pdf (144.79 KB),1.0,231442.0,Hira singh manta,23-Aug-2021 01:32 PM,Rejected-Finance,Reject,23-Dec-2021 06:13 PM,1.0,231998.0,Satish Kumar,INR,"3,482,149","HP Irrigation and Public Health||Nahan Circle,Irrigation and Public Health,HP||Nahan,Irrigation and Public Health,HP",2021_HPIPH_51326_2,NHN-SMROO-722-TA-Tender- 6621-70 dated 16/08/2021,Providing FHTC of LWSS Banka Bara in GP KalAmb under Jal Jeevan Mission Tehsil Nahan Distt. Sirmour HP,Er JS Chouhan SE,Internal,Supdt WS CHD AED EED EENahan SE,Ashish Rana,23-Dec-2021 06:13 PM,finsummary_76717.pdf (707.63 KB),AOC,800.0,Executive Engineer Jal Shakti Division Nahan,Nahan,No,"76,800",Yes,fixed,,Executive Engineer Jal Shakti Division Nahan,Nahan,Providing FHTC of LWSS Banka Bara in GP KalAmb under Jal Jeevan Mission Tehsil Nahan Distt. Sirmour HP,Laying and jointing of GMS pipes for house hold connection 681 Nos. and improvement of distribution system) under JJM,Please refer Tender documents. ,NA ,"46,18,856",Pipe Laying Works,NA ,Tender,120.0,90.0,Nahan,173001.0,NA ,NA ,NA ,Nahan,No ,No,1.0,Fee/PreQual/Technical,.pdf,Earnest Money as mentioned in NIT,"HP Irrigation and Public Health||Nahan Circle,Irrigation and Public Health,HP||Nahan,Irrigation and Public Health,HP",NHN-SMROO-722-TA-Tender- 6621-70 dated 16/08/2021,2021_HPIPH_51326_2,Yes,Open Tender,Item Rate,Works,2.0,No,No,Both(Online/Offline),No,No,No,17-Aug-2021 05:00 PM,25-Aug-2021 11:30 AM,17-Aug-2021 05:00 PM,25-Aug-2021 11:00 AM,NA ,NA ,17-Aug-2021 05:00 PM,25-Aug-2021 11:00 AM,27-Sep-2021 02:00 PM,Executive Engineer Jal Shakti Division Nahan,Executive Engineer Jal Shakti Division Nahan,1.0,ICICI BANK,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,2.0,232034.0,Keshav Kumar,25-Aug-2021 10:37 AM,Rejected-Finance,Reject,23-Dec-2021 06:13 PM,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Cost of Tender Form as mentioned in NIT,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,3.0,231525.0,OM PARKASH SHARMA,22-Aug-2021 04:18 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,27-Sep-2021 01:18 PM,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Registration in JSV vibhag as mentioned in NIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,4.0,231998.0,Satish Kumar,25-Aug-2021 10:45 AM,Accepted-AOC,AOC,23-Dec-2021 06:14 PM,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,EPF Registration copy as mentioned in NIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,PAN and GST No. as mentioned in NIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Undertaking Joint Venture is not allowed as mentioned in NIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Undertaking carefully study all terms and conditions as mentioned in NIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit specifying that the benefit availed under earnest money exemption has not been exhausted s,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Undertaking that the he will comply with the provision of contract Labour (Regulation of Abolition),,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
