Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Instrument Type,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage
EE Rampur,EE Rampur B and R Division HPPWD Rampur,500.0,EE Rampur,Rampur,Yes,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender Form (indicated in Schedule F),"27,000",Yes,fixed,,EE Rampur,Rampur,1.0,DD - Demand Draft,Periodical Renewal on Annu Munish road for the year 2019.20,SH Providing and laying WBM G.III and 25mm thick bituminous concrete surfacing in Km. 1.000 to 2.000 and 2.000 to 3.000,Please refer Tender documents. ,NA ,"13,32,377",Civil Works - Roads,NA ,Tender,90.0,NA ,EE B and R Divisioin HPPWD Rampur,172001.0,NA ,NA ,NA ,EE Rampur,No ,No,07-Oct-2020 01:00 PM,16-Oct-2020 11:00 AM,07-Oct-2020 01:00 PM,16-Oct-2020 09:00 AM,07-Oct-2020 01:00 PM ,16-Oct-2020 09:00 AM ,07-Oct-2020 01:00 PM,16-Oct-2020 09:00 AM,22-Oct-2020 03:00 PM,PWD,PW/RMP/2020-7690-92 dated 24.09.2020,2020_PWD_41408_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,AOC,Er. S.K. Sobiti,Internal,Supdt. DAO,Sandeep Sobti,22-Oct-2020 02:21 PM,22-Oct-2020 03:00 PM,techsummary_61115.pdf (291.43 KB),PWD,2020_PWD_41408_1,PW/RMP/2020-7690-92 dated 24.09.2020,Periodical Renewal on Annu Munish road for the year 2019.20,13-Dec-2021,"INR 1,332,377",60.0,Sandeep Sobti,13-Dec-2021 12:42 PM,Dharam41408.pdf (569.00 KB),Award letter,E,Internal,DAO Supdt.,Sandeep Sobti,13-Dec-2021 12:39 PM,finsummary_61115.pdf (289.84 KB),Finance,proceeding,Sandeep Sobti,13-Dec-2021 12:35 PM,None,BOQ Comparative Chart,1.0,182655.0,DHARAM PAL GOVT CONTRACTOR,INR,"1,884,833",1.0,182678.0,AJAY KUMAR,15-Oct-2020 04:09 PM,Rejected-AOC,2nd lowest,13-Dec-2021 12:42 PM,Technical,proceeding,Sandeep Sobti,17-Oct-2020 04:15 PM,technical_61115.pdf,AOC
,,,,,,,,.pdf,Earnest Money Deposit (indicated in Schedule F),,,,,,,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,182655.0,DHARAM PAL GOVT CONTRACTOR,15-Oct-2020 02:54 PM,Accepted-AOC,1st lowest,13-Dec-2021 12:42 PM,,,,,,AOC
,,,,,,,,.pdf,Contractors Registration (Refer General Rule No 23),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,.pdf,GST registration (Refer General Rule No 21),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,.pdf,Permanent Account Number (PAN),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,.pdf,Work Done Certificate of similar nature and detail of ongoing works (Refer General Rule No 19),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,.pdf,"List of Machinery, Tool, Plant (Refer Schedule F with reference to Clause 18)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,.pdf,Registration under Employees Provident Funds and Miscellaneous Provision act 1952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,.pdf,Clearance of GST return attested by CA.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
