Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD through BG/ST or EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Instrument Type,S.No.1,Corrigendum Title,Corrigendum Type,View,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,BOQ Comparative Chart :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage
Public Works Roads Department,CE/APART/39/2021/15,2021_PWD_21357_11,Yes,Open Tender,Lump-sum,Works,2.0,No,No,Offline,No,No,No,"2,69,780",No,fixed,,"The Chief Engineer, PWRD (EAP), Assam",GUWAHATI,"Chief Engineer, PWRD (EAP), Assam","O/o The Chief Engineer, PWRD (EAP), Assam",1.0,Fee/PreQual/Technical,.pdf,EMD,"5,000","State Project Director, ARIAS Society",GUWAHATI,No,1.0,BG - Bank Guarantee Irrevocable,1.0,Corrigendum 13,Date,,APART/NOCP/ROADS/C-06(Baromoni Road to 133 No. L.P. School),"Construction of Road from Baromoni Road to 133 No. L.P. School via Gurukul School of Village Nagdiram pt-ii, Mouza Bonraj in Cachar District (Length-1.10 K.M.)",Please refer Tender documents. ,NA ,"1,34,89,000",Civil Works – Roads,NA ,Tender,90.0,270.0,Cachar District,788121.0,"O/o The Chief Engineer, PWRD (EAP), Assam ","O/o The Chief Engineer, PWRD (EAP), Assam Fatasil Ambari, Guwahati-781025 ",03-Mar-2021 11:00 AM ,"O/o The Chief Engineer, PWRD (EAP), Assam",No ,No,22-Feb-2021 06:00 PM,02-Sep-2021 02:30 PM,22-Feb-2021 06:15 PM,02-Sep-2021 02:00 PM,22-Feb-2021 06:30 PM ,03-Mar-2021 11:00 AM ,22-Feb-2021 06:30 PM,02-Sep-2021 02:00 PM,22-Nov-2021 02:30 PM,AOC,Technical,Technical bids has been opened,PALLAVI CHAKRAVORTY,03-Sep-2021 06:19 PM,,"Chief Engineer,(EAP)PWRD,Assam",Internal,"Deputy Secretary(Works),PWRD,CPIU and Superintending Engineer(Planning),CE,PWRD(Roads),Assam",PALLAVI CHAKRAVORTY,26-Nov-2021 11:16 AM,finsummary_33343.pdf (157.46 KB),"Chief Engineer,(EAP)PWRD,Assam",Internal,"Deputy Secretary(Works),PWRD,CPIU and Superintending Engineer(Planning),CE,PWRD(Roads),Assam",PALLAVI CHAKRAVORTY,20-Nov-2021 06:25 PM,22-Nov-2021 02:30 PM,techsummary_33343.pdf (156.87 KB),1,122061,Aktar Hussain Laskar,01-Sep-2021 09:52 PM,Rejected-Technical,As per the decision of Bid Evaluation Committee.,20-Nov-2021 06:25 PM,Finance,Financial Bids has been opened,PALLAVI CHAKRAVORTY,22-Nov-2021 05:32 PM,,BOQ Comparative Chart,09-Dec-2021,INR 1.2072E+7,270.0,PALLAVI CHAKRAVORTY,24-Dec-2021 03:36 PM,Work_order_Rd__Baromoni_C-06.pdf (163.00 KB),1.0,121896.0,Biplab Bhattacharjee,INR,12072000.0,Public Works Roads Department,2021_PWD_21357_11,CE/APART/39/2021/15,APART/NOCP/ROADS/C-06(Baromoni Road to 133 No. L.P. School),AOC
,,,,,,,,,,,,,,,,,,,,,,,,.pdf,SBD,,,,,2.0,FDR - Fixed Deposit Receipt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,2,121888,Animesh Deb,31-Aug-2021 01:20 PM,Rejected-Finance,Rejected as L2 Bidder,26-Nov-2021 11:16 AM,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Tender Fee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,3,118057,BASANTA KUMAR KAKATI,02-Sep-2021 12:22 AM,Not Admitted-Fee/PreQual/Technical,Others-Hard copy not submitted,03-Sep-2021 06:19 PM,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Technical Qualification Details,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,4,121896,Biplab Bhattacharjee,31-Aug-2021 05:07 PM,Accepted-AOC,Awarded Contract Bidder,24-Dec-2021 03:36 PM,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Letter of Bid (Technical),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,5,122042,G.L. Traders,01-Sep-2021 03:32 PM,Rejected-Technical,As per the decision of Bid Evaluation Committee.,20-Nov-2021 06:25 PM,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.pdf,Letter of Bid (Financial),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,6,117207,kabuj mahmud laskar,30-Aug-2021 07:50 PM,Not Admitted-Fee/PreQual/Technical,Others-Hard copy not submitted,03-Sep-2021 06:19 PM,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,7,119701,Md Nabirul Islam,01-Sep-2021 04:24 PM,Rejected-Technical,As per the decision of Bid Evaluation Committee.,20-Nov-2021 06:25 PM,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,8,122102,M/S NORTH EASTERN TRADERS,02-Sep-2021 12:03 PM,Rejected-Technical,As per the decision of Bid Evaluation Committee.,20-Nov-2021 06:25 PM,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,9,122086,R F CONSTRUCTION and CONSULTANCY,02-Sep-2021 11:38 AM,Rejected-Technical,As per the decision of Bid Evaluation Committee.,20-Nov-2021 06:25 PM,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,10,121869,Sri Jahar Paul,02-Sep-2021 11:12 AM,Rejected-Technical,As per the decision of Bid Evaluation Committee.,20-Nov-2021 06:25 PM,,,,,,,,,,,,,,,,,,,,,,AOC
