Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :,Document :.2,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Instrument Type,Tender Stage
Finance,summary,Arvind Lakhanpal,03-Mar-2021 05:38 PM,finance_66497.pdf,BOQ Comparative Chart,1.0,199005.0,SAJEEV KUMAR GOVT.CONTRACTOR,INR,"2,495,507",Technical,Summary,Arvind Lakhanpal,01-Mar-2021 05:40 PM,technical_66497.pdf,1.0,198980.0,ANIL KUMAR,18-Feb-2021 06:17 PM,Rejected-AOC,Higher,02-Dec-2021 04:14 PM,EE,Internal,SUPDT/HDM/AE,Arvind Lakhanpal,03-May-2021 02:06 PM,finsummary_66497.pdf (160.42 KB),27-Oct-2021,"INR 1,542,197",120.0,Arvind Lakhanpal,02-Dec-2021 04:14 PM,SanjeevChamyola.pdf (665.00 KB),AOC,PWD,2021_PWD_44360_1,No.PW/TDD/NIT-2021-22943TD28,C/o Link road to Village Chamyola Km. 0/0 to 1/390,EE,Internal,SUPDT/HDM/AE,Arvind Lakhanpal,01-Mar-2021 05:59 PM,02-Mar-2021 10:30 AM,techsummary_66497.pdf (48.23 KB),AOC,1.0,Fee/PreQual/Technical,.pdf,DD must be payable at Hamirpur,500.0,EE Dodrakawar,Rohru/Dodrakawar,Yes,"Executive Engineer, HPPWD Division Tauni Devi","Executive Engineer, HPPWD Division Tauni Devi",PWD,No.PW/TDD/NIT-2021-22943TD28,2021_PWD_44360_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,"31,000",Yes,fixed,,EE Dodrakawar,Rohru/Dodrakawar,15-Feb-2021 09:00 AM,20-Feb-2021 11:00 AM,15-Feb-2021 09:00 AM,20-Feb-2021 10:30 AM,NA ,NA ,15-Feb-2021 09:00 AM,20-Feb-2021 10:30 AM,02-Mar-2021 10:30 AM,C/o Link road to Village Chamyola Km. 0/0 to 1/390,"C/o R/walls at various RDs and GSB ,WMM and P/L premix carpet with seal coat at RD.0/0 to 1/390",Please refer Tender documents. ,NA ,,Civil Works,NA ,Tender,90.0,120.0,"Executive Engineer, HPPWD Division Tauni Devi",177023.0,NA ,NA ,NA ,"Executive Engineer, HPPWD Division Tauni Devi",No ,No,1.0,DD - Demand Draft,AOC
,,,,,,,,,,,,,,,,2.0,198994.0,ANITA KUMARI,18-Feb-2021 06:06 PM,Rejected-AOC,Higher,02-Dec-2021 04:14 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,EMD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,AOC
,,,,,,,,,,,,,,,,3.0,198979.0,ASHWANI KUMAR GOVT. CONTRACTOR,18-Feb-2021 06:36 PM,Rejected-AOC,Higher,02-Dec-2021 04:14 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,4.0,199005.0,SAJEEV KUMAR GOVT.CONTRACTOR,18-Feb-2021 06:25 PM,Accepted-AOC,1,02-Dec-2021 04:14 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,GST and latest return,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Work Done Certificate (General Rule No. 19),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Work in hand Certificate (General Rule No.19),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,"List of Machinery, Tool , Hot mix plant within reach 30 Km or shown well Availability",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,List of Both Gaztted and Non Gaztted officer HPPWD employees related to him (General Rule No.16),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,An affidavit that information furnished with the bid (Name of work) is correct in all respect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,An Affidavit that the contractor has not more than two work in hand (General Rule No. 28.1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
