Type :,Summary :,Updated By :,Updated On :,Document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.3,Updated on :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage
Technical,Summary,R.K Dhiman,18-Oct-2021 03:03 PM,technical_78945.pdf,1.0,239621.0,ABHINAV MAHAJAN,05-Oct-2021 07:23 PM,Accepted-AOC,Accepted due to lowest rates bidder L1,30-Dec-2021 03:05 PM,1.0,239621.0,ABHINAV MAHAJAN,INR,"1,706,024",Finance,Summary,R.K Dhiman,23-Oct-2021 11:59 AM,finance_78945.pdf,BOQ Comparative Chart,16-Dec-2021,"INR 956,254",182.0,R.K Dhiman,30-Dec-2021 03:05 PM,Award.pdf (784.00 KB),Award,Executive Engineer,Internal,"Executive Engineer, Supdt G-II, HDM, DA",R.K Dhiman,23-Oct-2021 12:02 PM,finsummary_78945.pdf (183.91 KB),Executive Engineer,Internal,"Executive Engineer, Supdt G-II, HDM, DA",R.K Dhiman,18-Oct-2021 03:06 PM,19-Oct-2021 11:00 AM,techsummary_78945.pdf (240.59 KB),PWD,2021_PWD_52801_1,A/R and M/O HP.PWD Rest House under Jaisinghpur,A/R and M/O HP.PWD Rest House under Jaisinghpur Sub Division,AOC,A/R and M/O HP.PWD Rest House under Jaisinghpur Sub Division,C/O 1Nos Additional VIP Suite at HP.PWD Rest house Jaisinghpur,Please refer Tender documents. ,NA ,"9,56,254",Civil Works - Buildings,NA ,Tender,75.0,182.0,Jaisinghpur,176095.0,NA ,NA ,NA ,Jaisinghpur,No ,No,350.0,Nil,Nil,No,1.0,Fee/PreQual/Technical,.pdf,The valid enlistment/registration of contractor in appropriate class,Executive Engineer,Executive Engineer HP.PWD Division Jaisinghpur,PWD,A/R and M/O HP.PWD Rest House under Jaisinghpur,2021_PWD_52801_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,1.0,ICICI BANK,"19,200",No,fixed,,Nil,Nil,30-Sep-2021 10:00 AM,08-Oct-2021 11:00 AM,30-Sep-2021 10:30 AM,07-Oct-2021 05:00 PM,NA ,NA ,30-Sep-2021 10:30 AM,07-Oct-2021 05:00 PM,19-Oct-2021 11:00 AM,AOC
,,,,,2.0,239694.0,ASHISH DOGRA,06-Oct-2021 12:56 PM,Rejected-Finance,Rejected due to higher rates bidder L2,23-Oct-2021 12:02 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST/PAN/ EPF,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,AOC
,,,,,3.0,239082.0,chander pal rihal,06-Oct-2021 03:23 PM,Rejected-Technical,Non Responsive,18-Oct-2021 03:06 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done detail/work in hand in last five year with base year indicated in performa of Schedule F i,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done certificate and one work not less than 40 percent of estimated cost in similar nature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of machinery along with photo copy of RC and staff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding no near relative working in HPPWD department attested by notary / 1st class maji,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that the contractor has not more than two work in hand attested by notary / 1st class maji,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that information furnished with the bid (Name of work) is correct in all respect. attested,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No. 7 and 8 duly signed on judicial paper.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Cost of tender form (Indicated in schedule F),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
