Name,Address,S.No,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage
Executive Engineer,Jal Shakti Division NOhradhar,1.0,ICICI BANK,"1,500",EE Nohradhar,Nohradhar,No,"HP Irrigation and Public Health||Nahan Circle,Irrigation and Public Health,HP||Nauradhar Dn,Irrigation and Public Health,HP",19105-204 dated 15-02-2021,2021_HPIPH_44367_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Both(Online/Offline),No,No,No,"1,43,500",Yes,fixed,,EE Nohradhar,Nohradhar,15-Feb-2021 05:00 PM,22-Feb-2021 11:30 AM,15-Feb-2021 05:00 PM,22-Feb-2021 11:00 AM,NA ,NA ,15-Feb-2021 05:00 PM,22-Feb-2021 11:00 AM,26-Feb-2021 02:00 PM,1.0,Fee/PreQual/Technical,.pdf,Annual Turn Over Last 3 years,"Providing LWSS from Pallar Khad to PC hab. of GP Andheri, Lana Pallar, Ludhiana, Sainj Sangrah Tehsil Sangrah Distt. Sirmour","SH Laying, Jointing, Testing, Commissioning of GMS pipe line in distribution system feeder line.",Please refer Tender documents. ,NA ,,Pipe Laying Works,Distribution System FHTC ,Tender,120.0,120.0,Nohradhar,173104.0,NA ,NA ,NA ,Nohradhar,No ,No,AOC,Executive Engineer,Internal,DA Suptd HDM,Tilak Raj Pathak,29-Dec-2021 05:13 PM,finsummary_66522.pdf (348.58 KB),1.0,199539.0,M/S Sharma Enterpirses,INR,"13,454,079","HP Irrigation and Public Health||Nahan Circle,Irrigation and Public Health,HP||Nauradhar Dn,Irrigation and Public Health,HP",2021_HPIPH_44367_1,19105-204 dated 15-02-2021,"Providing LWSS from Pallar Khad to PC hab. of GP Andheri, Lana Pallar, Ludhiana, Sainj Sangrah Tehsil Sangrah Distt. Sirmour",29-Dec-2021,"INR 13,454,079",180.0,Tilak Raj Pathak,29-Dec-2021 05:16 PM,AWARD.pdf (398.00 KB),Work awarded to M/S Sharma Enterprises,Technical,Summury,Mohd. Arshad Rehman,26-Feb-2021 12:45 PM,technical_66522.pdf,Finance,Finacial,Mohd. Arshad Rehman,17-Mar-2021 12:20 PM,finance_66522.pdf,BOQ Comparative Chart,1.0,199646.0,HYDRAULIC ENGINEERING COMPANY,21-Feb-2021 07:01 PM,Rejected-Finance,Reject,29-Dec-2021 05:13 PM,Executive Engineer,Internal,"Suptd, HDM, Dealing Assistant",Mohd. Arshad Rehman,26-Feb-2021 12:53 PM,26-Feb-2021 02:00 PM,techsummary_66522.pdf (366.79 KB),AOC
,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done as per NIT,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,199522.0,KULDEEP SHARMA,20-Feb-2021 07:25 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,26-Feb-2021 12:45 PM,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Cost of tender form duly pledged in favor of EE Nohradhar,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,199539.0,M/S Sharma Enterpirses,21-Feb-2021 02:44 PM,Accepted-AOC,awarded,29-Dec-2021 05:16 PM,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Earnest Money duly pledged in favor of EE Nohradhar,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,199678.0,Ranjeet Singh,22-Feb-2021 10:04 AM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,26-Feb-2021 12:45 PM,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An affidavit that the firm has not been blacklisted by the Govt. and any other,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,PAN,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of Income Tax,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST Registration,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,EPF Registration,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Income tax return for the year 2019-20 and GST Clearance certificate,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
