Type :,Summary :,Updated By :,Updated On :,Document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :,Document :.2,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Name,Address,S.No,Instrument Type,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
Technical,Bid opening summary,Manish Sehgal,03-Mar-2020 02:12 PM,technical_50868.pdf,1.0,149356.0,M/s Kamala Enterprises,14-Feb-2020 12:21 PM,Accepted-AOC,Bidder Rank-L1,02-Dec-2021 03:31 PM,1.0,149356.0,M/s Kamala Enterprises,INR,"1,919,594",Finance,Summary,Manish Sehgal,02-Dec-2021 03:28 PM,finance_50868.pdf,BOQ Comparative Chart,Sh Manish Sehgal,Internal,,Manish Sehgal,02-Dec-2021 03:29 PM,finsummary_50868.pdf (471.89 KB),02-Dec-2021,"INR 2,217,898",90.0,Manish Sehgal,02-Dec-2021 03:31 PM,AOC.pdf (1062.00 KB),aoc,PWD,2020_PWD_34713_1,Parour Kharoth Gaggal-Khas Dheera 2/0 to 3/0,Providing and laying Annual Surfacing (Periodic Maintenance) on Parour Kharoth Gaggal-Khas Dheera Tapa Thaliyal Purba road Km 2/0 to 3/0 (during the year 2020-21) of Rural roads in the state of HP,Sh Manish Sehgal,Internal,Bhumi Dev Rana AE to EE Harjeet Singh Supdt Pawan Kumar Gupta HDM Rajesh Sood Sr DAO Manjeet Kumar TA,Manish Sehgal,03-Mar-2020 02:14 PM,03-Mar-2020 02:20 PM,techsummary_50868.pdf (854.38 KB),AOC,500.0,EE Bhawarna,Bhawarna,No,PWD,Parour Kharoth Gaggal-Khas Dheera 2/0 to 3/0,2020_PWD_34713_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,Providing and laying Annual Surfacing (Periodic Maintenance) on Parour Kharoth Gaggal-Khas Dheera Tapa Thaliyal Purba road Km 2/0 to 3/0 (during the year 2020-21) of Rural roads in the state of HP,"Providing and laying Tack coat, Bituminous Concrete, Thermoplastic Paint and C/o V-shape Drain in between Km 2/0 to 3/0",Please refer Tender documents. ,NA ,"14,96,473",Civil Works - Roads,NA ,Tender,120.0,90.0,Bhawarna,176083.0,NA ,NA ,NA ,EE Bhawarna,No ,No,1.0,Fee/PreQual/Technical,.pdf,Cost of tender form.In shape of demand draft as per SBD.,E.E. HPPWD Division Bhawarna,E.E. HPPWD Division Bhawarna,1.0,DD - Demand Draft,07-Feb-2020 03:55 PM,15-Feb-2020 12:00 PM,07-Feb-2020 04:00 PM,15-Feb-2020 11:00 AM,NA ,NA ,07-Feb-2020 04:30 PM,15-Feb-2020 11:00 AM,03-Mar-2020 02:20 PM,"30,000",No,fixed,,EE Bhawarna,Bhawarna,AOC
,,,,,2.0,149583.0,Sanjeev,15-Feb-2020 01:25 AM,Rejected-Finance,Bidder Rank-L2,02-Dec-2021 03:29 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Earnest money in shape of FDR duly pledged in favour of Executive Engineer, Bhawarna Division, HPPWD",,,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor registration.,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST registration.,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done certificate as per SBD.,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An affidavit that information furnished with the bid (with work name) are true.,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding no near relative working in HP PWD department.,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of machinery and equipment as per SBD.,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form 7/8 duly signed by the contractor.,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of PAN.,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,AOC
