S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No.1,Category,Sub Category,Sub Category Description,Format/File,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage
1.0,ICICI BANK,"3,08,500",Yes,fixed,,Nil,Nil,"5,000",Nil,Nil,No,1.0,Certificate Details ,Affidavit regarding correctness of bid ,Required in tender document in bidder file 1 ,,PWD,PW-RD-GA-T-13263-362dt3-11-20,2020_PWD_42634_1,Yes,Open Tender,Lump-sum,Works,2.0,No,No,Online,No,No,No,20-Nov-2020 10:00 AM,26-Nov-2020 11:00 AM,20-Nov-2020 10:00 AM,25-Nov-2020 06:00 PM,NA ,NA ,20-Nov-2020 10:00 AM,25-Nov-2020 06:00 PM,09-Dec-2020 11:00 AM,1.0,Fee/PreQual/Technical,.pdf,COST OF TENDER FORM,C/O 100.00mtr Span PSC Moterable Bridge Over River Pabbar On Link road to Village Sandhour From Theog Kotkhai Hatkoti Rohru Road at RD 0/050 under NABARD RIDF-XXV,C/O 100.00mtr Span PSC Moterable Bridge Over River Pabbar On Link road to Village Sandhour From Theog Kotkhai Hatkoti Rohru Road at RD 0/050 under NABARD RIDF-XXV,Please refer Tender documents. ,NA ,,Civil Works - Bridges,NA ,Tender,90.0,547.0,Rohru,171207.0,NA ,NA ,NA ,E E HPPWD ROHRU,No ,No,E E B and R Divn HPPWD ROHRU,E E B and R Divn HPPWD ROHRU,AOC,Finance,Bid Opening Summary,Duni Chand Chauhan,25-Oct-2021 04:01 PM,finance_63158.pdf,BOQ Comparative Chart,1.0,188518.0,V K Gupta and Associates,INR,"104,577,000",1.0,189050.0,Ajay Kumar Sharma,24-Nov-2020 03:51 PM,Rejected-Finance,TENDER AWARDED TO 1ST LOWEST,25-Oct-2021 04:36 PM,Technical,Bid Opening Summary,Pawan Kumar Garg,28-Nov-2020 05:10 PM,technical_63158.pdf,PAWAN KUMAR,Internal,MANOJ KUMAR DUNI CHAND,Pawan Kumar Garg,09-Dec-2020 10:48 AM,09-Dec-2020 11:00 AM,techsummary_63158.pdf (128.38 KB),PWD,2020_PWD_42634_1,PW-RD-GA-T-13263-362dt3-11-20,C/O 100.00mtr Span PSC Moterable Bridge Over River Pabbar On Link road to Village Sandhour From Theog Kotkhai Hatkoti Rohru Road at RD 0/050 under NABARD RIDF-XXV,09-Dec-2021,"INR 104,577,000",547.0,Pawan Kumar Garg,09-Dec-2021 10:00 AM,VKGupta2ndRB7-12-21.pdf (68.00 KB),C/O 100.00mtr Span PSC Moterable Bridge Over River Pabbar On Link road to Village Sandhour From Theog Kotkhai Hatkoti Rohru Road at RD 0/050 under NABARD RIDF-XXV,AJAY VERMA,Internal,A E ROHRU E E ROHRU AND CHD 14TH CIRCLE,Duni Chand Chauhan,25-Oct-2021 04:36 PM,finsummary_63158.pdf (81.96 KB),AOC
2.0,ICICI NEFT/RTGS,,,,,,,,,,,2.0,Machinery Details ,Machinery Details ,Machinery Details ,HP_Machinery.xls,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,EARNEST MONEY,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,2.0,188518.0,V K Gupta and Associates,25-Nov-2020 04:44 PM,Accepted-AOC,work in progress security has been deducted 2nd running bill amounting to rupees 418308,09-Dec-2021 10:00 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,3.0,Miscellaneous ,Existing Work Order Commitment ,Ongoing Work Order Details with percentage of work completed ,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,CONTRACTOR REGISTRATION,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,PAN NUMBER,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,EPF NUMBER GST NUMBER AND SALES TAX NUMBER,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,WORK DONE CERTIFICATES AS PER CLAUSE 19 OF GENERAL RULES,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,WORK IN HAND DETAILS AS PER CLAUSE 19 OF GENERAL RULES,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,MACHINARY AND TOOLS DETAILS AS GIVEN IN SCHEDULE F FOR CLAUSE 18 OF GENERAL RULE,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,AFFIDAVIT REGARDING GAZETTE NONGAZET CORRECTNESS OF INFORMATION SUBMITTED,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,CA/Turnover of Last five year,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
