S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.3,Updated on :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage,S.No,Instrument Type,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Tender Stage
1.0,199913.0,Rahul Thakur,INR,"5,376,364",Finance,BOS,Jeet Singh Thakur,01-Dec-2021 03:46 PM,None,BOQ Comparative Chart,Technical,BOS,Jeet Singh Thakur,03-Mar-2021 02:43 PM,technical_66159.pdf,1.0,199919.0,Kamal Thakur,23-Feb-2021 10:45 AM,Rejected-Finance,Work Awarded to lowest contractor,04-Dec-2021 12:46 PM,04-Dec-2021,"INR 3,769,464",60.0,Deepak Mahajan,04-Dec-2021 12:58 PM,AL.pdf (1222.00 KB),Award Letter,Executive Engineer,Internal,Senior Assistant Superintendent HDM AE,Deepak Mahajan,04-Dec-2021 12:46 PM,finsummary_66159.pdf (18.33 KB),Executive Engineer Salooni,Internal,Assistant Engineer HDM Superintendent Senior Assistant,Jeet Singh Thakur,03-Mar-2021 03:34 PM,06-Mar-2021 11:30 AM,techsummary_66159.pdf (501.00 KB),PWD,2021_PWD_44143_1,No. PW-SD- 10075-10125 dt 1.2.21,Periodical maintenance on Bihali Bachuni Chamber Katara road under Performance based financial incentive 2019-2020 (Part-II) during the year 2020-2021 (Under PMGSY) Rural Road,AOC,1.0,DD - Demand Draft,Periodical maintenance on Bihali Bachuni Chamber Katara road under Performance based financial incentive 2019-2020 (Part-II) during the year 2020-2021 (Under PMGSY) Rural Road,Periodical maintenance on Bihali Bachuni Chamber Katara road under Performance based financial incentive 2019-2020 (Part-II) during the year 2020-2021 (Under PMGSY) Rural Road,Please refer Tender documents. ,NA ,,Civil Works - Roads,NA ,Tender,75.0,60.0,Salooni,176320.0,NA ,NA ,NA ,Executive Engineer Salooni Division HPPWD Salooni,No ,No,10-Feb-2021 10:00 AM,23-Feb-2021 11:30 AM,10-Feb-2021 10:00 AM,23-Feb-2021 11:00 AM,NA ,NA ,10-Feb-2021 10:00 AM,23-Feb-2021 11:00 AM,06-Mar-2021 11:30 AM,Executive Engineer Salooni Division HPPWD Salooni,Executive Engineer Salooni Division HPPWD Salooni,PWD,No. PW-SD- 10075-10125 dt 1.2.21,2021_PWD_44143_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,"64,100",No,fixed,,Executive Engineer Salooni Division HPPWD Salooni,Salooni,"1,500",Executive Engineer Salooni Division HPPWD Salooni,Salooni,No,1.0,Fee/PreQual/Technical,.pdf,Cost of tender Form (indicated in schedule F)Cost of tender Form (indicated in schedule F),AOC
,,,,,,,,,,,,,,,,2.0,199913.0,Rahul Thakur,23-Feb-2021 10:09 AM,Accepted-AOC,Accepted,04-Dec-2021 12:58 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Earnest Money (indicated in schedule F),AOC
,,,,,,,,,,,,,,,,3.0,199862.0,R P Dhiman,22-Feb-2021 06:45 PM,Rejected-Finance,Work Awarded to lowest contractor,04-Dec-2021 12:46 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors Registration (General Rule No 23),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST Number,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Pan Number,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form 8 duly signed by the contractor,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit/undertaking regarding not having two works in hand at the time of bid,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Documentary proof of ownership of 30/40 tonne capacity Hot mix plant paver finisher and Road Roller,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Bill of Quantity,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,AOC
