Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.3,Updated On :.2,Financial Bid Opening Date:,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage
Finance,Fianacial,Tilak Raj Pathak,20-Sep-2021 04:01 PM,finance_75595.pdf,BOQ Comparative Chart,Technical,Bid Summury,Tilak Raj Pathak,31-Aug-2021 12:01 PM,technical_75595.pdf,29-Dec-2021,"INR 31,198,520",180.0,Tilak Raj Pathak,29-Dec-2021 01:27 PM,AWARD.pdf (302.00 KB),Work awarded to M/S Hydraulic Engineer,Cheif Engineer,Internal,SE D Shimla SE Nahan EE Shimla EE Nohradhar AE Shimla Jt. Contr.,Tilak Raj Pathak,31-Aug-2021 12:10 PM,31-Aug-2021 12:15 PM,techsummary_75595.pdf (585.25 KB),1.0,227773.0,HILL CONSTRUCTION AND ENGINEERING CO. SOLAN,06-Aug-2021 02:20 PM,Rejected-Finance,Reject,29-Dec-2021 01:22 PM,1.0,227790.0,HYDRAULIC ENGINEERING COMPANY,INR,"31,198,520","HP Irrigation and Public Health||Nahan Circle,Irrigation and Public Health,HP||Nauradhar Dn,Irrigation and Public Health,HP",2021_HPIPH_50548_1,7218-7317 dated 29-07-2021,"Providing GWSS to multivillage for Gram Panchayats Nohradhar, Choker, Deva Manal, Bharadi, Bhutli Manal, Shamra, Bhattan Bhujond, Gawahi, Lana Cheta and Sewr Tandula Tehsil Nohradhar DIstt. Sirmour",Executive Engineer,Internal,TA DAO Gr-II DHD Suptd,Tilak Raj Pathak,29-Dec-2021 01:22 PM,finsummary_75595.pdf (209.99 KB),AOC,Executive Engineer,Jal Shakti Division Nohradhar,"2,77,350",Yes,fixed,,EE Nohradhar,Nohradhar,29-Jul-2021 06:00 PM,07-Aug-2021 11:30 AM,29-Jul-2021 06:00 PM,07-Aug-2021 11:00 AM,NA ,NA ,29-Jul-2021 06:00 PM,07-Aug-2021 11:00 AM,31-Aug-2021 12:15 PM,"2,500",EE Nohradhar,Nohradhar,No,1.0,Fee/PreQual/Technical,.pdf,Average annual over during Last Three year,"Providing GWSS to multivillage for Gram Panchayats Nohradhar, Choker, Deva Manal, Bharadi, Bhutli Manal, Shamra, Bhattan Bhujond, Gawahi, Lana Cheta and Sewr Tandula Tehsil Nohradhar DIstt. Sirmour","SH C/O RCC intake chambers Sedimentation Tanks, Slow sand filter bed 80 sqm in 2 units, sump well, main storage tanks at different locations providing laying, jointing of API pipe and laying and jointing of GMS pipe line in pumping machinery wth al",Please refer Tender documents. ,NA ,"2,44,81,443",Civil Works,along with pumping machinery and pipe laying works ,Tender,120.0,180.0,Nohradhar,173104.0,NA ,NA ,NA ,Executive ENgineer,No ,No,1.0,ICICI BANK,"HP Irrigation and Public Health||Nahan Circle,Irrigation and Public Health,HP||Nauradhar Dn,Irrigation and Public Health,HP",7218-7317 dated 29-07-2021,2021_HPIPH_50548_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Both(Online/Offline),No,No,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,2.0,227790.0,HYDRAULIC ENGINEERING COMPANY,05-Aug-2021 07:34 PM,Accepted-AOC,Awarded,29-Dec-2021 01:27 PM,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work Done as per NIT,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,3.0,227816.0,Vijay Kumar,06-Aug-2021 10:35 AM,Rejected-Finance,Rejcted,29-Dec-2021 01:22 PM,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Latest copy of Registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,.pdf,cost of tender form,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Earnest money duly pledged in favor of EE Nohradhar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that the firm has not ever been black listed by the Govt.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,.pdf,PAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,.pdf,EPF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Income Tax Return 2020-21 and GST clearance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
