Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage
"5,000",Nil,Nil,No,1.0,Fee/PreQual/Technical,.pdf,Contractor Registration,11-Jun-2021 06:00 PM,18-Jun-2021 11:30 AM,11-Jun-2021 06:00 PM,18-Jun-2021 10:30 AM,NA ,NA ,11-Jun-2021 06:00 PM,18-Jun-2021 10:30 AM,28-Jun-2021 03:35 PM,1.0,ICICI BANK,PWD,C/O Khaneu Pandola Dughli Nouhara Km 0/0 to 2/337,2021_PWD_48424_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,"2,64,000",Yes,fixed,,Nil,Nil,EE Hamirpur,Executive Engineer HPPWD Hamirpur,C/O Khaneu Pandola Dughli Nouhara road Km 0/0 to 2/337,SH ROFD Road side structure X-Drainage work Soling Wearing Tarring and V-Shape Drain etc. Under NABARD,Please refer Tender documents. ,NA ,,Civil Works - Roads,NA ,Tender,60.0,365.0,Hamirpur,177001.0,NA ,NA ,NA ,Hamirpur,No ,No,AOC,EE Hamirpur,Internal,SupdtHDMSupdtABAEtoEE,Vivek Sharma,28-Jun-2021 03:32 PM,28-Jun-2021 03:35 PM,techsummary_72591.pdf (1080.93 KB),PWD,2021_PWD_48424_1,C/O Khaneu Pandola Dughli Nouhara Km 0/0 to 2/337,C/O Khaneu Pandola Dughli Nouhara road Km 0/0 to 2/337,17-Dec-2021,"INR 16,714,988",365.0,Vivek Sharma,17-Dec-2021 03:59 PM,AwardNabar.pdf (1438.00 KB),Award,EE Hamirpur,Internal,SupdtHDMSrDAOAEtoEE,Vivek Sharma,17-Dec-2021 03:52 PM,finsummary_72591.pdf (729.53 KB),1.0,217276.0,Sanjay Thakur,INR,"15,363,439.01",Finance,Attached,Vivek Sharma,17-Dec-2021 03:46 PM,finance_72591.pdf,BOQ Comparative Chart,1.0,217276.0,Sanjay Thakur,17-Jun-2021 12:57 PM,Accepted-AOC,l1,17-Dec-2021 03:59 PM,Technical,Attached,Vivek Sharma,28-Jun-2021 03:26 PM,technical_72591.pdf,AOC
,,,,,,.pdf,Work in hand Certificate AS PER SBD GENERAL RULES AND DIRECTIONS-16 SIMILAR WORK DONE 40 PERSENT,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,217765.0,umesh sharma,18-Jun-2021 09:07 AM,Rejected-Finance,l2,17-Dec-2021 03:52 PM,,,,,,AOC
,,,,,,.pdf,Copy of online receipt of EMD and Cost of Tender form,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,.pdf,An Affidavit that information furnished with the bid true and corrects,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,.pdf,GST and EPF Registration and GST and EPF Clearness latest statement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,.pdf,Copy of Pan No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,.pdf,Detail of machinery as per SBD with proof,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,.pdf,Working Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,.pdf,Financial Turn Over of last five year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,.pdf,PWD Form No 8 in SBD duly signed by the bidder and Witness and upload,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
