Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage
"Er. Rajesh Kumar, E.E.",Internal,"Er. Kuldeep Singh AE to EE Dinesh Kumar DAO Harish Chander Sharma Head Draughtsman , Jagpal Singh Supdt. Gr-II Tara Singh Supdt. Gr-II",Rajesh Kumar,09-Nov-2021 10:34 AM,finsummary_79065.pdf (531.01 KB),01-Dec-2021,"INR 734,192",30.0,Rajesh Kumar,04-Dec-2021 06:53 PM,Awardletter.pdf (936.00 KB),Awardletter,PWD,2021_PWD_52873_1,Job 6 Construction of Shed for 30 NMS 500 LPM Oxy,"Job 6 Construction of Shed for 30 NMS 500 LPM Oxygen plant, E.I. alongwith Gen set and Providing and Gas pipe line at Palkwah Tehsil Haroli Distt Una Sub Head Providing and Laying C.C flooring, Construction of Shed and balance work for the Construc","Er. Rajesh Kumar, EE",Internal,"Er. Arvind AE Dinesh Kumar, Sr. Divisional Accounts Officer Harish Chander Sharma Head Draughtsman , Jagpal Singh Supdt. Gr-II Tara Singh Supdt. Gr-II,",Arvind Chaudhary,30-Oct-2021 07:33 PM,03-Nov-2021 10:00 AM,techsummary_79065.pdf (630.63 KB),Finance,Proceedingregardingopeningoffinancialbids,Rajesh Kumar,09-Nov-2021 09:37 AM,finance_79065.pdf,BOQ Comparative Chart,1.0,240117.0,U R Construction,INR,"1,033,526",Technical,Bids List,Arvind Chaudhary,11-Oct-2021 05:50 PM,technical_79065.pdf,1.0,240059.0,Nitin Kumar Govt Contractor,08-Oct-2021 09:13 PM,Rejected-AOC,ok,04-Dec-2021 06:53 PM,AOC,"Job 6 Construction of Shed for 30 NMS 500 LPM Oxygen plant, E.I. alongwith Gen set and Providing and Gas pipe line at Palkwah Tehsil Haroli Distt Una Sub Head Providing and Laying C.C flooring, Construction of Shed and balance work for the Construc","Job 6 Construction of Shed for 30 NMS 500 LPM Oxygen plant, E.I. alongwith Gen set and Providing and Gas pipe line at Palkwah Tehsil Haroli Distt Una Sub Head Providing and Laying C.C flooring, Construction of Shed and balance work for the Construc",Please refer to Bidding Documents ,NA ,"7,34,192",Civil Works - Buildings,NA ,Tender,75.0,30.0,Una,174303.0,NA ,NA ,NA ,"Executive Engineer, Una Division, HPPWD, Una",No ,No,500.0,Nil,Nil,No,1.0,ICICI BANK,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender through online,PWD,Job 6 Construction of Shed for 30 NMS 500 LPM Oxy,2021_PWD_52873_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,"15,000",No,fixed,,Nil,Nil,"Executive Engineer, Una Division, HPPWD, Una","Executive Engineer, Una Division, HPPWD, Una",05-Oct-2021 10:00 AM,11-Oct-2021 11:00 AM,05-Oct-2021 10:30 AM,11-Oct-2021 09:00 AM,NA ,NA ,05-Oct-2021 10:30 AM,11-Oct-2021 09:00 AM,03-Nov-2021 10:00 AM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,240167.0,Nitish Thakur,10-Oct-2021 10:20 AM,Rejected-Technical,As Per Evaluation Bids,30-Oct-2021 07:33 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,.pdf,Earnest Money through online,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,240216.0,Satish Kumar,10-Oct-2021 10:26 PM,Rejected-Technical,As Per Evaluation Bids,30-Oct-2021 07:33 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors Registration with validity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,240117.0,U R Construction,09-Oct-2021 12:39 AM,Accepted-AOC,ok,04-Dec-2021 06:53 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,G.S.T. No.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,E.P.F. No.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of PAN Card issued by Income Tax Authorities.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Work Done Certificate duly issued by the Engineer-in-Charge, not below the rank of an E.E or equival",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An Affidavit of Both Gazetted and non-Gazetted officer HPPWD employees related to him (General Rule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An affidavit that information furnished with the bid (Name of works is correct in all respect).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An affidavit showing that the site has been visited by the contractors/ firms and he has studies as,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
