Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Cover No,Cover,Document Type,Description,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
Er. Narender Kumar Verma EE,Internal,"Er. D.S Kaundal AE, Sh.Ghanshyam Dass Supdt. G-II, Sh.Krishan Singh Supdt. G-II, Smt.Asha Kamal DHD, Sh. Ghan Shyam Jr. Asstt.",Narender verma,02-Sep-2021 10:58 AM,finsummary_75840.pdf (1505.77 KB),23-Dec-2021,"INR 320,064.08",30.0,Narender verma,23-Dec-2021 04:43 PM,AOC.pdf (1584.00 KB),"work awarded to sh. 3. Sh. Sachin Chauhan, Govt. Contractor, R/O Matu Ram Building, 1st Floor, old Bus Stand near Sheetla Mata Mandir, Ward No.5 Solan HP",PWD,2021_PWD_50713_2,No.PW.RGH-Tender-21-3687-3786 dt.31.7.21,C/D AND M/T on Shargaon Ranaghat road km 0/0 to 10/0 (SH C/O of 900 mm dia Hume pipe culvert along with wing walls both side wing walls at Rd 7/780)MNP,Er. Narender Kumar Verma EE,Internal,"Er. D.S Kaundal AE, Sh.Ghanshyam Dass Supdt. G-II, Sh.Krishan Singh Supdt. G-II, Smt.Asha Kamal DHD, Sh. Ghan Shyam Jr. Asstt.",Narender verma,10-Aug-2021 04:23 PM,10-Aug-2021 04:30 PM,techsummary_75840.pdf (1838.95 KB),Technical,SUMMARY,Narender verma,10-Aug-2021 03:43 PM,technical_75840.pdf,1.0,228039.0,Rajat thakur,07-Aug-2021 07:14 PM,Rejected-Finance,L3,02-Sep-2021 10:58 AM,Finance,SUMMARY,Narender verma,26-Aug-2021 11:09 AM,finance_75840.pdf,BOQ Comparative Chart,1.0,227554.0,Sachin Chauhan,INR,"320,064.08",AOC,02-Aug-2021 06:00 PM,09-Aug-2021 11:00 AM,02-Aug-2021 06:00 PM,09-Aug-2021 10:30 AM,NA ,NA ,02-Aug-2021 06:00 PM,09-Aug-2021 10:30 AM,10-Aug-2021 04:30 PM,350.0,Nil,Nil,No,PWD,No.PW.RGH-Tender-21-3687-3786 dt.31.7.21,2021_PWD_50713_2,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,"7,500",No,fixed,,Nil,Nil,EXECUTIVE ENGINEER,RAJGARH DIVISION HPPWD RAJGARH,1.0,Fee/PreQual/Technical,.pdf,COST OF TENDER Receipt uploaded,1.0,ICICI BANK,C/D AND M/T on Shargaon Ranaghat road km 0/0 to 10/0 (SH C/O of 900 mm dia Hume pipe culvert along with wing walls both side wing walls at Rd 7/780)MNP,C/D AND M/T on Shargaon Ranaghat road km 0/0 to 10/0 (SH C/O of 900 mm dia Hume pipe culvert along with wing walls both side wing walls at Rd 7/780)MNP,Please refer Tender documents. ,NA ,"3,55,626",Civil Works - Roads,NA ,Tender,75.0,30.0,RAJGARH DIVISION HPPWD RAJGARH,173101.0,NA ,NA ,NA ,EXECUTIVE ENGINEER RAJGARH DIVISION HPPWD RAJGARH,No ,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,227554.0,Sachin Chauhan,04-Aug-2021 04:32 PM,Accepted-AOC,L1,23-Dec-2021 04:43 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,EARNEST MONEY Receipt uploaded,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,228271.0,VIRENDER SHARMA,07-Aug-2021 06:30 PM,Rejected-Finance,L2,02-Sep-2021 10:58 AM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,CONTRACTORS REGISTRATION- Refer General Rule Sr. No 24.3,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST REGISTRATION-Refer General Rule Sr. No 24.4,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"THE CONTRACTOR IS REQUIRED TO STUDY GENERAL RULES DIRECTIONS, General Rule Sr. No 24.8 Form No 8 du",,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Permanent Account Number,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of both Gazatted and non gazatted officer HPPWD employees related to him Gen. Rule Sr.No.14),,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Undertaking regarding uploaded documents are true and correct,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Employees Provident Fund Number,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Any other information bidders like to provide.,,,,,,,,,,,,,,,,,,,,,AOC
