Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage
"HP Irrigation and Public Health||Nahan Circle,Irrigation and Public Health,HP||Nahan,Irrigation and Public Health,HP",NHN-SMR00-722- 4344-4394 dt 3-7-21,2021_HPIPH_49393_7,Yes,Open Tender,Item Rate,Works,2.0,No,No,Both(Online/Offline),No,No,No,1.0,ICICI BANK,"11,220",Yes,fixed,,Executive Engineer Jal Shakti Division Nahan,Nahan,250.0,Executive Engineer Jal Shakti Division Nahan,Nahan,No,1.0,Fee/PreQual/Technical,.pdf,Earnest Money in shape as mentioned in NIT,05-Jul-2021 05:00 PM,15-Jul-2021 11:30 AM,05-Jul-2021 05:00 PM,15-Jul-2021 11:00 AM,NA ,NA ,05-Jul-2021 05:00 PM,15-Jul-2021 11:00 AM,22-Jul-2021 11:55 AM,Executive Engineer Jal Shakti Division Nahan,Executive Engineer Jal Shakti Division Nahan,Providing FHTC of LWSS Bohal under JJM in GP Banethi Tehsil Nahan Distt. Sirmour hP,"Ext. from LWSS Banethi, Chakli, Bhon Ki Dhar, S/Tank to S/tank LWSS Bohal by L/J and testing of GMS pipe of various dia in distribution system and retrofitting of LWSS Bohal) Job No. 4 under JJM",Please refer Tender documents. ,NA ,,Pipe Laying Works,NA ,Tender,120.0,90.0,Nahan,173001.0,NA ,NA ,NA ,Nahan,No ,No,AOC,1.0,223281.0,Hushan Singh,14-Jul-2021 06:41 PM,Rejected-Finance,Reject,06-Oct-2021 05:34 PM,Er. Ashsh Rana EE,Internal,TA Supdt HDM DAO EE,Ashish Rana,22-Jul-2021 11:51 AM,22-Jul-2021 11:55 AM,techsummary_73997.pdf (106.11 KB),10-Dec-2021,"INR 560,911",90.0,Ashish Rana,10-Dec-2021 01:05 PM,AOC.pdf (795.00 KB),Award to Contractor,Technical,Technical Bid Opening Summary,Ashish Rana,22-Jul-2021 11:49 AM,technical_73997.pdf,Finance,Financial Bid Opening Summary,Ashish Rana,22-Jul-2021 12:39 PM,finance_73997.pdf,BOQ Comparative Chart,Er Ashish Rana EE,Internal,DM HDM EE,Ashish Rana,06-Oct-2021 05:34 PM,finsummary_73997.pdf (674.02 KB),1.0,223331.0,Kirpal Singh,INR,"634,259","HP Irrigation and Public Health||Nahan Circle,Irrigation and Public Health,HP||Nahan,Irrigation and Public Health,HP",2021_HPIPH_49393_7,NHN-SMR00-722- 4344-4394 dt 3-7-21,Providing FHTC of LWSS Bohal under JJM in GP Banethi Tehsil Nahan Distt. Sirmour hP,AOC
,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,.pdf,Cost of Tender Form as mentioned in NIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2.0,223331.0,Kirpal Singh,15-Jul-2021 07:36 AM,Accepted-AOC,AOC,10-Dec-2021 01:05 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Registration in HPJSV in valid class as mentioned in NIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,3.0,223283.0,Pradeep Kumar,14-Jul-2021 06:59 PM,Rejected-Finance,Reject,06-Oct-2021 05:34 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,EPF Registration as mentioned in NIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,4.0,223296.0,PREM SINGH,14-Jul-2021 08:07 PM,Rejected-Finance,Reject,06-Oct-2021 05:34 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,PAN and GST as mentioned in NIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Undertaking Joint Venture is not allowed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Undertaking carefully all terms and conditions as mentioned in NIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,affidavit specifying that the benefit availed under earnest money exemption has not been exhausted s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,undertaking that the he will comply with the provision of contract Labour (Regulation of Abolition),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
