S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated On :,Financial Bid Opening Date:,Document :.1,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,BOQ Comparative Chart :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,S.No,Bank Name,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage
1.0,216215.0,HYDRAULIC ENGINEERING COMPANY,INR,"5,240,000","HP Irrigation and Public Health||Nahan Circle,Irrigation and Public Health,HP||Nauradhar Dn,Irrigation and Public Health,HP",2021_HPIPH_48099_1,2928-2927 dated 02-06-2021,"Providing LWSS from Pallar Khad to PC hab. of GP Andheri, Lana Pallar, Ludhiana, Sainj and Sangrah Tehsil Sangrah Distt. Sirmour",Executive Engineer,Internal,Suptd DA HDM,Tilak Raj Pathak,29-Dec-2021 02:56 PM,finsummary_72096.pdf (198.85 KB),1.0,216572.0,Bharat Engg and Suppliers,13-Jun-2021 11:07 PM,Rejected-Finance,L3,29-Dec-2021 02:56 PM,Superintending Engineer,Internal,EE CHD AE Suptd,Mohd. Arshad Rehman,30-Jun-2021 04:53 PM,30-Jun-2021 05:00 PM,techsummary_72096.pdf (347.11 KB),Technical,Technical Bid,Mohd. Arshad Rehman,30-Jun-2021 04:46 PM,technical_72096.pdf,Finance,financial bid,Mohd. Arshad Rehman,30-Jun-2021 06:14 PM,finance_72096.pdf,BOQ Comparative Chart,29-Dec-2021,"INR 5,240,000",180.0,Tilak Raj Pathak,29-Dec-2021 03:01 PM,AWD.pdf (388.00 KB),work awarded to M/S Hydraulic Engineer,AOC,"HP Irrigation and Public Health||Nahan Circle,Irrigation and Public Health,HP||Nauradhar Dn,Irrigation and Public Health,HP",2928-2927 dated 02-06-2021,2021_HPIPH_48099_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Both(Online/Offline),No,No,No,"Providing LWSS from Pallar Khad to PC hab. of GP Andheri, Lana Pallar, Ludhiana, Sainj and Sangrah Tehsil Sangrah Distt. Sirmour",SH CO Supplying and erection of pumping machinery with allied accessories for phase 2nd,Please refer Tender documents. ,NA ,,Pumps/Motors,with alied accessories  ,Tender,120.0,180.0,Nohradhar,173104.0,NA ,NA ,NA ,Nohradhar,No ,No,"73,500",Yes,fixed,,EE Nohradhar,Nohradhar,800.0,EE Nohradhar,Nohradhar,No,1.0,Fee/PreQual/Technical,.pdf,Latest Copy of Registration,1.0,ICICI BANK,Executive Engineer,Jal Shakti Division NOhradhar,04-Jun-2021 09:00 AM,14-Jun-2021 11:30 AM,04-Jun-2021 09:00 AM,14-Jun-2021 11:00 AM,NA ,NA ,04-Jun-2021 09:00 AM,14-Jun-2021 11:00 AM,30-Jun-2021 05:00 PM,AOC
,,,,,,,,,,,,,,,2.0,216215.0,HYDRAULIC ENGINEERING COMPANY,12-Jun-2021 07:07 PM,Accepted-AOC,awarded,29-Dec-2021 03:01 PM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Tender Form Cost,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,3.0,216288.0,Sai Aqua Machines and Builders,12-Jun-2021 04:30 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,30-Jun-2021 04:46 PM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Earnest Money,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,4.0,216551.0,shiv iron general engineers,14-Jun-2021 08:35 AM,Rejected-Finance,L2,29-Dec-2021 02:56 PM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that the firm/Contractor not blacklisted by the Govt.,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,5.0,216496.0,Thakur Shiv Kumar,13-Jun-2021 06:07 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,30-Jun-2021 04:46 PM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,PAN,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of Income Tax,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of GST Registration,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,EPF Registration,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Income Tax Return for the year 2020-21,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,curve chart of pumping machinery,,,,,,,,,,,,,,AOC
