Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,S.No,Instrument Type,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :,Updated On :,Document :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage
PWD,PW/RMP/TA/2021-2934-36 dated 30.06.2021,2021_PWD_49963_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,"16,000",Yes,fixed,,EE Rampur,Rampur,EE Rampur,EE B and R Division HPPWD Rampur,Improvement of black spot on Rohru Sungri Bahli Taklech Nogli road Km. 27.000 to 80.000,SH C.O unlined surface drain in Km. 27.000 to 36.000,Please refer Tender documents. ,NA ,"7,92,900",Civil Works - Roads,NA ,Tender,90.0,NA ,B and R Division HPPWD Rampur,172001.0,NA ,NA ,NA ,EE Rampur,No ,No,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender Form (indicated in Schedule F),1.0,DD - Demand Draft,350.0,EE Rampur,Rampur,Yes,19-Jul-2021 11:00 AM,26-Jul-2021 11:00 AM,19-Jul-2021 11:00 AM,26-Jul-2021 09:00 AM,19-Jul-2021 11:00 AM ,26-Jul-2021 09:00 AM ,19-Jul-2021 11:00 AM,26-Jul-2021 09:00 AM,29-Jul-2021 11:00 AM,AOC,1.0,224201.0,DHARAM PAL GOVT CONTRACTOR,24-Jul-2021 03:07 PM,Accepted-AOC,1st lowest,24-Dec-2021 12:47 PM,Technical,Proceeding,Sandeep Sobti,28-Jul-2021 04:37 PM,technical_74749.pdf,1.0,224201.0,DHARAM PAL GOVT CONTRACTOR,INR,"720,000",Finance,Proceeding,Sandeep Sobti,24-Dec-2021 12:38 PM,None,BOQ Comparative Chart,Er. S.K. Sobti,Internal,AE Rampur DHD,Sandeep Sobti,28-Jul-2021 04:40 PM,29-Jul-2021 11:00 AM,techsummary_74749.pdf (277.02 KB),PWD,2021_PWD_49963_1,PW/RMP/TA/2021-2934-36 dated 30.06.2021,Improvement of black spot on Rohru Sungri Bahli Taklech Nogli road Km. 27.000 to 80.000,24-Dec-2021,"INR 792,900",60.0,Sandeep Sobti,24-Dec-2021 12:47 PM,DharamPal49963.pdf (526.00 KB),Award letter,Er. S.K. Sobti,Internal,proceeding,Sandeep Sobti,24-Dec-2021 12:42 PM,finsummary_74749.pdf (277.01 KB),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Earnest Money Deposit (indicated in Schedule F),2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,AOC,2.0,224283.0,NARAYAN SINGH,24-Jul-2021 03:21 PM,Rejected-AOC,2nd lowest,24-Dec-2021 12:47 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors Registration (Refer General Rule No 23),,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST registration (Refer General Rule No 21),,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Permanent Account Number (PAN),,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work Done Certificate of similar nature and detail of ongoing works (Refer General Rule No 19),,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"List of Machinery, Tool, Plant (Refer Schedule F with reference to Clause 18)",,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Registration under Employees Provident Funds and Miscellaneous Provision act 1952,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Clearance of GST return attested by CA.,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
