S.No,Instrument Type,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Name,Address,Tender Stage,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage
1.0,DD - Demand Draft,PWD,PW/RMP/2020-7690-92 dated 24.09.2020,2020_PWD_41413_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,"24,000",Yes,fixed,,EE Rampur,Rampur,Periodical Renewal on link road to Village Bahli road for the year 2019.20,SH Providing and laying WBM G.III and 25mm thick bituminous concrete surfacing in Km. 0.000 to 1.600,Please refer Tender documents. ,NA ,"11,94,281",Civil Works - Roads,NA ,Tender,90.0,NA ,EE B and R Divisioin HPPWD Rampur,172001.0,NA ,NA ,NA ,EE Rampur,No ,No,500.0,EE Rampur,Rampur,Yes,07-Oct-2020 01:00 PM,16-Oct-2020 11:00 AM,07-Oct-2020 01:00 PM,16-Oct-2020 09:00 AM,07-Oct-2020 01:00 PM ,16-Oct-2020 09:00 AM ,07-Oct-2020 01:00 PM,16-Oct-2020 09:00 AM,22-Oct-2020 03:00 PM,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender Form (indicated in Schedule F),E,EE Rampur B and R Division HPPWD Rampur,AOC,PWD,2020_PWD_41413_1,PW/RMP/2020-7690-92 dated 24.09.2020,Periodical Renewal on link road to Village Bahli road for the year 2019.20,Er. S.K. Sobiti,Internal,DAO Supdt.,Sandeep Sobti,22-Oct-2020 02:23 PM,22-Oct-2020 03:00 PM,techsummary_61118.pdf (291.43 KB),Er. S.K. Sobti,Internal,DAO Supdt.,Sandeep Sobti,13-Dec-2021 12:50 PM,finsummary_61118.pdf (303.21 KB),13-Dec-2021,"INR 1,194,281",60.0,Sandeep Sobti,13-Dec-2021 12:54 PM,DharamPal41413.pdf (568.00 KB),Award letter,Finance,Proceeding,Sandeep Sobti,13-Dec-2021 12:47 PM,None,BOQ Comparative Chart,1.0,182665.0,DHARAM PAL GOVT CONTRACTOR,INR,"1,734,066",1.0,182685.0,AJAY KUMAR,15-Oct-2020 04:36 PM,Rejected-AOC,2nd lowest,13-Dec-2021 12:54 PM,Technical,proceeding,Sandeep Sobti,17-Oct-2020 04:14 PM,technical_61118.pdf,AOC
2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Earnest Money Deposit (indicated in Schedule F),,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,182665.0,DHARAM PAL GOVT CONTRACTOR,15-Oct-2020 03:20 PM,Accepted-AOC,1st lowest,13-Dec-2021 12:54 PM,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors Registration (Refer General Rule No 23),,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST registration (Refer General Rule No 21),,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Permanent Account Number (PAN),,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work Done Certificate of similar nature and detail of ongoing works (Refer General Rule No 19),,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"List of Machinery, Tool, Plant (Refer Schedule F with reference to Clause 18)",,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Registration under Employees Provident Funds and Miscellaneous Provision act 1952,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Clearance of GST return attested by CA.,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
