Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Corrigendum Title,Corrigendum Type,View,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No.1,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage
E.E. HPPWD Division Bhawarna,E.E. HPPWD Division Bhawarna,Providing and laying Annual Surfacing (Periodic Maintenance) on Link road from Panapari Khas to Gartholi Km 0/0 to 0/715 under performance based Financial Incentive 2019-20 (during the year 2020-21) of PMGSY roads in the state of HP,Providing and laying Tack coat and Bituminous Concrete in Km 0/0 to 0/715,Please refer Tender documents. ,NA ,"5,69,180",Civil Works - Roads,NA ,Tender,120.0,90.0,Bhawarna,176083.0,NA ,NA ,NA ,EE Bhawarna,No ,No,17-May-2021 02:00 PM,08-Jun-2021 11:30 AM,17-May-2021 02:05 PM,08-Jun-2021 11:00 AM,NA ,NA ,17-May-2021 02:30 PM,08-Jun-2021 11:00 AM,18-Jun-2021 11:45 AM,1.0,Corrigendum,Date,,"11,400",No,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical,.pdf,Cost of tender form to be submitted through online.,PWD,Link road from Panapari Khas to Gartholi Km 0.0 to,2021_PWD_47494_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,1.0,ICICI BANK,350.0,Nil,Nil,No,AOC,Sh Manish Sehgal,Internal,Himanshu Verma AE Harjeet Singh Supdt Suresh Kumar HDM Suraj Parkash Sr DAO Manjeet Kumar Jr Asstt,Manish Sehgal,18-Jun-2021 11:37 AM,18-Jun-2021 11:45 AM,techsummary_71297.pdf (967.03 KB),PWD,2021_PWD_47494_1,Link road from Panapari Khas to Gartholi Km 0.0 to,Providing and laying Annual Surfacing (Periodic Maintenance) on Link road from Panapari Khas to Gartholi Km 0/0 to 0/715 under performance based Financial Incentive 2019-20 (during the year 2020-21) of PMGSY roads in the state of HP,06-Dec-2021,"INR 894,156",90.0,Manish Sehgal,06-Dec-2021 03:02 PM,AOC.pdf (991.00 KB),AOC,Sh Manish Sehgal,Internal,,Manish Sehgal,06-Dec-2021 03:00 PM,finsummary_71297.pdf (419.23 KB),1.0,213657.0,M/s Kamala Enterprises,INR,"844,491",Finance,Bid opening summary,Manish Sehgal,11-Aug-2021 11:27 AM,finance_71297.pdf,BOQ Comparative Chart,1.0,213657.0,M/s Kamala Enterprises,27-May-2021 08:04 AM,Accepted-AOC,Bidder Rank-L1,06-Dec-2021 03:03 PM,Technical,Bid opening summary,Manish Sehgal,18-Jun-2021 11:35 AM,technical_71297.pdf,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Earnest money submitted through online duly pledged in favour of Executive Engineer, Bhawarna Divisi",,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,213668.0,Vishwa Nath Singh,27-May-2021 07:52 AM,Rejected-Finance,Bid Rank-L2,06-Dec-2021 03:00 PM,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor registration.,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST registration and PAN Copy.,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done certificate as per SBD.,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An affidavit that information furnished with the bid (with work name) are true.,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding no near relative working in HP PWD department.,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of machinery and equipment as per SBD.,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form 7/8 duly signed by the contractor.,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Employee Provident Fund (EPF) Registration number.,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
