S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :,Document :.2,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Instrument Type,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
1.0,178866.0,HIMANSHU BANSAL,INR,"1,422,765",Finance,Proceeding,Sandeep Sobti,13-Dec-2021 12:00 PM,None,BOQ Comparative Chart,Technical,proceeding,Sandeep Sobti,24-Sep-2020 02:32 PM,technical_60070.pdf,1.0,178866.0,HIMANSHU BANSAL,23-Sep-2020 07:03 PM,Accepted-AOC,1st lowest,13-Dec-2021 12:16 PM,Er. S.K. Sobti,Internal,DAO Supdt,Sandeep Sobti,13-Dec-2021 12:13 PM,finsummary_60070.pdf (652.73 KB),13-Dec-2021,"INR 1,590,347",365.0,Sandeep Sobti,13-Dec-2021 12:16 PM,Himanshu40722.pdf (653.00 KB),Award letter,PWD,2020_PWD_40722_1,PW/RAMP/TA/2020-6116-18 dated 27.08.2020,Maintenance of Jeori Sarahan road Km. 0/000 to 17/000 (above 5500 ft) under PBMC,Er. S.K. Sobiti,Internal,DAO Supdt.,Sandeep Sobti,24-Sep-2020 04:09 PM,24-Sep-2020 05:00 PM,techsummary_60070.pdf (370.43 KB),AOC,EE Rampur,EE Rampur B and R Division HPPWD Rampur,16-Sep-2020 03:00 PM,24-Sep-2020 11:00 AM,16-Sep-2020 03:00 PM,24-Sep-2020 09:00 AM,16-Sep-2020 03:00 PM ,24-Sep-2020 09:00 AM ,16-Sep-2020 03:00 PM,24-Sep-2020 09:00 AM,24-Sep-2020 05:00 PM,Maintenance of Jeori Sarahan road Km. 0/000 to 17/000 (above 5500 ft) under PBMC,Maintenance of Jeori Sarahan road Km. 0/000 to 17/000 (above 5500 ft) under PBMC,Please refer Tender documents. ,NA ,"15,90,347",Civil Works - Water Works,NA ,Empanelment,90.0,NA ,Rampur,172001.0,NA ,NA ,NA ,EE Rampur,No ,No,500.0,EE Rampur,Rampur,Yes,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender Form (indicated in Schedule F),PWD,PW/RAMP/TA/2020-6116-18 dated 27.08.2020,2020_PWD_40722_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,1.0,DD - Demand Draft,"32,000",Yes,fixed,,EE Rampur,Rampur,AOC
,,,,,,,,,,,,,,,,2.0,178857.0,JAGDISH KUMAR GOVT. CONTRACTOR,22-Sep-2020 06:41 PM,Rejected-AOC,3rd lowest,13-Dec-2021 12:16 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Earnest Money Deposit (indicated in Schedule F),,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,,,,,AOC
,,,,,,,,,,,,,,,,3.0,178865.0,NARAYAN SINGH,23-Sep-2020 06:57 PM,Rejected-AOC,2nd lowest,13-Dec-2021 12:16 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors Registration (Refer General Rule No 23),,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST registration (Refer General Rule No 21),,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Permanent Account Number (PAN),,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"List of Machinery, Tool, Plant (Refer Schedule F with reference to Clause 18)",,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Registration under Employees Provident Funds and Miscellaneous Provision act 1952,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work Done Certificate of similar nature and detail of ongoing works (Refer General Rule No 19),,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,SBD,,,,,,,,,,,,,,,,,,,,,,,AOC
