EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Cover No,Cover,Document Type,Description,Tender Stage,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :,Document :.3,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage
"1,13,700",No,fixed,,Nil,Nil,"2,000",Nil,Nil,No,Executive Engineer,O/o Executive Engineer HP PWD Division Tanda,19-Jul-2021 05:00 PM,17-Aug-2021 11:30 AM,19-Jul-2021 05:00 PM,16-Aug-2021 06:00 PM,NA ,NA ,19-Jul-2021 05:00 PM,16-Aug-2021 06:00 PM,24-Aug-2021 04:00 PM,PWD,PWD- Civil-2526-56-Tanda,2021_PWD_48899_2,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,"Construction of Additional Accommodation of Science Block (Model-C) at Govt. Sr. Sec. School at Balugloa in Distt. Kangra (H.P.) (SH-C/O Building portion, WS and SI, rain water harvesting system and C/O Septic Tank)","Construction of Additional Accommodation of Science Block (Model-C) at Govt. Sr. Sec. School at Balugloa in Distt. Kangra (H.P.) (SH-C/O Building portion, WS and SI, rain water harvesting system and C/O Septic Tank)",Please refer Tender documents. ,NA ,"81,15,367",Civil Works - Buildings,NA ,Tender,120.0,365.0,Tanda,176002.0,NA ,NA ,NA ,O/o Executive Engineer HP PWD Division Tanda,No ,No,1.0,ICICI BANK,1.0,Fee/PreQual/Technical,.pdf,Copy of online receipt of EMD and Cost of Tender Form,AOC,1.0,226950.0,KAMAL KISHORE SHARMA,INR,"9,643,198",Finance,Sum,Ankit Kumar,28-Aug-2021 11:18 AM,finance_74912.pdf,BOQ Comparative Chart,1.0,230168.0,AIDANT IMPLEMENTATION PRIVATE LIMITED,16-Aug-2021 01:33 PM,Rejected-Finance,Lowest 3,28-Aug-2021 11:19 AM,Technical,Sum,Suresh Kumar Walia,21-Aug-2021 03:54 PM,technical_74912.pdf,PWD,2021_PWD_48899_2,PWD- Civil-2526-56-Tanda,"Construction of Additional Accommodation of Science Block (Model-C) at Govt. Sr. Sec. School at Balugloa in Distt. Kangra (H.P.) (SH-C/O Building portion, WS and SI, rain water harvesting system and C/O Septic Tank)",Dr Suresh Kumar Walia,Internal,Er Ankit AE Pankaj Rana Supdt Gr II Ajay Mahajan HDM Suraj Parkash DAO Ashok Kumar TA,Suresh Kumar Walia,21-Aug-2021 04:02 PM,24-Aug-2021 04:00 PM,techsummary_74912.pdf (807.48 KB),Dr Suresh Kumar Walia,Internal,Er Ankit AE Pankaj Rana Supdt Gr II Ajay Mahajan HDM Suraj Parkash DAO Ashok Kumar TA,Ankit Kumar,28-Aug-2021 11:19 AM,finsummary_74912.pdf (192.16 KB),30-Nov-2021,"INR 8,115,367",365.0,Suresh Kumar Walia,29-Dec-2021 03:51 PM,Award.pdf (338.00 KB),Award,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,.pdf,GST Registration,AOC,,,,,,,,,,,,2.0,227672.0,Harbhajan singh,16-Aug-2021 09:14 AM,Rejected-Finance,Lowest 2,28-Aug-2021 11:19 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,PAN No,AOC,,,,,,,,,,,,3.0,226950.0,KAMAL KISHORE SHARMA,15-Aug-2021 09:57 AM,Accepted-AOC,Lowest 1,29-Dec-2021 03:51 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor registration,AOC,,,,,,,,,,,,4.0,230176.0,Ms VIRENDER SINGH,16-Aug-2021 03:24 PM,Rejected-Technical,Not fulfill criteria,21-Aug-2021 04:02 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that the information submitted with bid namely ( ) are true and correct,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Under taking that no arbitration/litigation with PWD is pending in any court of Law,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding near relative working in the PWD and no relation gazetted,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No 8 duly signed on Judicial Paper,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Detail of Machinery and Technical Staff,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work in hand detail,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
