Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated On :,Financial Bid Opening Date:,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage
"HP Irrigation and Public Health||Bilaspur Circle,Irrigation and Public Health,HP||Bilaspur,Irrigation and Public Health,HP",BLP-BLP00-736 NIT No.11018-11117 dt. 23-08-2021,2021_HPIPH_51527_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Both(Online/Offline),No,No,No,Executive Engineer,Jal Shakti Division Bilaspur,23-Aug-2021 05:00 PM,06-Sep-2021 11:30 AM,23-Aug-2021 05:00 PM,06-Sep-2021 11:00 AM,23-Aug-2021 05:00 PM ,31-Aug-2021 04:00 PM ,23-Aug-2021 05:00 PM,06-Sep-2021 11:00 AM,23-Sep-2021 04:50 PM,"Providing Medium Lift Irrigation Project to Changer Area from A.H.C in Tehsil Sh. Naina Devi Ji Distt. Bilaspur (SH Replacement of MSERW/MS/DI/GI pipes of various dia encountered with railway Track, construction of 10 Nos outlets and construction","Providing Medium Lift Irrigation Project to Changer Area from A.H.C in Tehsil Sh. Naina Devi Ji Distt. Bilaspur (SH Replacement of MSERW/MS/DI/GI pipes of various dia encountered with railway Track, construction of 10 Nos outlets and construction",Please refer tender documents ,NA ,,Civil Works,NA ,Tender,120.0,120.0,Under JSV S/Division Bassi,174001.0,O/O The Chief Engineer (HZ) JSV Hamirpur ,O/O The Chief Engineer (HZ) JSV Hamirpur ,01-Sep-2021 11:00 AM ,Jal Shakti Division Bilaspur,No ,No,"2,500",EE Jal Shakti Division Bilaspur,Jal Shakti Division Bilaspur,Yes,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender form proof,"5,50,400",No,fixed,,EE Jal Shakti Division Bilaspur,Jal Shakti Division Bilaspur,1.0,ICICI BANK,AOC,Er. Rakesh Kumar Vaidya Executive Engineer,Internal,"Sh Bala Ram Thakur Superintendent Gr-II, , Sh Sanjay Kumar Shah DAO Gr-I ,Sh. Rakesh Kumar DHD ,Sh Ravinder Kishore Senior Assistant",Rakesh Kumar,24-Sep-2021 11:02 AM,finsummary_77013.pdf (121.73 KB),1.0,234026.0,SS RANA CONSTRUCTION PRIVATE LIMITED,INR,0,"HP Irrigation and Public Health||Bilaspur Circle,Irrigation and Public Health,HP||Bilaspur,Irrigation and Public Health,HP",2021_HPIPH_51527_1,BLP-BLP00-736 NIT No.11018-11117 dt. 23-08-2021,"Providing Medium Lift Irrigation Project to Changer Area from A.H.C in Tehsil Sh. Naina Devi Ji Distt. Bilaspur (SH Replacement of MSERW/MS/DI/GI pipes of various dia encountered with railway Track, construction of 10 Nos outlets and construction",Er. Rakesh Kumar Vaidya Executive Engineer,Internal,"Sh Bala Ram Thakur Superintendent Gr-II, , Sh Sanjay Kumar Shah DAO Gr-I ,Sh. Rakesh Kumar DHD ,Sh Ravinder Kishore Senior Assistant",Rakesh Kumar,23-Sep-2021 04:46 PM,23-Sep-2021 04:50 PM,techsummary_77013.pdf (814.72 KB),1.0,234052.0,HYDRAULIC ENGINEERING COMPANY,04-Sep-2021 11:43 AM,Accepted-AOC,Accepted,09-Dec-2021 12:32 PM,07-Dec-2021,"INR 50,450,895",120.0,Rakesh Kumar,09-Dec-2021 12:32 PM,Awardletter.pdf (5510.00 KB),The work has been awarded to M/s Kamal Dev Sharma VPO Majari Tehsil Shri Naina Devi Ji District Bilaspur vide T/o No. 17972-81 dated 07-12-2021 amounting to Rs. 50450895/-,Finance,BOQ of all bidders downloaded and boq comparative chart generated successfully.,Rakesh Kumar,24-Sep-2021 10:59 AM,finance_77013.pdf,BOQ Comparative Chart,Technical,Three bidder have been participated in the e tender process documents of all bidders downloaded successfully.,Rakesh Kumar,06-Sep-2021 12:10 PM,technical_77013.pdf,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of Earnest money proof,,,,,,,2.0,ICICI NEFT/RTGS,AOC,,,,,,,2.0,234052.0,HYDRAULIC ENGINEERING COMPANY,INR,0,,,,,,,,,,,,2.0,234276.0,MS Kamal Dev Sharma,05-Sep-2021 10:02 PM,Accepted-AOC,Accepted,09-Dec-2021 12:32 PM,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of Certificate of registration with Jal Shakti Vibhag or any other state/central Govt. departme,,,,,,,,,AOC,,,,,,,3.0,234276.0,MS Kamal Dev Sharma,INR,"50,450,895",,,,,,,,,,,,3.0,234026.0,SS RANA CONSTRUCTION PRIVATE LIMITED,04-Sep-2021 11:08 AM,Accepted-AOC,Accepted,09-Dec-2021 12:32 PM,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of Certificate of EPF registration. If not registered then the successful bidder should get reg,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Annual Turnover of last three years i.e. 2018-19 to 2020-21,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"PAN (Permanent Account No.), GST registration.",,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,The authorization letter regarding digital signature certificate (DSC) of the person authorized by t,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,A scanned copy of undertaking (as per FormPWD6 and PWD8) that I have carefully studied all the terms,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Work done, Experience Certificates as per Pre-qualification criteria.",,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
