Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,S.No,Instrument Type,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage
29-Dec-2021,"INR 1,962,787",30.0,Suresh Kumar Walia,29-Dec-2021 04:01 PM,Award.pdf (2091.00 KB),Award,Executive Engineer,Internal,"AE Baroh, Sr DAO, Supdt, HDM TA",Suresh Kumar Walia,29-Dec-2021 03:59 PM,finsummary_60903.pdf (197.51 KB),Dr Suresh Kumar walia,Internal,Er Ankit AE Ajit Kumar Supdt Gr II Ajay Mahajan HDM Suraj Parkash DAO Ashok Kumar TA,Suresh Kumar Walia,21-Oct-2020 02:12 PM,22-Oct-2020 03:00 PM,techsummary_60903.pdf (874.51 KB),PWD,2020_PWD_41285_1,PWD Civil Work-7551-80- Tanda,Periodic maintenance of Radh to Haldwari road Km 0/000 to 4/530 under Annual Maintenance Plan for the year 2020-21 Rural road PGMSY (HP0408VR074) in Distt. Kangra(H.P.),Technical,Sum,Suresh Kumar Walia,21-Oct-2020 02:11 PM,technical_60903.pdf,1.0,182632.0,Navneet Thakur,16-Oct-2020 05:30 PM,Rejected-Finance,Lowest 4,29-Dec-2021 03:59 PM,1.0,182839.0,pritam singh thkur,INR,"2,013,993",Finance,Sum,Suresh Kumar Walia,23-Oct-2020 12:25 PM,finance_60903.pdf,BOQ Comparative Chart,AOC,1.0,DD - Demand Draft,1.0,Fee/PreQual/Technical,.pdf,Cost of tender form in Shape of DD as per SBD,01-Oct-2020 05:00 PM,19-Oct-2020 11:30 AM,01-Oct-2020 05:00 PM,17-Oct-2020 05:00 PM,NA ,NA ,01-Oct-2020 05:00 PM,17-Oct-2020 05:00 PM,22-Oct-2020 03:00 PM,Periodic maintenance of Radh to Haldwari road Km 0/000 to 4/530 under Annual Maintenance Plan for the year 2020-21 Rural road PGMSY (HP0408VR074) in Distt. Kangra(H.P.),Providing and laying 30mm thick bitumen concrete with pavement in Km 2/000 to 4/000),Please refer Tender documents. ,NA ,"19,62,787",Civil Works - Roads,NA ,Tender,120.0,30.0,Tanda,176002.0,NA ,NA ,NA ,EE HP PWD Division Tanda at Nagrota Bagwan,No ,No,"37,000",No,fixed,,Executive Engineer HP PWD Tanda,Tanda at Nagrota Bagwan,Executive Engineer,EE HP PWD Division Tanda at Nagrota Bagwan,500.0,Executive Engineer HP PWD Tanda,Kangra,No,PWD,PWD Civil Work-7551-80- Tanda,2020_PWD_41285_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,182839.0,pritam singh thkur,17-Oct-2020 12:05 PM,Accepted-AOC,Lowest 1,29-Dec-2021 04:01 PM,,,,,,,,,,,,AOC,2.0,FDR - Fixed Deposit,,,.pdf,Earnest Money in shape of FDR as per SBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,182777.0,Rohit,17-Oct-2020 04:30 PM,Rejected-Finance,Lowest 2,29-Dec-2021 03:59 PM,,,,,,,,,,,,AOC,,,,,.pdf,Contractor registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,182818.0,Ujjawal Singh,16-Oct-2020 08:06 PM,Rejected-Finance,Lowest 3,29-Dec-2021 03:59 PM,,,,,,,,,,,,AOC,,,,,.pdf,GST No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,182015.0,VP SHARMA,17-Oct-2020 11:18 AM,Rejected-Finance,Lowest 5,29-Dec-2021 03:59 PM,,,,,,,,,,,,AOC,,,,,.pdf,PAN No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,.pdf,Form No 8 duly signed on Judicial Paper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,.pdf,Affidavit that the information submitted with bid namely ( ) are true and correct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,.pdf,Affidavit regarding near relative working in the PWD and no relation gazetted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,.pdf,Under taking that no arbitration/litigation with PWD is pending in any court of Law,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,.pdf,Detail of Machinery as per SBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
