S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :.1,Financial Bid Opening Date:,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.2,Document :.2,BOQ Comparative Chart :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
1.0,232721.0,Bhag Singh,01-Sep-2021 03:05 PM,Rejected-Finance,Second lowest bidder,20-Sep-2021 11:22 AM,Technical,Technical summary,Sushant Singh Negi,14-Sep-2021 04:39 PM,technical_77028.pdf,SE,Internal,"DM, Manager(F), EE(HQ)",Sushant Singh Negi,14-Sep-2021 04:40 PM,15-Sep-2021 11:00 AM,techsummary_77028.pdf (382.68 KB),Finance,Financial summary,Sushant Singh Negi,20-Sep-2021 11:12 AM,finance_77028.pdf,BOQ Comparative Chart,HP SIDC Limited,2021_SIDC_51543_1,Job No. 4,Development of Ind. Area Chanour Distt. Kangra (HP). (SH- C/o retaining wall and X-drainage RD- 400 to 900 mtr.).,SE,Internal,"DM, Manager(F), EE(HQ)",Sushant Singh Negi,20-Sep-2021 11:22 AM,finsummary_77028.pdf (33.55 KB),1.0,232993.0,Ravinder Kumar,INR,"6,813,415",16-Nov-2021,"INR 6,813,415",90.0,Sushant Singh Negi,03-Dec-2021 11:03 AM,ravinderfour.pdf (1407.00 KB),Award letter,AOC,1.0,Fee/PreQual/Technical,.pdf,Appropriate Contractor registration (as per tender condition),Development of Ind. Area Chanour Distt. Kangra (HP). (SH- C/o retaining wall and X-drainage RD- 400 to 900 mtr.).,(SH- C/o retaining wall and X-drainage RD- 400 to 900 mtr.).,Please refer Tender documents. ,NA ,"59,94,551",Civil Works,NA ,Tender,120.0,90.0,Chanour (Kangra),176402.0,NA ,NA ,NA ,HPSIDC Ltd. Shimla,No ,No,Executive Engineer,HPSIDC Ltd. Shimla,HP SIDC Limited,Job No. 4,2021_SIDC_51543_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,1.0,ICICI BANK,25-Aug-2021 11:00 AM,02-Sep-2021 11:00 AM,25-Aug-2021 11:00 AM,01-Sep-2021 05:00 PM,NA ,NA ,25-Aug-2021 11:00 AM,01-Sep-2021 05:00 PM,15-Sep-2021 11:00 AM,"5,900",Nil,Nil,No,"92,500",No,fixed,,Nil,Nil,AOC
2.0,233378.0,Kapil Sharma,01-Sep-2021 03:34 PM,Rejected-Finance,Sixth lowest bidder,20-Sep-2021 11:22 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Signed copy of agreement form and approved make for materials,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,AOC
3.0,232993.0,Ravinder Kumar,01-Sep-2021 12:03 PM,Accepted-AOC,AOC,03-Dec-2021 11:03 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Affidavit that the information furnished with the bid documents is true and correct.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
4.0,233457.0,rupinder Singh,01-Sep-2021 03:22 PM,Rejected-Finance,Fifth lowest bidder,20-Sep-2021 11:22 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Proof copy of EPF registration No.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
5.0,233219.0,SUBHASH CHAND,01-Sep-2021 03:53 PM,Rejected-Finance,Fourth lowest bidder,20-Sep-2021 11:22 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Proof copy of GST registration No.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
6.0,232575.0,Tilak Raj Govt Contractor,31-Aug-2021 04:07 PM,Rejected-Finance,Third lowest bidder,20-Sep-2021 11:22 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Copy of latest ITR and pan card,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Copy of receipt of EMD and cost of form,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Copy of successfully completed work done certificate (as per tender conditions),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Copy of existing commitments / ongoing work in hand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Details of machineries equipments/ skilled engineers/ technical staff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
