Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Instrument Type,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Tender Stage
Er. S.K. Sobti,Internal,DAO Supdt,Sandeep Sobti,13-Dec-2021 02:54 PM,finsummary_68298.pdf (363.84 KB),13-Dec-2021,"INR 730,677",60.0,Sandeep Sobti,13-Dec-2021 02:56 PM,Gopal45400.pdf (1136.00 KB),Award letter,PWD,2021_PWD_45400_1,PW/RMP/2020-18116-18 Dated 24.02.2021,Construction of Post Mortem room cum Mortuary at C.H.C Nankhari Distt. Shimla H.P,Er. S.K. Sobti,Internal,"DAO, Supdt.",Sandeep Sobti,18-Mar-2021 01:52 PM,18-Mar-2021 03:00 PM,techsummary_68298.pdf (363.84 KB),Technical,proceeding,Sandeep Sobti,18-Mar-2021 11:48 AM,technical_68298.pdf,1.0,203662.0,KEDAR SINGH,16-Mar-2021 08:05 AM,Rejected-AOC,2nd lowest,13-Dec-2021 02:56 PM,Finance,proceeding,Sandeep Sobti,13-Dec-2021 02:53 PM,None,BOQ Comparative Chart,1.0,203142.0,M/S GOPAL SINGH,INR,"1,031,826",AOC,PWD,PW/RMP/2020-18116-18 Dated 24.02.2021,2021_PWD_45400_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender Form (indicated in Schedule F),350.0,EE Rampur,Rampur,Yes,Construction of Post Mortem room cum Mortuary at C.H.C Nankhari Distt. Shimla H.P,SH C.O Post Mortem room cum Mortuary thereof,Please refer Tender documents. ,NA ,,Civil Works - Buildings,NA ,Tender,90.0,NA ,EE B and R Divison HPPWD Rampur,172001.0,NA ,NA ,NA ,EE Rampur,No ,No,1.0,DD - Demand Draft,10-Mar-2021 02:00 PM,16-Mar-2021 11:00 AM,10-Mar-2021 02:00 PM,16-Mar-2021 09:00 AM,10-Mar-2021 02:00 PM ,16-Mar-2021 09:00 AM ,10-Mar-2021 02:00 PM,16-Mar-2021 09:00 AM,18-Mar-2021 03:00 PM,"15,000",Yes,fixed,,EE Rampur,Rampur,EE Rampur,EE B and R Division HPPWD Rampur,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,203142.0,M/S GOPAL SINGH,16-Mar-2021 07:41 AM,Accepted-AOC,1st lowest,13-Dec-2021 02:56 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,.pdf,Earnest Money Deposit (indicated in Schedule F),,,,,,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,.pdf,Contractors Registration (Refer General Rule No 23),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,.pdf,GST registration (Refer General Rule No 21),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,.pdf,Permanent Account Number (PAN),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,.pdf,Work Done Certificate of similar nature and detail of ongoing works (Refer General Rule No 19),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,.pdf,Registration under Employees Provident Funds and Miscellaneous Provision act 1952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,.pdf,Clearance of GST return attested by CA.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,.pdf,SBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
