Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,S.No,Bank Name,EMD Amount in ₹,EMD through BG/ST or EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No.1,Corrigendum Title,Corrigendum Type,View,Tender Stage
Finance,Financial Bid Opening Summary Sheet,DeepakKumar Das,19-Feb-2021 04:32 PM,finance_30189.pdf,BOQ Comparative Chart,1.0,100462.0,LASER POWER AND INFRA PRIVATE LIMITED,INR,906110881.0,"MD, APDCL",Internal,,Jyotirupa Sarmah,05-Aug-2021 02:30 PM,finsummary_30189.pdf (1356.21 KB),Technical,Technical Bid Opening Summary,DeepakKumar Das,08-Jan-2021 03:49 PM,,Assam Power Distribution Company Limited- Externally Aided Project||Project Planning and Development- PPnD||Project Implementation Unit -AIIB,2020_APDEA_19486_1,APDCL/DSELR/NLP/02,Construction of new 33/11 kv substation with construction of new 33kv Terminal Bay construction of 33kv and 11kv lines for Distribution System Enhancement and Loss Reduction in North Lakhimpur Electrical Circle on Turn Key Basis,29-Dec-2021,INR 906110881,730.0,Bhaskarjyoti Neog,29-Dec-2021 01:50 PM,LOA_NLP_LOT_I_II.pdf (451.00 KB),Construction of new 33/11 kv substation with construction of new 33kv Terminal Bay construction of 33kv and 11kv lines for Distribution System Enhancement and Loss Reduction in North Lakhimpur EC,1,101469,Jayanta Khaund,04-Jan-2021 10:07 PM,Rejected-AOC,Not L1 bidder,29-Dec-2021 01:50 PM,"MD,APDCL",Internal,,DeepakKumar Das,17-Feb-2021 04:38 PM,19-Feb-2021 11:00 AM,techsummary_30189.pdf (249.16 KB),AOC,Construction of new 33/11 kv substation with construction of new 33kv Terminal Bay construction of 33kv and 11kv lines for Distribution System Enhancement and Loss Reduction in North Lakhimpur Electrical Circle on Turn Key Basis,Construction of new 33/11 kv substation with construction of new 33kv Terminal Bay construction of 33kv and 11kv lines for Distribution System Enhancement and Loss Reduction in North Lakhimpur Electrical Circle on Turn Key Basis,Please refer Tender documents. ,NA ,"1,06,27,90,000",Electrical Works,NA ,Tender,120.0,730.0,North Lakhimpur,787001.0,"O/O the CPM(PIU), 2nd Floor, APDCL, Bijulee Bhawan ","O/O the CPM(PIU), 2nd Floor, APDCL, Bijulee Bhawan ",10-Dec-2020 11:00 AM ,"O/O the CPM(PIU), 2nd Floor, APDCL, Bijulee Bhawan",No ,No,27-Nov-2020 04:15 PM,07-Jan-2021 11:00 AM,27-Nov-2020 04:20 PM,06-Jan-2021 01:00 PM,NA ,NA ,27-Nov-2020 04:20 PM,06-Jan-2021 01:00 PM,19-Feb-2021 11:00 AM,CPM(PIU),"O/O the CPM(PIU), 2nd Floor, APDCL, Bijulee Bhawan",Assam Power Distribution Company Limited- Externally Aided Project||Project Planning and Development- PPnD||Project Implementation Unit -AIIB,APDCL/DSELR/NLP/02,2020_APDEA_19486_1,Yes,Open Tender,Turn-key,Works,2.0,No,No,Online,No,No,No,"30,000",Nil,Nil,No,1.0,Fee/PreQual/Technical,.rar,Techno-Commercial Bid,1.0,SBI Bank,"1,06,00,000",Yes,fixed,,Nil,Nil,1.0,Extension Notice,Date,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,100462,LASER POWER AND INFRA PRIVATE LIMITED,06-Jan-2021 12:27 PM,Accepted-AOC,L1 bidder,29-Dec-2021 01:50 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Financial Bid,,,,,,,,,2.0,EMD_CORRIGENDUM,Fee,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,101519,Montecarlo Limited,06-Jan-2021 11:34 AM,Rejected-AOC,Not L1 bidder,29-Dec-2021 01:50 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Letter of Price Bid,,,,,,,,,3.0,Annexure,Other,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,101493,M/s. S R Chaddha Industries Ltd - RKI,06-Jan-2021 12:56 PM,Rejected-AOC,Not L1 bidder,29-Dec-2021 01:50 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,101517,Neccon Power and Infra Limited,05-Jan-2021 06:45 PM,Rejected-AOC,Not L1 bidder,29-Dec-2021 01:50 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,101578,Power Mech Projects Limited,05-Jan-2021 07:35 PM,Rejected-Technical,Techno-Commercially Non-Reponsive,17-Feb-2021 04:38 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,101489,Sri Gopikrishna Infrastructure Pvt Ltd,06-Jan-2021 11:38 AM,Rejected-AOC,Not L1 bidder,29-Dec-2021 01:50 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,101621,S. T. ELECTRICALS PVT. LTD.,06-Jan-2021 12:59 PM,Rejected-AOC,Not L1 bidder,29-Dec-2021 01:50 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,100572,Suncity Enterprises,06-Jan-2021 12:41 PM,Rejected-Technical,Techno-Commercially Non-Reponsive,17-Feb-2021 04:38 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,100002,VAISHNO ASSOCIATES VIDYUT PROJECTS LLP,06-Jan-2021 12:42 PM,Rejected-AOC,Not L1 bidder,29-Dec-2021 01:50 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
