Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Instrument Type,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage
A.R and M.O Mashnoo Taklech road Km. 12.000 to 48.000,SH P.L WBM G.III and repair to pot holes in Km. 38.000 to 48.000,Please refer Tender documents. ,NA ,"8,79,230",Civil Works - Roads,NA ,Tender,90.0,NA ,B and R Division HPPWD Rampur,172001.0,NA ,NA ,NA ,EE Rampur,No ,No,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender Form (indicated in Schedule F),350.0,EE Rampur,Rampur,Yes,"18,000",Yes,fixed,,EE Rampur,Rampur,EE Rampur,EE Rampur B and R Division HPPWD Rampur,PWD,PW/RAMP/TA/2020-6116-18 dated 27.08.2020,2020_PWD_40734_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,1.0,DD - Demand Draft,16-Sep-2020 04:00 PM,24-Sep-2020 11:00 AM,16-Sep-2020 04:00 PM,24-Sep-2020 09:00 AM,16-Sep-2020 04:00 PM ,24-Sep-2020 09:00 AM ,16-Sep-2020 04:00 PM,24-Sep-2020 09:00 AM,24-Sep-2020 04:30 PM,AOC,Er. S.K. Sobiti,Internal,DAO Supdt,Sandeep Sobti,24-Sep-2020 04:12 PM,24-Sep-2020 04:30 PM,techsummary_60091.pdf (370.43 KB),PWD,2020_PWD_40734_1,PW/RAMP/TA/2020-6116-18 dated 27.08.2020,A.R and M.O Mashnoo Taklech road Km. 12.000 to 48.000,13-Dec-2021,"INR 879,230",60.0,Sandeep Sobti,13-Dec-2021 12:33 PM,geeta40734.pdf (637.00 KB),Award letter,Er. S.K. Sobti,Internal,proceeding,Sandeep Sobti,13-Dec-2021 12:29 PM,finsummary_60091.pdf (368.83 KB),Finance,proceeding,Sandeep Sobti,13-Dec-2021 12:26 PM,None,BOQ Comparative Chart,1.0,178772.0,geeta devi,INR,"1,668,217",1.0,178742.0,dinesh kumar,23-Sep-2020 11:51 AM,Rejected-AOC,2nd lowest,13-Dec-2021 12:33 PM,Technical,proceeding,Sandeep Sobti,24-Sep-2020 02:30 PM,technical_60091.pdf,AOC
,,,,,,,,,,,,,,,,,,,,.pdf,Earnest Money Deposit (indicated in Schedule F),,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,178772.0,geeta devi,23-Sep-2020 12:24 PM,Accepted-AOC,1st lowest,13-Dec-2021 12:33 PM,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,.pdf,Contractors Registration (Refer General Rule No 23),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,178909.0,Sanjeev Kumar,23-Sep-2020 11:33 AM,Rejected-Technical,Non Responsive,24-Sep-2020 04:14 PM,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,.pdf,GST registration (Refer General Rule No 21),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,.pdf,Permanent Account Number (PAN),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,.pdf,Work Done Certificate of similar nature and detail of ongoing works (Refer General Rule No 19),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,.pdf,"List of Machinery, Tool, Plant (Refer Schedule F with reference to Clause 18)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,.pdf,Registration under Employees Provident Funds and Miscellaneous Provision act 1952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,.pdf,SBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
