Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Instrument Type,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :,Document :.3,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage
"1,500",EE Rampur,Rampur,Yes,1.0,DD - Demand Draft,PWD,RMP/TA-2020-301-03 dated 30.04.2020,2020_PWD_37129_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,14-May-2020 11:00 AM,26-May-2020 11:00 AM,14-May-2020 11:00 AM,26-May-2020 09:00 AM,14-May-2020 11:00 AM ,26-May-2020 09:00 AM ,14-May-2020 11:00 AM,26-May-2020 09:00 AM,27-May-2020 03:00 PM,"52,100",Yes,fixed,,EE Rampur,Rampur,EE Rampur,EE Rampur Ba and R Division HPPWD Rampur,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender Form (indicated in Schedule F),Periodical Renewal on Rai Bhali Khunni Kharahan road for the year 2020.21,"SH P.L WBM G.III and 30mm thick bituminous concrete surfacing, missing Km. Stone, edge strip in Km. 12.000 to 15.250",Please refer Tender documents. ,NA ,"29,73,562",Civil Works - Roads,NA ,Tender,90.0,NA ,Rampur,172001.0,NA ,NA ,NA ,EE Rampur,No ,No,AOC,Finance,Proceeding,Sandeep Sobti,13-Dec-2021 11:07 AM,finance_54758.pdf,BOQ Comparative Chart,1.0,159022.0,Arun Mehta,INR,"4,842,384",1.0,159022.0,Arun Mehta,21-May-2020 01:44 PM,Accepted-AOC,1st lowest,13-Dec-2021 11:13 AM,Technical,proceeding,Sandeep Sobti,27-May-2020 02:09 PM,technical_54758.pdf,PWD,2020_PWD_37129_1,RMP/TA-2020-301-03 dated 30.04.2020,Periodical Renewal on Rai Bhali Khunni Kharahan road for the year 2020.21,Er. S.K. Sobti,Internal,"DAO, Supt.",Sandeep Sobti,27-May-2020 02:28 PM,27-May-2020 03:00 PM,techsummary_54758.pdf (293.49 KB),Er. S.K. Sobti,Internal,"DAO, Supt.",Sandeep Sobti,13-Dec-2021 11:11 AM,finsummary_54758.pdf (291.90 KB),13-Dec-2021,"INR 2,973,562",90.0,Sandeep Sobti,13-Dec-2021 11:13 AM,Arun37129.pdf (581.00 KB),Award letter,AOC
,,,,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Earnest Money Deposit (indicated in Schedule F),,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,2.0,159152.0,Tara Chand Mehta,21-May-2020 05:16 PM,Rejected-AOC,2nd lowest,13-Dec-2021 11:13 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors Registration (Refer General Rule No 23),,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST registration (Refer General Rule No 21),,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Permanent Account Number (PAN),,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work Done Certificate of similar nature and detail of ongoing works (Refer General Rule No 19),,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"List of Machinery, Tool, Plant (Refer Schedule F with reference to Clause 18)",,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Registration under Employees Provident Funds and Miscellaneous Provision act 1952,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,SBD,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
