Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
ER.P.K. Verma,Internal,Sh. Padam Sharma. Sh.R.S.Thakur. Sh.Gopal Singh,Parveen Kumar Verma,24-Sep-2021 02:34 PM,finsummary_78079.pdf (597.46 KB),30-Nov-2021,"INR 5,792,583",120.0,Parveen Kumar Verma,01-Dec-2021 11:59 AM,52257_1.pdf (429.00 KB),AOC,PWD,2021_PWD_52257_1,SD-III-DB-Tender/ 21-22-12196-213 dated 08-09-21,"Special Repair to Armsdale building at H.P. Secretariat Chotta Shimla. (SH- Providing and fixing UPVC window and ESS-ESS railing in Back side of Armsdale Building Phase-I and II including Lift and stair hall portion, Conference hall of 6th floor etc",ER.P.K. Verma,Internal,Sh. Padam Sharma. Sh.R.S.Thakur. Sh.Gopal Singh,Parveen Kumar Verma,23-Sep-2021 05:33 PM,24-Sep-2021 11:00 AM,techsummary_78079.pdf (804.31 KB),Technical,Bid opening summary,Parveen Kumar Verma,21-Sep-2021 03:49 PM,technical_78079.pdf,1.0,236765.0,Aditya Jaiswal,20-Sep-2021 04:03 PM,Rejected-AOC,L2,01-Dec-2021 11:59 AM,1.0,236622.0,AKSHIT THAKUR,INR,"5,213,385",Finance,Bid opening summary,Parveen Kumar Verma,24-Sep-2021 02:21 PM,finance_78079.pdf,BOQ Comparative Chart,AOC,PWD,SD-III-DB-Tender/ 21-22-12196-213 dated 08-09-21,2021_PWD_52257_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical,.pdf,Cost of tender document as per schedule F (6.3) and Earnest Money as per schedule F (6.5),"1,15,900",No,fixed,,Nil,Nil,"Special Repair to Armsdale building at H.P. Secretariat Chotta Shimla. (SH- Providing and fixing UPVC window and ESS-ESS railing in Back side of Armsdale Building Phase-I and II including Lift and stair hall portion, Conference hall of 6th floor etc","Special Repair to Armsdale building at H.P. Secretariat Chotta Shimla. (SH- Providing and fixing UPVC window and ESS-ESS railing in Back side of Armsdale Building Phase-I and II including Lift and stair hall portion, Conference hall of 6th floor etc",As per bidding documents ,NA ,"57,92,583",Civil Works,NA ,Tender,75.0,120.0,Chotta Shimla,171002.0,NA ,NA ,NA ,"E. E. SHIMLA DIVISION NO. III, HPPWD, Shimla-3",No ,No,1.0,ICICI BANK,14-Sep-2021 11:00 AM,21-Sep-2021 11:00 AM,14-Sep-2021 11:00 AM,20-Sep-2021 05:00 PM,NA ,NA ,14-Sep-2021 11:00 AM,20-Sep-2021 05:00 PM,24-Sep-2021 11:00 AM,"E. E. SHIMLA DIVISION NO. III, HPPWD, Shimla-3","E. E. SHIMLA DIVISION NO. III, HPPWD, Shimla-3","2,000",Nil,Nil,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,236622.0,AKSHIT THAKUR,19-Sep-2021 10:39 AM,Accepted-AOC,L1,01-Dec-2021 11:59 AM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,.pdf,Contractor registration as per general Rule 23 and as per invitation of bid.,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,236251.0,FURKAN AHEMED,19-Sep-2021 07:05 PM,Rejected-Technical,ok,23-Sep-2021 05:33 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,.pdf,GST registration as per General Rule No 21. Copy of GST No./ Copy of Tin No. and Copy of PAN Card.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,236728.0,M Pandit,20-Sep-2021 12:34 PM,Rejected-Technical,ok,23-Sep-2021 05:33 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,.pdf,Proof of registration under Employees Provident Funds and Miscellaneous Provision Act. 1952.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,.pdf,HP.PWD Form No-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,.pdf,Affidavit of Gazetted and non-Gazetted HPPWD employees related to him (General Rule No 16).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,.pdf,"Affidavit of no relative working in PWD, Information furnished in the bid is correct in all respect.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,.pdf,Proof of Machinery Tools plant and ownership as per sr. No. 6.19 of schedule F Clause 18.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,.pdf,Minimum Turnover for last Five years as given by CA.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,.pdf,Work done certificate as per schedule F (6.9) and Work in hand certificate as per schedule F (6.10),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
