EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Instrument Type,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Cover No,Cover,Document Type,Description,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :,Updated On :,Document :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :,Document :.3,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage
"18,400",No,fixed,,EE Bhawarna,Bhawarna,1.0,DD - Demand Draft,13-Apr-2020 03:45 PM,27-Apr-2020 11:30 AM,13-Apr-2020 03:50 PM,27-Apr-2020 11:00 AM,NA ,NA ,13-Apr-2020 04:00 PM,27-Apr-2020 11:00 AM,20-May-2020 04:00 PM,Providing and laying Annual Surfacing (Periodic Maintenance) on Salan to Katiyar road via Samula in Km 0/0 to 1/0 (during the year 2020-21) of Rural roads in the state of HP,"Providing and laying Tack coat, Bituminous Concrete and C/o V-shape drain in between Km 0/0 to 1/0",Please refer Tender documents. ,NA ,"9,15,438",Civil Works - Roads,NA ,Tender,120.0,90.0,Bhawarna,176083.0,NA ,NA ,NA ,EE Bhawarna,No ,No,350.0,EE Bhawarna,Bhawarna,No,PWD,Salan to Katiyar road via Samula in Km 0-0 to 1-0,2020_PWD_36642_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,E.E. HPPWD Division Bhawarna,E.E. HPPWD Division Bhawarna,1.0,Fee/PreQual/Technical,.pdf,Cost of tender form.In shape of demand draft as per SBD.,AOC,1.0,157220.0,M/s Kamala Enterprises,25-Apr-2020 01:18 PM,Rejected-Finance,Bidder Rank-L2,02-Dec-2021 04:10 PM,Technical,Bid opening summary,Manish Sehgal,20-May-2020 03:47 PM,technical_54096.pdf,1.0,157103.0,Sanjeev,INR,"1,269,518",Finance,SUMMARY,Manish Sehgal,02-Dec-2021 04:09 PM,finance_54096.pdf,BOQ Comparative Chart,PWD,2020_PWD_36642_1,Salan to Katiyar road via Samula in Km 0-0 to 1-0,Providing and laying Annual Surfacing (Periodic Maintenance) on Salan to Katiyar road via Samula in Km 0/0 to 1/0 (during the year 2020-21) of Rural roads in the state of HP,Sh Manish Sehgal,Internal,Anoop Sood AE to EE Harjeet Singh Supdt Mukesh Kumar JDM Dayal Singh Sr Asstt Manjeet Kumar Jr Asstt,Manish Sehgal,20-May-2020 03:54 PM,20-May-2020 04:00 PM,techsummary_54096.pdf (872.96 KB),Sh Manish Sehgal,Internal,,Manish Sehgal,02-Dec-2021 04:10 PM,finsummary_54096.pdf (472.38 KB),02-Dec-2021,"INR 1,331,012",90.0,Manish Sehgal,02-Dec-2021 04:11 PM,AOC.pdf (1028.00 KB),AOC,AOC
,,,,,,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Earnest money in shape of FDR duly pledged in favour of Executive Engineer, Bhawarna Division, HPPWD",AOC,2.0,157103.0,Sanjeev,22-Apr-2020 09:29 AM,Accepted-AOC,Bidder Rank-L1,02-Dec-2021 04:11 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor registration.,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST registration.,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done certificate as per SBD.,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An affidavit that information furnished with the bid (with work name) are true.,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding no near relative working in HP PWD department.,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of machinery and equipment as per SBD.,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form 7/8 duly signed by the contractor.,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
