Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :,Document :.2,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage,S.No,Instrument Type,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
Finance,Proceeding,Sandeep Sobti,13-Dec-2021 01:50 PM,None,BOQ Comparative Chart,1.0,203565.0,DHARAM PAL GOVT CONTRACTOR,INR,"1,045,235",Technical,proceeding,Sandeep Sobti,17-Mar-2021 04:58 PM,technical_68309.pdf,1.0,203101.0,AJAY KUMAR,13-Mar-2021 02:33 PM,Rejected-AOC,4th lowest,13-Dec-2021 01:59 PM,Er. S.K. Sobti,Internal,DAO Supd,Sandeep Sobti,13-Dec-2021 01:56 PM,finsummary_68309.pdf (363.84 KB),13-Dec-2021,"INR 845,822",90.0,Sandeep Sobti,13-Dec-2021 01:59 PM,DharamPal45408.pdf (514.00 KB),Award letter,PWD,2021_PWD_45408_1,PW/RMP/2020-18116-18 Dated 24.02.2021,C.O Seri Majhali Khincha road km 0/000 to 2/020,Er. S.K. Sobti,Internal,proceeding,Sandeep Sobti,23-Mar-2021 12:36 PM,23-Mar-2021 12:40 PM,techsummary_68309.pdf (363.84 KB),AOC,1.0,DD - Demand Draft,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender Form (indicated in Schedule F),PWD,PW/RMP/2020-18116-18 Dated 24.02.2021,2021_PWD_45408_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,350.0,EE Rampur,Rampur,Yes,EE Rampur,EE B and R Division HPPWD Rampur,10-Mar-2021 03:30 PM,16-Mar-2021 11:00 AM,10-Mar-2021 03:30 PM,16-Mar-2021 09:30 AM,10-Mar-2021 03:30 PM ,16-Mar-2021 09:00 AM ,10-Mar-2021 03:30 PM,16-Mar-2021 09:30 AM,23-Mar-2021 12:40 PM,"17,000",Yes,fixed,,EE Rampur,Rampur,C.O Seri Majhali Khincha road km 0/000 to 2/020,SH ROFD and C.O R.Wall at various RDs,Please refer Tender documents. ,NA ,,Civil Works - Roads,NA ,Tender,90.0,NA ,EE B and R Division HPPWD Rampur,172001.0,NA ,NA ,NA ,EE Rampur,No ,No,AOC
,,,,,,,,,,,,,,,,2.0,203109.0,Anup.constrction,15-Mar-2021 05:06 PM,Rejected-AOC,2nd lowest,13-Dec-2021 01:59 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2.0,FDR - Fixed Deposit,,,.pdf,Earnest Money Deposit (indicated in Schedule F),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,3.0,203565.0,DHARAM PAL GOVT CONTRACTOR,16-Mar-2021 08:30 AM,Accepted-AOC,1st lowest,13-Dec-2021 01:59 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,.pdf,Contractors Registration (Refer General Rule No 23),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,4.0,203440.0,JAGDISH KUMAR GOVT. CONTRACTOR,15-Mar-2021 02:31 PM,Rejected-AOC,3rd lowest,13-Dec-2021 01:59 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,.pdf,GST registration (Refer General Rule No 21),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,.pdf,Permanent Account Number (PAN),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,.pdf,Work Done Certificate of similar nature and detail of ongoing works (Refer General Rule No 19),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,.pdf,"List of Machinery, Tool, Plant (Refer Schedule F with reference to Clause 18)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,.pdf,Registration under Employees Provident Funds and Miscellaneous Provision act 1952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,.pdf,Clearance of GST return attested by CA.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
