Type :,Summary :,Updated By :,Updated On :,Document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.3,Updated on :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Tender Stage
Technical,Attached,Vivek Sharma,22-Jul-2021 06:15 PM,technical_73888.pdf,1.0,221458.0,Dinesh Thakur,05-Jul-2021 05:50 PM,Rejected-Finance,l3,29-Sep-2021 04:18 PM,1.0,221979.0,SATISH KUMAR SHARMA,INR,"752,156.29",Finance,Attached,Vivek Sharma,29-Sep-2021 04:13 PM,finance_73888.pdf,BOQ Comparative Chart,07-Dec-2021,"INR 752,156",30.0,Vivek Sharma,07-Dec-2021 10:00 PM,AwardBaru.pdf (959.00 KB),Award,EE Hamirpur,Internal,SupdtHDMSrDAOAEtoEE,Vivek Sharma,29-Sep-2021 04:18 PM,finsummary_73888.pdf (705.71 KB),EE Hamirpur,Internal,SupdtHDMAEtoEESupdtAB,Vivek Sharma,22-Jul-2021 07:33 PM,23-Jul-2021 11:00 AM,techsummary_73888.pdf (1064.34 KB),PWD,2021_PWD_49342_1,R/M Polytechnic Colony in Govt. Polytechnic Baru,Repair and maintenance of residential accommodation of Govt. Polytechnic Colony in Govt. Polytechnic College Baru Distt. Hamirpur,AOC,"11,600",No,fixed,,Nil,Nil,PWD,R/M Polytechnic Colony in Govt. Polytechnic Baru,2021_PWD_49342_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,350.0,Nil,Nil,No,02-Jul-2021 09:00 AM,08-Jul-2021 11:30 AM,02-Jul-2021 09:00 AM,08-Jul-2021 10:30 AM,NA ,NA ,02-Jul-2021 09:00 AM,08-Jul-2021 10:30 AM,23-Jul-2021 11:00 AM,1.0,Fee/PreQual/Technical,.pdf,Contractor Registration,1.0,ICICI BANK,Repair and maintenance of residential accommodation of Govt. Polytechnic Colony in Govt. Polytechnic College Baru Distt. Hamirpur,SH Providing painting distempering white washing providing prepainted sheet roofing wood work sanitary work etc Deposit work,Please refer Tender documents. ,NA ,,Civil Works - Roads,NA ,Tender,60.0,30.0,Hamirpur,177001.0,NA ,NA ,NA ,Hamirpur,No ,No,EE Hamirpur,Executive Engineer HPPWD Hamirpur,AOC
,,,,,2.0,221979.0,SATISH KUMAR SHARMA,07-Jul-2021 08:21 PM,Accepted-AOC,l1,07-Dec-2021 10:00 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work in hand certificate counter signed by Engineer-in-Charge as per General rules direction-16,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,3.0,221423.0,SURESH THAKUR GOV CONT,06-Jul-2021 05:29 PM,Rejected-Finance,l2,29-Sep-2021 04:18 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of online receipt of EMD and Cost of Tender form,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An Affidavit that information furnished with the bid true and corrects,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST and EPF Registration latest clearance statement,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An Affidavit the contr. should not have more two works at a time each of Rs. 100 lacs in any circle,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of Pan No,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Detail of machinery as per SBD with proof RC, Affidavit/lease agreement for hired Machinery",,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Working Programme,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,PWD Form No 8 in SBD duly signed by the bidder and Witness with complete address,,,,,,,,,,,,,,,,,,,,,,,AOC
