S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :,Document :.2,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage,S.No,Instrument Type,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage
1.0,194468.0,Suresh Kumar,INR,"17,897,269",Finance,Proceeding,Sandeep Sobti,24-Dec-2021 11:07 AM,None,BOQ Comparative Chart,Technical,proceeding,Sandeep Sobti,31-Dec-2020 04:37 PM,technical_64384.pdf,1.0,194478.0,Laiq Ram Chauhan,30-Dec-2020 09:31 PM,Rejected-AOC,2nd lowest,24-Dec-2021 11:20 AM,Er. S.K. Sobti,Internal,DAO Supdt.,Sandeep Sobti,24-Dec-2021 11:13 AM,finsummary_64384.pdf (210.08 KB),24-Dec-2021,"INR 10,475,796",365.0,Sandeep Sobti,24-Dec-2021 11:20 AM,Suresh43411.pdf (1099.00 KB),Award letter,PWD,2020_PWD_43411_1,PW/RAMP/TA/2020-14541-43 dated 04.12.2020,C.O Jeepable road Gahan Majhdharti Km. 0.000 to 8.500 under SCSP,Er. S.K. Sobiti,Internal,DAO Supdt.,Sandeep Sobti,01-Jan-2021 02:26 PM,01-Jan-2021 03:00 PM,techsummary_64384.pdf (210.08 KB),AOC,1.0,DD - Demand Draft,"1,37,300",Yes,fixed,,EE Rampur,Rampur,C.O Jeepable road Gahan Majhdharti Km. 0.000 to 8.500 under SCSP,SH M.T works in Km. 0.000 to 8.500 and 0.000 to 1.000,Please refer Tender documents. ,NA ,,Civil Works - Roads,NA ,Tender,90.0,NA ,B and R Division HPPWD Rampur,172001.0,NA ,NA ,NA ,EE Rampur,No ,No,"5,000",EE Rampur,Rampur,Yes,22-Dec-2020 01:00 PM,31-Dec-2020 11:00 AM,22-Dec-2020 01:00 PM,31-Dec-2020 09:00 AM,22-Dec-2020 01:00 PM ,31-Dec-2020 09:00 AM ,22-Dec-2020 01:00 PM,31-Dec-2020 09:00 AM,01-Jan-2021 03:00 PM,EE Rampur,EE Rampur B and R Division HPPWD Rampur,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender Form (indicated in Schedule F),PWD,PW/RAMP/TA/2020-14541-43 dated 04.12.2020,2020_PWD_43411_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,AOC
,,,,,,,,,,,,,,,,2.0,194469.0,rameshthakur,30-Dec-2020 06:03 PM,Rejected-Technical,Not Responsive,01-Jan-2021 02:30 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Earnest Money Deposit (indicated in Schedule F),,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,3.0,194468.0,Suresh Kumar,30-Dec-2020 05:44 PM,Accepted-AOC,1st lowest,24-Dec-2021 11:20 AM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors Registration (Refer General Rule No 23),,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST registration (Refer General Rule No 21),,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Permanent Account Number (PAN),,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work Done Certificate of similar nature and detail of ongoing works (Refer General Rule No 19),,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"List of Machinery, Tool, Plant (Refer Schedule F with reference to Clause 18)",,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Registration under Employees Provident Funds and Miscellaneous Provision act 1952,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Clearance of GST return attested by CA.,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,AOC
