Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Name,Address,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
22-Dec-2021,"INR 833,569",90.0,Manoj Sood,22-Dec-2021 11:49 AM,Award.PDF (1612.00 KB),AOC,Er.B.M Thakur,Internal,"Er Manoj Sood, AE Palampur and AE to EE, Sh. Rajinder Choudahry Sr. DAO, Sh Sunil Dutt Supdt, Sh Manoj Kumar HDM",Manoj Sood,03-Sep-2021 02:45 PM,finsummary_76935.pdf (582.53 KB),Er.B.M Thakur,Internal,"Er Manoj Sood, AE Palampur and AE to EE, Sh. Rajinder Choudahry Sr. DAO, Sh Sunil Dutt Supdt, Sh Manoj Kumar HDM",Manoj Sood,01-Sep-2021 10:37 AM,01-Sep-2021 11:30 AM,techsummary_76935.pdf (1193.00 KB),PWD,2021_PWD_51472_2,6238-68 HPPWD Palampur,Balance work of Indoor wards in Civil hospital Palampur,1.0,232260.0,C M RANA,INR,"965,806",Finance,Summary,Manoj Sood,03-Sep-2021 02:41 PM,finance_76935.pdf,BOQ Comparative Chart,Technical,Summary,Manoj Sood,01-Sep-2021 10:35 AM,technical_76935.pdf,1.0,232260.0,C M RANA,25-Aug-2021 07:46 PM,Accepted-AOC,L1,22-Dec-2021 11:49 AM,AOC,Executive Engineer,HPPWD Division Palampur,1.0,ICICI BANK,Balance work of Indoor wards in Civil hospital Palampur,"Providing and fixing 12 mm thick prelaminted board for doors shutter and accessories, stainless steel railing for stair case and balconies etc.)(Block-A)",Please refer Tender documents. ,NA ,"8,33,569",Civil Works - Buildings,NA ,Tender,120.0,90.0,Palampur,176061.0,NA ,NA ,NA ,Palampur,No ,No,1.0,Fee/PreQual/Technical,.pdf,Copy of online receipt of EMD and Cost of tender form,21-Aug-2021 11:40 AM,27-Aug-2021 11:30 AM,21-Aug-2021 11:45 AM,27-Aug-2021 11:00 AM,NA ,NA ,21-Aug-2021 11:50 AM,27-Aug-2021 11:00 AM,01-Sep-2021 11:30 AM,PWD,6238-68 HPPWD Palampur,2021_PWD_51472_2,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,"16,700",No,fixed,,Nil,Nil,350.0,Nil,Nil,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,232245.0,Sunil Walia,25-Aug-2021 07:51 PM,Rejected-Finance,L2,03-Sep-2021 02:45 PM,AOC,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor Registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST Registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done certificate as per SBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that the information submitted with the bid are true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding near relative working in the PWD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding not more than two works in hand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of machinery and Equipment as per SBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form 7/8 duly signed by the Contractor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Employee Provident Fund( EPF) registration number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
