Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Instrument Type,Tender Stage,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage
"2,000","Executive Engineer, HPPWD Division Tauni Devi",Hamirpur,Yes,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender form DD must be payable at Hamirpur,"74,000",Yes,fixed,,EE Tauni Devi,Hamirpur,Periodical Maintenance on link road Uhal to Bakkar Khad via Parnali km. 0/0 to 5/700 and Periodical Maintenance on Jateru Bharmar road,i Periodical Maintenance on link road Uhal to Bakkar Khad via Parnali km. 0/0 to 5/700. (SH P/L 30mm thick B.C. 2.5mm thick road marking thermoplastic strip and V-shape drain in km. 4/0 to 5/675 HP0302VR0071.,Please refer Tender documents. ,NA ,,Civil Works,NA ,Tender,90.0,90.0,Executive Engineer Tauni Devi Division,177023.0,NA ,NA ,NA ,"Executive Engineer, HPPWD Division Tauni Devi",No ,No,"Executive Engineer, HPPWD Division Tauni Devi","Executive Engineer, HPPWD Division Tauni Devi",PWD,No.PWD/TDD/GA-24334dt10.02,2021_PWD_44686_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,23-Feb-2021 06:30 PM,01-Mar-2021 11:00 AM,23-Feb-2021 06:30 PM,01-Mar-2021 10:30 AM,NA ,NA ,23-Feb-2021 06:30 PM,01-Mar-2021 10:30 AM,05-Mar-2021 03:30 PM,1.0,DD - Demand Draft,AOC,PWD,2021_PWD_44686_1,No.PWD/TDD/GA-24334dt10.02,Periodical Maintenance on link road Uhal to Bakkar Khad via Parnali km. 0/0 to 5/700 and Periodical Maintenance on Jateru Bharmar road,EE,Internal,SUPDT/HDM/AE,Arvind Lakhanpal,04-Mar-2021 02:02 PM,05-Mar-2021 03:30 PM,techsummary_67094.pdf (1795.97 KB),EE,Internal,Supdt/HDM/AE,Arvind Lakhanpal,03-May-2021 02:01 PM,finsummary_67094.pdf (212.34 KB),20-Oct-2021,"INR 4,443,979",90.0,Arvind Lakhanpal,02-Dec-2021 03:31 PM,MShamaAMPJatehruBharmar.pdf (774.00 KB),AOC,1.0,200988.0,Arvind Sharma,01-Mar-2021 09:30 AM,Rejected-Technical,Not Admitted,04-Mar-2021 02:02 PM,Technical,Summary,Arvind Lakhanpal,04-Mar-2021 01:49 PM,technical_67094.pdf,1.0,200913.0,MOHINDER PAL GOVT. CONTRACTOR,INR,"5,654,909",Finance,Summary,Arvind Lakhanpal,05-Mar-2021 05:45 PM,finance_67094.pdf,BOQ Comparative Chart,AOC
,,,,,,.pdf,EMD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,AOC,,,,,,,,,,,,,,,,,,,,,,,,,2.0,200954.0,Bikesh Kumar Govt Contractor,28-Feb-2021 02:42 PM,Rejected-Technical,Not Admitted.,04-Mar-2021 02:02 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,.pdf,Contractor Registration(General Rule No. 23),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,3.0,200913.0,MOHINDER PAL GOVT. CONTRACTOR,27-Feb-2021 05:17 PM,Accepted-AOC,1,02-Dec-2021 03:31 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,.pdf,GST No. along with latest return of GST ( also see General Rule 21),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,4.0,200927.0,PANKAJ KUMAR,27-Feb-2021 05:45 PM,Rejected-Technical,Not Admitted.,04-Mar-2021 02:02 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,.pdf,Work Done Certificate (General Rule No. 19),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,5.0,200898.0,SAJEEV KUMAR GOVT.CONTRACTOR,27-Feb-2021 04:52 PM,Rejected-AOC,2,02-Dec-2021 03:31 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,.pdf,Work in hand Certificate (General Rule No.19),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,6.0,200987.0,umesh sharma,01-Mar-2021 09:22 AM,Rejected-Technical,Not Admitted.,04-Mar-2021 02:02 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,.pdf,"List of Machinery, Tool , Plant as per SBD",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,.pdf,List of Both Gaztted and Non Gaztted officer HPPWD employees related to him (General Rule No.16),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,.pdf,An affidavit that information furnished with the bid (Name of work) is correct in all respect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,.pdf,Affidavit regarding no pending litigation with the Department,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,.pdf,Copy of PAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,.pdf,EPF or Pradhan Mantri Shram Yogi Mann-Dhan (PM-SYM) No. along with latest return must be attached.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,.pdf,Any other information bidders like to provide,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
