Type :,Summary :,Updated By :,Updated On :,Document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.3,Updated on :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No.1,Corrigendum Title,Corrigendum Type,View,Cover No,Cover,Document Type,Description,Tender Stage
Technical,Summary,Arvind Lakhanpal,04-Aug-2021 03:05 PM,technical_75369.pdf,1.0,227186.0,MOHINDER PAL GOVT. CONTRACTOR,02-Aug-2021 06:18 PM,Accepted-AOC,1,02-Dec-2021 03:14 PM,1.0,227186.0,MOHINDER PAL GOVT. CONTRACTOR,INR,"1,787,232",Finance,prebid,Arvind Lakhanpal,15-Sep-2021 12:37 PM,finance_75369.pdf,BOQ Comparative Chart,27-Oct-2021,"INR 1,732,806",60.0,Arvind Lakhanpal,02-Dec-2021 03:14 PM,MohinderChabutraAmbgarasalasi.pdf (298.00 KB),AOC,EE,Internal,SUPDT/HDM/DAO,Arvind Lakhanpal,15-Sep-2021 12:47 PM,finsummary_75369.pdf (108.17 KB),EE,Internal,SUPDT/HDM/DAO/AE,Arvind Lakhanpal,12-Aug-2021 06:37 PM,13-Aug-2021 10:30 AM,techsummary_75369.pdf (194.79 KB),PWD,2021_PWD_50334_1,No/PW/TDD/NIT/2021,C/O link road Chabutra to Ambghara Salasi road km. 0/0 to 3/500.,AOC,26-Jul-2021 06:30 PM,03-Aug-2021 11:00 AM,26-Jul-2021 06:30 PM,03-Aug-2021 11:00 AM,NA ,NA ,26-Jul-2021 06:30 PM,03-Aug-2021 11:00 AM,13-Aug-2021 10:30 AM,C/O link road Chabutra to Ambghara Salasi road km. 0/0 to 3/500.,M/T works at RD. 2/050 to 3/100,Please refer Tender documents. ,NA ,"17,32,806",Civil Works,NA ,Tender,90.0,60.0,Tauni Devi Executive Engineer,177023.0,NA ,NA ,NA ,"Executive Engineer, HPPWD Division Tauni Devi",No ,No,PWD,No/PW/TDD/NIT/2021,2021_PWD_50334_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,500.0,Nil,Nil,No,"Executive Engineer, HPPWD Division Tauni Devi","Executive Engineer, HPPWD Division Tauni Devi",1.0,ICICI BANK,"35,000",No,fixed,,Nil,Nil,1.0,corrigendum,Technical Bid,,1.0,Fee/PreQual/Technical,.pdf,Fee,AOC
,,,,,2.0,227188.0,SAJEEV KUMAR GOVT.CONTRACTOR,02-Aug-2021 06:36 PM,Rejected-AOC,2,02-Dec-2021 03:14 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,.pdf,EMD,AOC
,,,,,3.0,227211.0,Surjeet Kumar,02-Aug-2021 08:24 PM,Rejected-AOC,3,02-Dec-2021 03:14 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor Registration(General Rule No. 23),AOC
,,,,,4.0,227044.0,VINAY KUMAR,02-Aug-2021 06:41 PM,Rejected-Technical,Not Admitted,12-Aug-2021 06:37 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST No. along with latest return of GST,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work Done Certificate (General Rule No. 19),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work in hand Certificate (General Rule No.19),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"List of Machinery, Tool , Plant as per SBD",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of Both Gaztted and Non Gaztted officer HPPWD employees related to him (General Rule No.16),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An affidavit that information furnished with the bid (Name of work) is correct in all respect,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding no pending litigation with the Department,AOC
