S.No,Corrigendum Title,Corrigendum Type,View,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No.1,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD through BG/ST or EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage
1.0,Extension Notice for TEC A,Date,,"20,000",Nil,Nil,No,1.0,SBI Bank,Construction of new 33/11 kv substation in Tezpur Electrical Circle A on turnkey basis,Construction of new 33/11 kv substation in Tezpur Electrical Circle A on turnkey basis,Please refer Tender documents. ,NA ,"33,56,67,000",Electrical Works,NA ,Tender,120.0,730.0,Tezpur,784001.0,"O/O the CPM(PIU),APDCL,2nd Floor,Bijulee Bhawan ","O/O the CPM(PIU),APDCL,2nd Floor,Bijulee Bhawan ",04-Jan-2021 11:00 AM ,"O/O the CPM(PIU),APDCL,2nd Floor,Bijulee Bhawan",No ,No,22-Dec-2020 02:35 PM,04-Feb-2021 11:00 AM,22-Dec-2020 02:35 PM,02-Feb-2021 03:00 PM,NA ,NA ,11-Jan-2021 11:00 AM,02-Feb-2021 03:00 PM,09-Jul-2021 12:00 PM,1.0,Fee/PreQual/Technical,.rar,Techno-Commercial Bid,Assam Power Distribution Company Limited- Externally Aided Project||Project Planning and Development- PPnD||Project Implementation Unit -AIIB,APDCL/DSELR/TEC A/01,2020_APDEA_19733_1,Yes,Open Tender,Turn-key,Works,2.0,No,No,Online,No,No,No,"34,00,000",Yes,fixed,,Nil,Nil,CPM(PIU),"O/O the CPM(PIU),APDCL,2nd Floor,Bijulee Bhawan",AOC,1,103006,Agrawal Power Private Limited,02-Feb-2021 02:48 PM,Rejected-AOC,Not L1 bidder,29-Dec-2021 01:56 PM,Assam Power Distribution Company Limited- Externally Aided Project||Project Planning and Development- PPnD||Project Implementation Unit -AIIB,2020_APDEA_19733_1,APDCL/DSELR/TEC A/01,Construction of new 33/11 kv substation in Tezpur Electrical Circle A on turnkey basis,AOC
2.0,EMD_CORRIGENDUM,Fee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Financial Bid,,,,,,,,,,,,,,,,,,,,,,,AOC,2,103136,BRAHMAPUTRA RIVER VALLEY TRADING PVT. LTD.,01-Feb-2021 05:32 PM,Rejected-Technical,Techno-Commercially Non-Responsive,07-Jul-2021 05:52 PM,,,,,AOC
3.0,Corrigendum on Pricing Schedule,Financial Bid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Letter of Price Bid,,,,,,,,,,,,,,,,,,,,,,,AOC,3,104647,JAI BALAJI TIMBER PRODUCTS,02-Feb-2021 02:42 PM,Rejected-Technical,Techno-Commercially Non-Responsive,07-Jul-2021 05:52 PM,,,,,AOC
4.0,Corrigendum Notice for TEC A,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,4,104612,Jayanta Khaund,01-Feb-2021 03:33 PM,Rejected-AOC,Not L1 bidder,29-Dec-2021 01:56 PM,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,5,103126,LASER POWER AND INFRA PRIVATE LIMITED,02-Feb-2021 12:15 PM,Rejected-AOC,Not L1 bidder,29-Dec-2021 01:56 PM,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,6,103065,Lumino Industries Limited,01-Feb-2021 06:17 PM,Rejected-AOC,Not L1 bidder,29-Dec-2021 01:56 PM,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,7,104466,Mega Electricals,01-Feb-2021 06:39 PM,Rejected-Technical,Techno-Commercially Non-Responsive,07-Jul-2021 05:52 PM,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,8,104310,NK POWER AND INFRASTRUCTURE PRIVATE LIMITED,02-Feb-2021 02:55 PM,Rejected-AOC,Not L1 bidder,29-Dec-2021 01:56 PM,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,9,102813,OK Enterprise,01-Feb-2021 08:32 PM,Rejected-Technical,Techno-Commercially Non-Responsive,07-Jul-2021 05:52 PM,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,10,103078,Power and Instrumentation Guj Ltd,01-Feb-2021 09:05 PM,Accepted-AOC,L1 bidder,29-Dec-2021 01:56 PM,,,,,AOC
