S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :,Document :.2,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,S.No,Instrument Type,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
1.0,189795.0,M/S GOPAL SINGH,INR,"925,971",Finance,Proceeding,Sandeep Sobti,13-Dec-2021 01:31 PM,None,BOQ Comparative Chart,Technical,proceeding,Sandeep Sobti,04-Dec-2020 01:17 PM,technical_63207.pdf,1.0,189804.0,KEDAR SINGH,28-Nov-2020 01:59 PM,Rejected-AOC,2nd lowest,13-Dec-2021 01:34 PM,Er. S.K. Sobti,Internal,DAO Supdt,Sandeep Sobti,13-Dec-2021 01:33 PM,finsummary_63207.pdf (260.38 KB),13-Dec-2021,"INR 659,687",60.0,Sandeep Sobti,13-Dec-2021 01:34 PM,Gopal42675.pdf (519.00 KB),Award letter,PWD,2020_PWD_42675_1,PW/RMP/2020-13618-20 dated 06.11.2020,C.O Balance work on Ondi Jhalie road km 0.000 to 2.095,Er. S.K. Sobiti,Internal,DAO Supdt.,Sandeep Sobti,04-Dec-2020 01:34 PM,04-Dec-2020 02:15 PM,techsummary_63207.pdf (260.38 KB),AOC,EE Rampur,EE B and R Division HPPWD Rampur,PWD,PW/RMP/2020-13618-20 dated 06.11.2020,2020_PWD_42675_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,23-Nov-2020 03:00 PM,01-Dec-2020 11:00 AM,23-Nov-2020 03:00 PM,01-Dec-2020 09:00 AM,23-Nov-2020 03:00 PM ,01-Dec-2020 09:00 AM ,23-Nov-2020 03:00 PM,01-Dec-2020 09:00 AM,04-Dec-2020 02:15 PM,350.0,EE Rampur,Rampur,Yes,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender Form (indicated in Schedule F),1.0,DD - Demand Draft,"13,000",Yes,fixed,,EE Rampur,Rampur,C.O Balance work on Ondi Jhalie road km 0.000 to 2.095,"SH Removal of Formation Deficiencies, C.O R.Wall, C.O B.Wall in km 0.000 to 2.095",Please refer Tender documents. ,NA ,,Civil Works - Roads,NA ,Tender,90.0,NA ,EE B and R Divisioin HPPWD Rampur,172001.0,NA ,NA ,NA ,EE Rampur,No ,No,AOC
,,,,,,,,,,,,,,,,2.0,189795.0,M/S GOPAL SINGH,28-Nov-2020 01:18 PM,Accepted-AOC,1st lowest,13-Dec-2021 01:34 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Earnest Money Deposit (indicated in Schedule F),2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors Registration (Refer General Rule No 23),,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST registration (Refer General Rule No 21),,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Permanent Account Number (PAN),,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work Done Certificate of similar nature and detail of ongoing works (Refer General Rule No 19),,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"List of Machinery, Tool, Plant (Refer Schedule F with reference to Clause 18)",,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Registration under Employees Provident Funds and Miscellaneous Provision act 1952,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Clearance of GST return attested by CA.,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
