Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage
08-Dec-2021,"INR 1,323,274",30.0,Rajesh Kumar,16-Dec-2021 02:49 PM,Summary.pdf (685.00 KB),Awarded to lowest contractor,"Er. Vijay Kumar Chauhanm, Xen.",Internal,"L.R. Shandil, Head Draughtsman, Jiya Lal, Draughtsman",Vijay Kumar Chauhan,04-Dec-2021 04:17 PM,finsummary_77569.pdf (420.35 KB),"Er. Vijay Kumar Chauhanm, Xen.",Internal,"Deepak Sharma, Sr. DAO, L.R. Shindal, HDM, Kewal Ram,, Supdt. Gr.II, Leela Verma, Sr. Asstt.",Vijay Kumar Chauhan,23-Sep-2021 01:45 PM,23-Sep-2021 03:30 PM,techsummary_77569.pdf (426.66 KB),PWD,2021_PWD_51881_2,PW.HD/CB-tender/2021-5602-15,Metalling and tarring on Bhakhality Sarog Barogg road km 0.00 to 13.060,Finance,Financial Bid opening summary,Vijay Kumar Chauhan,23-Sep-2021 04:48 PM,finance_77569.pdf,BOQ Comparative Chart,1.0,235237.0,Anil Kumar,INR,"1,230,689",Technical,Bid Opening summary,Vijay Kumar Chauhan,15-Sep-2021 01:35 PM,technical_77569.pdf,1.0,235237.0,Anil Kumar,13-Sep-2021 01:41 PM,Accepted-AOC,work awarded being L1,16-Dec-2021 02:49 PM,AOC,Metalling and tarring on Bhakhality Sarog Barogg road km 0.00 to 13.060,Providing and laying 20mm thick premix carpet with seal coat in km 11.855 to 13.060,As per GCC ,NA ,"13,23,274",Civil Works - Roads,NA ,Tender,45.0,30.0,Theog Tehsil Theog Distt. Shimla HP,171201.0,NA ,NA ,NA ,Theog Division,No ,No,PWD,PW.HD/CB-tender/2021-5602-15,2021_PWD_51881_2,Yes,Open Tender,Item Wise,Works,2.0,No,No,Online,No,No,No,500.0,Nil,Nil,No,1.0,Fee/PreQual/Technical,.pdf,Copy of online receipt/UTR No. of EMD and cost of tender form,1.0,ICICI BANK,"26,500",No,fixed,,Nil,Nil,Executive Engineer,"Theog Division, H.P.P.W.D., Theog Distt. Shimla, HP.",04-Sep-2021 11:00 AM,14-Sep-2021 11:00 AM,04-Sep-2021 11:00 AM,13-Sep-2021 05:00 PM,NA ,NA ,04-Sep-2021 11:00 AM,13-Sep-2021 05:00 PM,23-Sep-2021 03:30 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,235548.0,BALKRISHAN VERMA,13-Sep-2021 02:24 PM,Rejected-Finance,Being higher rates,04-Dec-2021 04:17 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor Registration Ref. general rule and direction 24.3,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,234175.0,Laiq Ram Chauhan and Sons,06-Sep-2021 07:32 PM,Rejected-Finance,Being higher rates,04-Dec-2021 04:17 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST Registration Ref. general rule and direction 24.4,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work in Hand Certificate countersigned by EE.,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Pan Card,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"List of Machinery, Tools and plants 24.6 G.R and direction as per Schedule- F ref. clause-18 of GCC",,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No-7/8 in G.C.C. duly signed by the bidder and witnesses,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Proof of Registration under EPF and miscellaneous provision Act 1952.,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor shall give affidavit regarding list of both Gazette and non-gazette HPPWD Employees relat,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding correctness of documents,,,,,,,,,,,,,,,,,,,,AOC
