Type :,Summary :,Updated By :,Updated On :,Document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :,Document :.2,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
Technical,Attached,Vivek Sharma,22-Jul-2021 06:23 PM,technical_73886.pdf,1.0,221905.0,KASMIR SINGH CONTACTOR,07-Jul-2021 05:03 PM,Rejected-Technical,Rjected,22-Jul-2021 07:22 PM,Finance,Attached,Vivek Sharma,07-Dec-2021 09:04 PM,finance_73886.pdf,BOQ Comparative Chart,1.0,221925.0,Praveen Thakur,INR,"1,666,745",EE Hamirpur,Internal,SupdtHDMSrDAOAEtoee,Vivek Sharma,07-Dec-2021 09:19 PM,finsummary_73886.pdf (625.79 KB),07-Dec-2021,"INR 1,543,059",30.0,Vivek Sharma,07-Dec-2021 09:21 PM,AwardLetterTal.pdf (1557.00 KB),Award,PWD,2021_PWD_49340_1,Bhota Tal Sidhpur road km 2/0 to 4/500,AMP for the year 2021-22 under Lambloo Sub Division on Bhota Tal Sidhpur road km 2/0 to 4/500,EE Hamirpur,Internal,SupdtHDMSupdtABAEtoEE,Vivek Sharma,22-Jul-2021 07:22 PM,23-Jul-2021 02:00 PM,techsummary_73886.pdf (1728.18 KB),AOC,1.0,ICICI BANK,PWD,Bhota Tal Sidhpur road km 2/0 to 4/500,2021_PWD_49340_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical,.pdf,Contractor Registration,AMP for the year 2021-22 under Lambloo Sub Division on Bhota Tal Sidhpur road km 2/0 to 4/500,SH Providing and laying WMM BC and Rollar Compacted concrete at various RDs,Please refer Tender documents. ,NA ,,Civil Works - Roads,NA ,Tender,60.0,30.0,Hamirpur,177011.0,NA ,NA ,NA ,Hamirpur,No ,No,EE Hamirpur,Executive Engineer HPPWD Hamirpur,02-Jul-2021 09:00 AM,08-Jul-2021 11:30 AM,02-Jul-2021 09:00 AM,08-Jul-2021 10:00 AM,NA ,NA ,02-Jul-2021 09:30 AM,08-Jul-2021 10:00 AM,23-Jul-2021 02:00 PM,"30,600",No,fixed,,Nil,Nil,500.0,Nil,Nil,No,AOC
,,,,,2.0,221728.0,Nitin Patial,06-Jul-2021 06:31 PM,Rejected-Finance,l2,07-Dec-2021 09:19 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,.pdf,Work in hand certificate counter signed by Engineer-in-Charge not below rank of Executive Engineer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,3.0,221925.0,Praveen Thakur,07-Jul-2021 04:59 PM,Accepted-AOC,l1,07-Dec-2021 09:21 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,.pdf,Work in hand certificate counter signed by Engineer-in-Charge as per General rules direction-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,4.0,221733.0,RAJESH KUMAR GOVT CONTRACTOR,06-Jul-2021 06:56 PM,Rejected-Finance,l3,07-Dec-2021 09:19 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,.pdf,Copy of online receipt of EMD and Cost of Tender form,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,5.0,221151.0,S.S.Chauhans Construction Private Limted,07-Jul-2021 04:40 PM,Rejected-Technical,Rejected,22-Jul-2021 07:22 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,.pdf,An Affidavit that information furnished with the bid true and corrects,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,.pdf,GST and EPF Registration latest clearance statement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,.pdf,An Affidavit the contr. should not have more two works at a time each of Rs. 100 lacs in any circle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,.pdf,Copy of Pan No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,.pdf,"Detail of machinery as per SBD with proof RC, Affidavit/lease agreement for hired Machinery",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,.pdf,Working Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
