Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage
17-Dec-2021,"INR 6,021,162",120.0,Parveen Kumar Verma,22-Dec-2021 03:28 PM,53466_1.pdf (399.00 KB),AOC,ER.P.K. Verma,Internal,Sh. Padam Sharma. Sh.R.S.Thakur. Sh.Harnam Singh,Parveen Kumar Verma,25-Nov-2021 09:18 AM,finsummary_80019.pdf (592.68 KB),ER.P.K. Verma,Internal,Sh. Padam Sharma. Sh.R.S.Thakur. Sh.Gopal Singh,Parveen Kumar Verma,24-Nov-2021 03:53 PM,24-Nov-2021 04:00 PM,techsummary_80019.pdf (819.15 KB),PWD,2021_PWD_53466_1,SD-III-CB-Tender/ 2021-22-16120-37 dated 03-11-21,"Improvement of approach road from Mall road to Peter Hoff Shimla KMs 0/00 to 0/340. (SH- Construction of Breast Wall, Drain and Providing and Laying Bituminous Concrete in KMs 0/00 to 0/340 etc.) Under Shimla Smart City Project.",1.0,242816.0,Vijay Kumar,INR,"5,410,882",Finance,Bid opening summary,Parveen Kumar Verma,25-Nov-2021 09:16 AM,finance_80019.pdf,BOQ Comparative Chart,Technical,Bid opening summary,Parveen Kumar Verma,24-Nov-2021 03:52 PM,technical_80019.pdf,1.0,242852.0,ABHINEET SHARMA,17-Nov-2021 09:53 AM,Rejected-Technical,ok,24-Nov-2021 03:53 PM,AOC,"E. E. SHIMLA DIVISION NO. III, HPPWD, Shimla-3","E. E. SHIMLA DIVISION NO. III, HPPWD, Shimla-3",PWD,SD-III-CB-Tender/ 2021-22-16120-37 dated 03-11-21,2021_PWD_53466_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,"Improvement of approach road from Mall road to Peter Hoff Shimla KMs 0/00 to 0/340. (SH- Construction of Breast Wall, Drain and Providing and Laying Bituminous Concrete in KMs 0/00 to 0/340 etc.) Under Shimla Smart City Project.","Improvement of approach road from Mall road to Peter Hoff Shimla KMs 0/00 to 0/340. (SH- Construction of Breast Wall, Drain and Providing and Laying Bituminous Concrete in KMs 0/00 to 0/340 etc.) Under Shimla Smart City Project.",As per bidding documents ,NA ,"60,21,162",Civil Works,NA ,Tender,75.0,120.0,"Chaura Maidan, Shimla",171004.0,NA ,NA ,NA ,"E. E. SHIMLA DIVISION NO. III, HPPWD, Shimla-3",No ,No,"2,000",Nil,Nil,No,1.0,Fee/PreQual/Technical,.pdf,Cost of tender document as per schedule F (6.3) and Earnest Money as per schedule F (6.5),1.0,ICICI BANK,"1,20,450",No,fixed,,Nil,Nil,11-Nov-2021 06:00 PM,18-Nov-2021 11:00 AM,11-Nov-2021 06:00 PM,17-Nov-2021 05:00 PM,NA ,NA ,11-Nov-2021 06:00 PM,17-Nov-2021 05:00 PM,24-Nov-2021 04:00 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,242905.0,BALDEV SHARMA,17-Nov-2021 12:26 PM,Rejected-AOC,L2,22-Dec-2021 03:28 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor registration as per general Rule 23 and as per invitation of bid.,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,242816.0,Vijay Kumar,17-Nov-2021 12:44 PM,Accepted-AOC,L1,22-Dec-2021 03:28 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST registration as per General Rule No 21. Copy of GST No./ Copy of Tin No. and Copy of PAN Card.,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Proof of registration under Employees Provident Funds and Miscellaneous Provision Act. 1952.,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,HP.PWD Form No-8,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit of Gazetted and non-Gazetted HPPWD employees related to him (General Rule No 16).,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Affidavit of no relative working in PWD, Information furnished in the bid is correct in all respect.",,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Proof of Machinery Tools plant and ownership as per sr. No. 6.19 of schedule F Clause 18.,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Minimum Turnover for last Five years as given by CA.,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done certificate as per schedule F (6.9) and Work in hand certificate as per schedule F (6.10),,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,AOC
