Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Corrigendum Title,Corrigendum Type,View,S.No.1,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Tender Stage
Dr Gurdarshan Gupta CMO,Internal,,Gurdarshan Gupta,28-Dec-2021 01:15 PM,finsummary_69823.pdf (1440.49 KB),Department of Health and Family Welfare||Directorate of Health and Family Welfare||CMO KANGRA,2021_DFHW_46441_1,HFW-KGR/C/Sanitation/21-22/-77,Sanitation Services at CH Bhawarna,01-Jan-2022,"INR 237,854.7",90.0,Gurdarshan Gupta,28-Dec-2021 03:06 PM,AwardsanitationBhawarna.pdf (900.00 KB),1.0,210468.0,Maharishi Enterprises,INR,"79,284.9",Dr Gurdarshan Gupta CMO,Internal,,Gurdarshan Gupta,18-May-2021 04:53 PM,19-May-2021 11:00 AM,techsummary_69823.pdf (1440.49 KB),Technical,As per proceeding of the meeting of the e-Tender opening cum evaluvation committee held on 04.05.2021 (copy attached),Gurdarshan Gupta,11-May-2021 03:32 PM,technical_69823.pdf,1,210447,bobby dadri,03-May-2021 01:53 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,11-May-2021 03:32 PM,Finance,As per proceeding of meeting (finicial Bid) of E-tender cum evaluvation committee held on dated 19.05.2021 and proceeding of meeting for negotation of rates offered by L1 firm held on 15.06.2021. Further proceeding of meeting held on 24.12.2021 attached,Gurdarshan Gupta,28-Dec-2021 12:57 PM,finance_69823.pdf,BOQ Comparative Chart,AOC,500.0,"Chief Medical Officer, Kangra at Dharamshala",Dharamshala,No,1.0,Addendum wrt Sanitation Services,Other,,1.0,ICICI BANK,"50,000",No,fixed,,"Chief Medical Officer, Kangra at Dharamshala",Dharamshala,09-Apr-2021 05:00 PM,04-May-2021 11:00 AM,10-Apr-2021 10:00 AM,03-May-2021 05:00 PM,10-Apr-2021 11:00 AM ,17-Apr-2021 05:00 PM ,23-Apr-2021 01:00 PM,03-May-2021 05:00 PM,19-May-2021 11:00 AM,Sanitation Services at CH Bhawarna,Sanitation Services at CH Bhawarna,Please refer Tender Documents ,NA ,,Housekeeping/ Cleaning,NA ,Tender,180.0,365.0,Civil Hospital Bhawarna,176083.0,Office of the CMO Kangra at Dharamshala ,Office of the CMO Kangra at Dharamshala ,23-Apr-2021 11:00 AM ,Office of the CMO Kangra at Dharamshala,No ,No,1.0,Fee/PreQual/Technical,.pdf,Prequalification documents required as per Tender Notice,Department of Health and Family Welfare||Directorate of Health and Family Welfare||CMO KANGRA,HFW-KGR/C/Sanitation/21-22/-77,2021_DFHW_46441_1,Yes,Open Tender,Item Rate,Services,2.0,No,No,Both(Online/Offline),No,No,No,"Chief Medical Officer, Kangra at Dharamshala","Office of the Chief Medical Officer, Kangra at Dharamshala",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,210690,Byas infrabuild Pvt Ltd,01-May-2021 12:47 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,11-May-2021 03:32 PM,,,,,,,AOC,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Tender Fees and Earnest Money and other documents required as per Tender Notice,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,210757,CHAITANYA ENTERPRISES,03-May-2021 03:44 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,11-May-2021 03:32 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Price Bid (BOQ),,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,210833,Global Sanitation Services,03-May-2021 02:34 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,11-May-2021 03:32 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Break up (Annexure-10),,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,210832,J K ENTERPRISES,03-May-2021 04:35 PM,Rejected-Finance,Rejected being L4,28-Dec-2021 01:15 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,210468,Maharishi Enterprises,03-May-2021 03:35 PM,Accepted-AOC,The firm has quoted lowest rate as per BOQ and after negotiation the rate has been finalised Rs. 79284.90 per month,28-Dec-2021 03:06 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,210719,M/S BALDEV KUMAR,03-May-2021 04:04 PM,Rejected-Finance,Rejected being L3,28-Dec-2021 01:15 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,210731,New India Jan Seva Sansthan,02-May-2021 10:24 AM,Rejected-Finance,Rejected being L2,28-Dec-2021 01:15 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,210592,S M Manpower Services Pvt. Ltd.,03-May-2021 02:57 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,11-May-2021 03:32 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,210696,ZENITH EVENT AND SERVICES,03-May-2021 04:02 PM,Rejected-Technical,Not participated in demonstration,18-May-2021 04:53 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
