Type :,Summary :,Updated By :,Updated On :,Document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :,Document :.2,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,S.No,Instrument Type,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage
Technical,summary,Arvind Lakhanpal,11-Dec-2020 08:53 PM,technical_62951.pdf,1.0,188030.0,Anil Chandel,17-Nov-2020 05:51 PM,Rejected-AOC,2,02-Dec-2021 03:36 PM,1.0,188035.0,Surjeet Kumar,INR,"875,127",Finance,summary,Arvind Lakhanpal,25-Jan-2021 12:12 PM,finance_62951.pdf,BOQ Comparative Chart,ee,Internal,SUPDtHDMAE,Arvind Lakhanpal,14-Feb-2021 06:27 PM,finsummary_62951.pdf (582.75 KB),27-Oct-2021,"INR 608,798",60.0,Arvind Lakhanpal,02-Dec-2021 03:36 PM,SurjeetAmbulanceroadDhangota.pdf (499.00 KB),AOC,PWD,2020_PWD_42473_1,No.PW/TDD/NIT-TD,Construction of Ambulance link road from Lambehra to Dangota Brahamna km. 0/0 to 2/290,EE,Internal,SUPDT/HDM/AE,Arvind Lakhanpal,11-Dec-2020 09:05 PM,14-Dec-2020 10:30 AM,techsummary_62951.pdf (309.46 KB),AOC,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender form,350.0,EE Tauni Devi,Hamipur,Yes,14-Nov-2020 10:30 AM,20-Nov-2020 11:00 AM,14-Nov-2020 10:30 AM,20-Nov-2020 10:30 AM,NA ,NA ,14-Nov-2020 10:30 AM,20-Nov-2020 10:30 AM,14-Dec-2020 10:30 AM,Construction of Ambulance link road from Lambehra to Dangota Brahamna km. 0/0 to 2/290,C/O R/Wall in various RDs ) Stage-I,Please refer Tender documents. ,NA ,,Civil Works,NA ,Tender,90.0,60.0,"Executive Engineer, HPPWD Division Tauni Devi",177023.0,NA ,NA ,NA ,"Executive Engineer, HPPWD Division Tauni Devi",No ,No,"12,200",Yes,fixed,,EE Tauni Devi,Hamirpur,"Executive Engineer, HPPWD Division Tauni Devi","Executive Engineer, HPPWD Division Tauni Devi",1.0,DD - Demand Draft,PWD,No.PW/TDD/NIT-TD,2020_PWD_42473_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,AOC
,,,,,2.0,188393.0,Avtar Singh,20-Nov-2020 07:44 AM,Rejected-Technical,Not Admitted,11-Dec-2020 09:08 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,EMD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,AOC
,,,,,3.0,188035.0,Surjeet Kumar,17-Nov-2020 06:20 PM,Accepted-AOC,1,02-Dec-2021 03:36 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Contractor Registration(General Rule No. 23),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,GTS Registration (General Rule 21),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Work Done Certificate (General Rule No. 19),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Work in hand Certificate (General Rule No.19),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,"List of Machinery, Tool , Plant",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,List of Both Gaztted and Non Gaztted officer HPPWD employees related to him (General Rule No.16),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,An affidavit that information furnished with the bid (Name of work) is correct in all respect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,An Affidavit that the contractor has not more than two work in hand (General Rule No. 28.1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
