S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.3,Updated on :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Instrument Type,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage
1.0,190837.0,ASHWANI KUMAR GOVT. CONTRACTOR,INR,"1,055,650",Finance,summary,Arvind Lakhanpal,02-Dec-2021 02:39 PM,finance_63541.pdf,BOQ Comparative Chart,Technical,Summary,Arvind Lakhanpal,16-Mar-2021 07:10 PM,technical_63541.pdf,1.0,190837.0,ASHWANI KUMAR GOVT. CONTRACTOR,07-Dec-2020 02:20 PM,Accepted-AOC,1,02-Dec-2021 03:21 PM,02-Dec-2021,"INR 537,137",90.0,Arvind Lakhanpal,02-Dec-2021 03:21 PM,AshwaniMissingCDTdeviUhalkakkar.pdf (504.00 KB),AOC,EE,Internal,SUPDT/HDM/DAO,Arvind Lakhanpal,02-Dec-2021 02:41 PM,finsummary_63541.pdf (77.16 KB),EE,Internal,Supdt/HDM/AE,Arvind Lakhanpal,16-Mar-2021 07:13 PM,17-Mar-2021 03:30 PM,techsummary_63541.pdf (757.22 KB),PWD,2020_PWD_42865_1,PW/TDD/NIT/21-17293dt.16.09,C/O Missing C.D. on Tauni Devi Uhal Kakkar Bajrol Jungle Beri road km. 0/0 to 30/915,AOC,1.0,Fee/PreQual/Technical,.pdf,DD payable at Hamirpur,C/O Missing C.D. on Tauni Devi Uhal Kakkar Bajrol Jungle Beri road km. 0/0 to 30/915,C/O Interlocking tile rigid pavement at RD. 13/160 to 13/240,Please refer Tender documents. ,NA ,,Civil Works,NA ,Tender,90.0,90.0,Executive Engineer Tauni Devi Division,177023.0,NA ,NA ,NA ,"Executive Engineer, HPPWD Division Tauni Devi",No ,No,1.0,DD - Demand Draft,"10,800",Yes,fixed,,EE Tauni Devi,Hamirpur,350.0,"Executive Engineer, HPPWD Division Tauni Devi",Hamirpur,Yes,PWD,PW/TDD/NIT/21-17293dt.16.09,2020_PWD_42865_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,"Executive Engineer, HPPWD Division Tauni Devi","Executive Engineer, HPPWD Division Tauni Devi",02-Dec-2020 06:30 PM,08-Dec-2020 11:00 AM,02-Dec-2020 06:30 PM,08-Dec-2020 10:30 AM,NA ,NA ,02-Dec-2020 06:30 PM,08-Dec-2020 10:30 AM,17-Mar-2021 03:30 PM,AOC
,,,,,,,,,,,,,,,,2.0,190854.0,DESH RAJ GOVT CONTRACTOR,07-Dec-2020 03:30 PM,Rejected-AOC,Higher,02-Dec-2021 03:21 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,EMD,,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,3.0,190864.0,JITENDER SINGH GOVT. CONTRACTOR,07-Dec-2020 07:03 PM,Rejected-AOC,Higher,02-Dec-2021 03:21 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Contractor Registration(General Rule No. 23),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,4.0,190457.0,RAJ KUMAR,04-Dec-2020 01:17 PM,Rejected-AOC,Higher,02-Dec-2021 03:21 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,GST No. along with latest return of GST ( also see General Rule 21),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,5.0,190480.0,SATISH KUMAR,04-Dec-2020 01:31 PM,Rejected-AOC,Higher,02-Dec-2021 03:21 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Work Done Certificate (General Rule No. 19),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Work in hand Certificate (General Rule No.19),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,"List of Machinery, Tool , Plant as per SBD",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,List of Both Gaztted and Non Gaztted officer HPPWD employees related to him (General Rule No.16),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,An affidavit that information furnished with the bid (Name of work) is correct in all respect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Affidavit regarding no pending litigation with the Department,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Copy of PAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,EPF or Pradhan Mantri Shram Yogi Mann-Dhan (PM-SYM) No. along with latest return must be attached.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Any other information bidders like to provide,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
