Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage
1.0,Fee/PreQual/Technical,.pdf,Appropriate Contractor registration (as per tender condition),"5,900",Nil,Nil,No,1.0,ICICI BANK,"84,900",No,fixed,,Nil,Nil,Executive Engineer,HPSIDC Ltd. Shimla,23-Jun-2021 11:00 AM,30-Jun-2021 11:00 AM,23-Jun-2021 11:00 AM,29-Jun-2021 05:00 PM,NA ,NA ,23-Jun-2021 11:00 AM,29-Jun-2021 05:00 PM,19-Jul-2021 11:00 AM,HP SIDC Limited,Job No. 16,2021_SIDC_48969_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,"Development of Industrial Area at Chanour, Distt. Kangra (HP). (SH- C/o un-mettled road and RCC culvert ( RD. 1230.00 to 1940.00 Mtrs.)",(SH- C/o un-mettled road and RCC culvert ( RD. 1230.00 to 1940.00 Mtrs.),Please refer Tender documents. ,NA ,"52,40,182",Civil Works - Roads,NA ,Tender,120.0,90.0,Chanour (Kangra),176402.0,NA ,NA ,NA ,HPSIDC Ltd. Shimla,No ,No,AOC,07-Sep-2021,"INR 5,072,917",90.0,Sushant Singh Negi,03-Dec-2021 10:55 AM,ravinderkumarthree.pdf (1350.00 KB),Award letter,1.0,220008.0,Ravinder Kumar,INR,"5,072,917",SE,Internal,"DM, Manager(F), AE(HQ), EE (HQ)",Sushant Singh Negi,22-Jul-2021 11:26 AM,finsummary_73374.pdf (280.79 KB),HP SIDC Limited,2021_SIDC_48969_1,Job No. 16,"Development of Industrial Area at Chanour, Distt. Kangra (HP). (SH- C/o un-mettled road and RCC culvert ( RD. 1230.00 to 1940.00 Mtrs.)",Finance,Financial summary,Sushant Singh Negi,22-Jul-2021 11:22 AM,finance_73374.pdf,BOQ Comparative Chart,Technical,Technical summary,Sushant Singh Negi,17-Jul-2021 11:02 AM,technical_73374.pdf,SE,Internal,"DM, Manager(F), AE(HQ), EE(HQ)",Sushant Singh Negi,17-Jul-2021 11:06 AM,19-Jul-2021 11:00 AM,techsummary_73374.pdf (635.98 KB),1.0,220059.0,Nitish Thakur,29-Jun-2021 12:48 PM,Rejected-Finance,Second lowest bidder,22-Jul-2021 11:26 AM,AOC
,,.pdf,Signed copy of agreement form and approved make for materials,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,220279.0,Rahul Sharma,29-Jun-2021 04:35 PM,Rejected-Technical,Not quqlified in the bid capacity,17-Jul-2021 11:06 AM,AOC
,,.pdf,Affidavit that the information furnished with the bid documents is true and correct.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,220008.0,Ravinder Kumar,29-Jun-2021 10:16 AM,Accepted-AOC,Award letter,03-Dec-2021 10:55 AM,AOC
,,.pdf,Proof copy of EPF registration No.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,220218.0,rupinder Singh,29-Jun-2021 04:50 PM,Rejected-Technical,The successfully completed similar type of one work not less than 40 percent of estimated cost has not submitted as per tender condition,17-Jul-2021 11:06 AM,AOC
,,.pdf,Proof copy of GST registration No.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,Copy of latest ITR and pan card,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,Copy of receipt of EMD and cost of form,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,Copy of successfully completed work done certificate (as per tender conditions),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,Copy of existing commitments / ongoing work in hand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,Details of machineries equipments/ skilled engineers/ technical staff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
