EMD Amount in ₹,EMD through BG/ST or EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Corrigendum Title,Corrigendum Type,View,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No.1,Bank Name,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated On :,Financial Bid Opening Date:,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage
"1,47,00,000",Yes,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical,.rar,Techno-Commercial Bid,Assam Power Distribution Company Limited- Externally Aided Project||Project Planning and Development- PPnD||Project Implementation Unit -AIIB,APDCL/DSELR/BNG/02,2020_APDEA_19483_1,Yes,Open Tender,Turn-key,Works,2.0,No,No,Online,No,No,No,1.0,Extension Notice,Date,,Construction of new 33/11 kv substation with construction of new 33kv Terminal Bay construction of 33kv and 11kv lines for Distribution System Enhancement and Loss Reduction in Bongaigaon Electrical Circle,Construction of new 33/11 kv substation with construction of new 33kv Terminal Bay construction of 33kv and 11kv lines for Distribution System Enhancement and Loss Reduction in Bongaigaon Electrical Circle,Please refer Tender documents. ,NA ,"1,47,17,33,000",Electrical Works,NA ,Tender,120.0,730.0,Bongaigaon,783380.0,"O/O the CPM(PIU), 2nd Floor, APDCL, Bijulee Bhawan ","O/O the CPM(PIU), 2nd Floor, APDCL, Bijulee Bhawan ",10-Dec-2020 11:00 AM ,"O/O the CPM(PIU), 2nd Floor, APDCL, Bijulee Bhawan",No ,No,27-Nov-2020 02:00 PM,07-Jan-2021 11:00 AM,27-Nov-2020 02:05 PM,06-Jan-2021 01:00 PM,NA ,NA ,27-Nov-2020 02:05 PM,06-Jan-2021 01:00 PM,12-Feb-2021 11:00 AM,CPM(PIU),"O/O the CPM(PIU), 2nd Floor, APDCL, Bijulee Bhawan","30,000",Nil,Nil,No,1.0,SBI Bank,AOC,"MD, APDCL",Internal,,Jyotirupa Sarmah,05-Aug-2021 02:55 PM,finsummary_30186.pdf (1201.46 KB),1.0,100464.0,LASER POWER AND INFRA PRIVATE LIMITED,INR,1239056679.0,"MD,APDCL",Internal,,DeepakKumar Das,09-Feb-2021 04:47 PM,12-Feb-2021 11:00 AM,techsummary_30186.pdf (711.93 KB),Assam Power Distribution Company Limited- Externally Aided Project||Project Planning and Development- PPnD||Project Implementation Unit -AIIB,2020_APDEA_19483_1,APDCL/DSELR/BNG/02,Construction of new 33/11 kv substation with construction of new 33kv Terminal Bay construction of 33kv and 11kv lines for Distribution System Enhancement and Loss Reduction in Bongaigaon Electrical Circle,1,101588,Ashoka Buildcon Limited,06-Jan-2021 12:36 PM,Rejected-AOC,Not L1 bidder,29-Dec-2021 01:33 PM,Finance,Financial Bid Opening Summary for Bongaigaon Electrical Circle,DeepakKumar Das,12-Feb-2021 03:17 PM,finance_30186.pdf,BOQ Comparative Chart,29-Dec-2021,INR 1239056679,730.0,Bhaskarjyoti Neog,29-Dec-2021 01:33 PM,LOA_BNG.pdf (221.00 KB),Construction of new 33/11 kv substation with construction of new 33kv Terminal Bay construction of 33kv and 11kv lines for Distribution System Enhancement and Loss Reduction in Bongaigaon EC,Technical,Technical Bid Opening Summary,DeepakKumar Das,08-Jan-2021 03:23 PM,technical_30186.pdf,AOC
,,,,,,2.0,Finance,.xls,Financial Bid,,,,,,,,,,,,,,,2.0,EMD_CORRIGENDUM,Fee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,2,101639,CABCON INDIA LIMITED,06-Jan-2021 12:59 PM,Rejected-AOC,Not L1 bidder,29-Dec-2021 01:33 PM,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,.pdf,Letter of Price Bid,,,,,,,,,,,,,,,3.0,Clarification on Table 1 Response to Pre Bid Queries,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,3,101141,GUPTA POWER INFRASTRUCTURE LIMITED,06-Jan-2021 09:25 AM,Rejected-AOC,Not L1 bidder,29-Dec-2021 01:33 PM,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,4,101437,LARSEN AND TOUBRO LIMITED,06-Jan-2021 12:22 PM,Rejected-AOC,Not L1 bidder,29-Dec-2021 01:33 PM,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,5,100464,LASER POWER AND INFRA PRIVATE LIMITED,06-Jan-2021 12:17 PM,Accepted-AOC,L1 bidder,29-Dec-2021 01:33 PM,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,6,100005,Lumino Industries Limited,06-Jan-2021 11:24 AM,Rejected-AOC,Not L1 bidder,29-Dec-2021 01:33 PM,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,7,101472,NCC LIMITED,06-Jan-2021 12:39 PM,Rejected-AOC,Not L1 bidder,29-Dec-2021 01:33 PM,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,8,101520,Neccon Power and Infra Limited,05-Jan-2021 06:53 PM,Rejected-Technical,Techno Commercially Non-Responsive,09-Feb-2021 04:47 PM,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,9,101505,Polycab India Ltd,06-Jan-2021 11:58 AM,Rejected-AOC,Not L1 bidder,29-Dec-2021 01:33 PM,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,10,101485,Sri Gopikrishna Infrastructure Pvt Ltd,06-Jan-2021 11:33 AM,Rejected-AOC,Not L1 bidder,29-Dec-2021 01:33 PM,,,,,,,,,,,,,,,,,,,AOC
